source,target,round,type
190,120,0,exemplar
190,120,0,peer
109,190,0,exemplar
109,190,0,peer
47,190,0,print
11,58,0,exemplar
2,58,0,peer
40,58,0,print
65,104,0,exemplar
119,104,0,peer
105,60,0,exemplar
110,60,0,peer
18,141,0,exemplar
31,141,0,peer
141,173,0,exemplar
62,173,0,peer
161,173,0,print
39,11,0,exemplar
114,11,0,peer
155,166,1,exemplar
0,166,1,peer
190,120,1,exemplar
190,120,1,peer
20,9,1,exemplar
20,9,1,peer
193,28,1,exemplar
141,28,1,peer
143,155,1,exemplar
42,155,1,peer
173,193,1,exemplar
152,193,1,peer
174,197,1,exemplar
128,197,1,peer
11,12,1,exemplar
42,12,1,peer
0,128,2,exemplar
108,128,2,peer
155,114,2,exemplar
71,114,2,peer
41,144,2,exemplar
89,144,2,peer
102,103,2,exemplar
20,103,2,peer
11,153,2,exemplar
130,153,2,peer
100,155,2,exemplar
140,155,2,peer
128,155,2,print
104,102,2,exemplar
20,102,2,peer
9,100,2,exemplar
53,100,2,peer
193,28,3,exemplar
134,28,3,peer
102,104,3,exemplar
103,104,3,peer
155,10,3,exemplar
20,10,3,peer
128,50,3,exemplar
131,50,3,peer
120,106,3,exemplar
100,106,3,peer
175,132,3,exemplar
143,132,3,peer
44,66,3,exemplar
41,66,3,peer
155,44,3,exemplar
40,44,3,peer
104,65,4,exemplar
107,65,4,peer
132,67,4,exemplar
83,67,4,peer
20,67,4,print
28,170,4,exemplar
45,170,4,peer
155,1,4,exemplar
40,1,4,peer
12,2,4,exemplar
100,2,4,peer
141,31,4,exemplar
148,31,4,peer
31,179,4,exemplar
26,179,4,peer
175,132,4,exemplar
70,132,4,peer
50,16,5,exemplar
49,16,5,peer
2,126,5,exemplar
149,126,5,peer
28,17,5,exemplar
173,17,5,peer
11,33,5,exemplar
21,33,5,peer
12,2,5,exemplar
89,2,5,peer
104,103,5,exemplar
97,103,5,peer
153,188,5,exemplar
196,188,5,peer
132,76,5,exemplar
63,76,5,peer
33,157,6,exemplar
153,157,6,peer
188,196,6,exemplar
116,196,6,peer
2,144,6,exemplar
83,144,6,peer
175,144,6,print
128,146,6,exemplar
128,146,6,peer
100,146,6,print
182,56,6,exemplar
182,56,6,peer
100,9,6,exemplar
24,9,6,peer
155,137,6,exemplar
150,137,6,peer
56,182,6,exemplar
73,182,6,peer
137,128,7,exemplar
105,128,7,peer
155,137,7,exemplar
59,137,7,peer
170,98,7,exemplar
21,98,7,peer
33,191,7,exemplar
33,191,7,peer
2,191,7,print
144,73,7,exemplar
99,73,7,peer
103,55,7,exemplar
65,55,7,peer
141,55,7,print
16,69,7,exemplar
124,69,7,peer
28,170,7,exemplar
173,170,7,peer
66,170,7,print
137,155,8,exemplar
54,155,8,peer
155,137,8,exemplar
127,137,8,peer
28,170,8,exemplar
30,170,8,peer
88,170,8,print
137,73,8,exemplar
180,73,8,peer
137,2,8,exemplar
133,2,8,peer
153,187,8,exemplar
188,187,8,peer
137,110,8,exemplar
112,110,8,peer
81,110,8,print
137,82,8,exemplar
44,82,8,peer
155,1,9,exemplar
15,1,9,peer
191,136,9,exemplar
3,136,9,peer
137,92,9,exemplar
67,92,9,peer
137,73,9,exemplar
153,73,9,peer
128,14,9,exemplar
0,14,9,peer
199,14,9,print
28,17,9,exemplar
8,17,9,peer
15,17,9,print
137,15,9,exemplar
129,15,9,peer
137,126,9,exemplar
66,126,9,peer
155,137,10,exemplar
155,137,10,peer
137,18,10,exemplar
38,18,10,peer
73,198,10,exemplar
93,198,10,peer
73,13,10,exemplar
73,13,10,peer
155,1,10,exemplar
143,1,10,peer
128,105,10,exemplar
64,105,10,peer
128,197,10,exemplar
184,197,10,peer
