round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2125,0.7875,0.0,0.025,0.058333333333333334,0.0,0.025,0.058333333333333334,8,0,0
1,0.225,0.775,0.025,0.05,0.041666666666666664,0.025,0.075,0.1,8,0,0
2,0.2375,0.7625,0.1,0.0,0.03333333333333333,0.125,0.075,0.13333333333333333,8,0,0
3,0.25,0.75,0.05,0.025,0.041666666666666664,0.175,0.1,0.175,8,0,0
4,0.2625,0.7375,0.025,0.025,0.05,0.2,0.125,0.225,8,0,0
5,0.225,0.775,0.05,0.025,0.041666666666666664,0.25,0.15,0.26666666666666666,8,0,0
6,0.225,0.775,0.025,0.075,0.03333333333333333,0.275,0.225,0.3,8,0,0
7,0.2,0.8,0.05,0.075,0.025,0.325,0.3,0.325,8,0,0
8,0.225,0.775,0.125,0.025,0.016666666666666666,0.45,0.325,0.3416666666666667,8,0,0
9,0.2375,0.7625,0.05,0.05,0.03333333333333333,0.5,0.375,0.375,8,0,0
10,0.2375,0.7625,0.05,0.05,0.03333333333333333,0.55,0.425,0.4083333333333333,8,0,0
11,0.2375,0.7625,0.05,0.0,0.05,0.6,0.425,0.4583333333333333,8,0,0
12,0.2,0.8,0.075,0.025,0.03333333333333333,0.675,0.45,0.49166666666666664,8,0,0
13,0.2,0.8,0.025,0.025,0.05,0.7,0.475,0.5416666666666666,8,0,0
14,0.2,0.8,0.0,0.0,0.06666666666666667,0.7,0.475,0.6083333333333333,8,0,0
15,0.2,0.8,0.025,0.05,0.041666666666666664,0.725,0.525,0.65,8,0,0
16,0.2,0.8,0.05,0.025,0.041666666666666664,0.775,0.55,0.6916666666666667,8,0,0
17,0.2125,0.7875,0.025,0.025,0.05,0.8,0.575,0.7416666666666667,8,0,0
18,0.225,0.775,0.05,0.025,0.041666666666666664,0.85,0.6,0.7833333333333333,8,0,0
19,0.2125,0.7875,0.075,0.0,0.041666666666666664,0.925,0.6,0.825,8,0,0
20,0.2375,0.7625,0.075,0.05,0.025,1.0,0.65,0.85,8,0,0
21,0.225,0.775,0.075,0.0,0.041666666666666664,1.075,0.65,0.8916666666666667,8,0,0
22,0.25,0.75,0.05,0.05,0.03333333333333333,1.125,0.7,0.925,8,0,0
23,0.2625,0.7375,0.025,0.05,0.041666666666666664,1.15,0.75,0.9666666666666667,8,0,0
24,0.2375,0.7625,0.025,0.05,0.041666666666666664,1.175,0.8,1.0083333333333333,8,0,0
25,0.25,0.75,0.05,0.05,0.03333333333333333,1.225,0.85,1.0416666666666667,8,0,0
26,0.2375,0.7625,0.05,0.05,0.03333333333333333,1.275,0.9,1.075,8,0,0
27,0.2125,0.7875,0.05,0.05,0.03333333333333333,1.325,0.95,1.1083333333333334,8,0,0
28,0.2625,0.7375,0.025,0.05,0.041666666666666664,1.35,1.0,1.15,8,0,0
29,0.2375,0.7625,0.0,0.05,0.05,1.35,1.05,1.2,8,0,0
30,0.2,0.8,0.075,0.05,0.025,1.425,1.1,1.225,8,0,0
31,0.2125,0.7875,0.075,0.0,0.041666666666666664,1.5,1.1,1.2666666666666666,8,0,0
32,0.2,0.8,0.0,0.075,0.041666666666666664,1.5,1.175,1.3083333333333333,8,0,0
33,0.2,0.8,0.025,0.025,0.05,1.525,1.2,1.3583333333333334,8,0,0
34,0.2,0.8,0.075,0.025,0.03333333333333333,1.6,1.225,1.3916666666666666,8,0,0
35,0.2125,0.7875,0.075,0.025,0.03333333333333333,1.675,1.25,1.425,8,0,0
36,0.225,0.775,0.05,0.025,0.041666666666666664,1.725,1.275,1.4666666666666666,8,0,0
37,0.225,0.775,0.0,0.075,0.041666666666666664,1.725,1.35,1.5083333333333333,8,0,0
38,0.225,0.775,0.05,0.025,0.041666666666666664,1.775,1.375,1.55,8,0,0
39,0.2125,0.7875,0.025,0.075,0.03333333333333333,1.8,1.45,1.5833333333333333,8,0,0
40,0.2125,0.7875,0.025,0.075,0.03333333333333333,1.8,1.45,1.5833333333333333,8,0,0
