source,target,round,type
42,99,0,exemplar
111,99,0,peer
53,119,0,exemplar
59,119,0,peer
119,42,0,exemplar
20,42,0,peer
119,53,0,exemplar
190,53,0,peer
11,39,0,exemplar
100,39,0,peer
119,6,0,exemplar
147,6,0,peer
20,9,0,exemplar
20,9,0,peer
39,11,0,exemplar
34,11,0,peer
119,53,1,exemplar
100,53,1,peer
39,11,1,exemplar
114,11,1,peer
6,143,1,exemplar
54,143,1,peer
99,38,1,exemplar
71,38,1,peer
6,21,1,exemplar
15,21,1,peer
99,105,1,exemplar
130,105,1,peer
119,66,1,exemplar
40,66,1,peer
9,15,1,exemplar
44,15,1,peer
119,53,2,exemplar
137,53,2,peer
40,99,2,exemplar
97,99,2,peer
11,6,2,exemplar
119,6,2,peer
6,44,2,exemplar
137,44,2,peer
42,40,2,exemplar
42,40,2,peer
38,22,2,exemplar
21,22,2,peer
66,41,2,exemplar
12,41,2,peer
6,139,2,exemplar
6,139,2,peer
119,53,3,exemplar
181,53,3,peer
119,6,3,exemplar
11,6,3,peer
53,119,3,exemplar
82,119,3,peer
42,40,3,exemplar
42,40,3,peer
6,42,3,exemplar
119,42,3,peer
9,15,3,exemplar
40,15,3,peer
42,41,3,exemplar
194,41,3,peer
15,9,3,exemplar
10,9,3,peer
53,119,4,exemplar
57,119,4,peer
41,42,4,exemplar
43,42,4,peer
119,15,4,exemplar
24,15,4,peer
42,41,4,exemplar
12,41,4,peer
6,44,4,exemplar
155,44,4,peer
6,21,4,exemplar
119,21,4,peer
11,39,4,exemplar
34,39,4,peer
53,112,4,exemplar
111,112,4,peer
53,119,5,exemplar
43,119,5,peer
119,42,5,exemplar
57,42,5,peer
119,15,5,exemplar
119,15,5,peer
119,44,5,exemplar
8,44,5,peer
42,40,5,exemplar
181,40,5,peer
119,21,5,exemplar
137,21,5,peer
42,112,5,exemplar
113,112,5,peer
99,105,5,exemplar
16,105,5,peer
53,119,6,exemplar
143,119,6,peer
119,42,6,exemplar
21,42,6,peer
119,53,6,exemplar
194,53,6,peer
119,15,6,exemplar
20,15,6,peer
119,44,6,exemplar
40,44,6,peer
119,6,6,exemplar
42,6,6,peer
42,112,6,exemplar
99,112,6,peer
99,105,6,exemplar
16,105,6,peer
53,119,7,exemplar
82,119,7,peer
119,42,7,exemplar
41,42,7,peer
119,53,7,exemplar
190,53,7,peer
119,15,7,exemplar
54,15,7,peer
119,6,7,exemplar
8,6,7,peer
42,112,7,exemplar
53,112,7,peer
42,40,7,exemplar
44,40,7,peer
42,41,7,exemplar
110,41,7,peer
53,119,8,exemplar
44,119,8,peer
119,42,8,exemplar
57,42,8,peer
119,53,8,exemplar
100,53,8,peer
119,15,8,exemplar
40,15,8,peer
119,6,8,exemplar
42,6,8,peer
42,112,8,exemplar
143,112,8,peer
119,44,8,exemplar
155,44,8,peer
119,21,8,exemplar
119,21,8,peer
53,119,9,exemplar
59,119,9,peer
119,42,9,exemplar
54,42,9,peer
119,53,9,exemplar
137,53,9,peer
119,15,9,exemplar
82,15,9,peer
42,112,9,exemplar
53,112,9,peer
119,44,9,exemplar
20,44,9,peer
119,21,9,exemplar
139,21,9,peer
15,9,9,exemplar
129,9,9,peer
53,119,10,exemplar
6,119,10,peer
119,42,10,exemplar
6,42,10,peer
44,42,10,print
119,53,10,exemplar
100,53,10,peer
119,15,10,exemplar
119,15,10,peer
42,112,10,exemplar
43,112,10,peer
119,44,10,exemplar
40,44,10,peer
119,6,10,exemplar
2,6,10,peer
99,105,10,exemplar
127,105,10,peer
53,119,11,exemplar
53,119,11,peer
119,42,11,exemplar
119,42,11,peer
119,53,11,exemplar
57,53,11,peer
119,15,11,exemplar
155,15,11,peer
42,112,11,exemplar
110,112,11,peer
119,6,11,exemplar
11,6,11,peer
119,21,11,exemplar
139,21,11,peer
42,40,11,exemplar
9,40,11,peer
53,119,12,exemplar
82,119,12,peer
119,53,12,exemplar
54,53,12,peer
119,15,12,exemplar
24,15,12,peer
119,6,12,exemplar
2,6,12,peer
119,44,12,exemplar
155,44,12,peer
119,21,12,exemplar
6,21,12,peer
15,40,12,exemplar
100,40,12,peer
42,41,12,exemplar
110,41,12,peer
53,119,13,exemplar
54,119,13,peer
119,53,13,exemplar
100,53,13,peer
119,15,13,exemplar
82,15,13,peer
119,42,13,exemplar
43,42,13,peer
119,6,13,exemplar
143,6,13,peer
53,112,13,exemplar
64,112,13,peer
119,44,13,exemplar
54,44,13,peer
119,21,13,exemplar
40,21,13,peer
119,53,14,exemplar
40,53,14,peer
119,15,14,exemplar
155,15,14,peer
119,42,14,exemplar
20,42,14,peer
53,112,14,exemplar
53,112,14,peer
119,44,14,exemplar
4,44,14,peer
15,21,14,exemplar
143,21,14,peer
15,40,14,exemplar
129,40,14,peer
42,41,14,exemplar
57,41,14,peer
119,53,15,exemplar
54,53,15,peer
119,15,15,exemplar
129,15,15,peer
53,119,15,exemplar
82,119,15,peer
119,42,15,exemplar
57,42,15,peer
53,112,15,exemplar
111,112,15,peer
119,44,15,exemplar
9,44,15,peer
119,6,15,exemplar
2,6,15,peer
15,21,15,exemplar
15,21,15,peer
119,15,16,exemplar
143,15,16,peer
53,119,16,exemplar
155,119,16,peer
119,42,16,exemplar
147,42,16,peer
14,42,16,print
119,44,16,exemplar
8,44,16,peer
119,6,16,exemplar
155,6,16,peer
99,105,16,exemplar
64,105,16,peer
44,39,16,exemplar
2,39,16,peer
21,22,16,exemplar
18,22,16,peer
119,15,17,exemplar
137,15,17,peer
53,119,17,exemplar
6,119,17,peer
119,42,17,exemplar
54,42,17,peer
119,53,17,exemplar
41,53,17,peer
119,6,17,exemplar
42,6,17,peer
42,112,17,exemplar
64,112,17,peer
15,21,17,exemplar
54,21,17,peer
42,99,17,exemplar
54,99,17,peer
119,15,18,exemplar
143,15,18,peer
53,119,18,exemplar
143,119,18,peer
119,42,18,exemplar
139,42,18,peer
119,53,18,exemplar
194,53,18,peer
119,6,18,exemplar
155,6,18,peer
42,112,18,exemplar
97,112,18,peer
119,44,18,exemplar
54,44,18,peer
15,21,18,exemplar
6,21,18,peer
119,15,19,exemplar
21,15,19,peer
53,119,19,exemplar
43,119,19,peer
119,42,19,exemplar
139,42,19,peer
119,53,19,exemplar
112,53,19,peer
119,6,19,exemplar
8,6,19,peer
42,112,19,exemplar
97,112,19,peer
119,44,19,exemplar
21,44,19,peer
15,21,19,exemplar
155,21,19,peer
119,15,20,exemplar
44,15,20,peer
53,119,20,exemplar
155,119,20,peer
119,42,20,exemplar
21,42,20,peer
119,53,20,exemplar
137,53,20,peer
119,6,20,exemplar
44,6,20,peer
42,112,20,exemplar
99,112,20,peer
119,44,20,exemplar
155,44,20,peer
15,21,20,exemplar
20,21,20,peer
119,15,21,exemplar
82,15,21,peer
53,119,21,exemplar
54,119,21,peer
119,42,21,exemplar
43,42,21,peer
119,53,21,exemplar
40,53,21,peer
119,6,21,exemplar
40,6,21,peer
42,112,21,exemplar
143,112,21,peer
15,21,21,exemplar
44,21,21,peer
42,41,21,exemplar
75,41,21,peer
119,15,22,exemplar
24,15,22,peer
53,119,22,exemplar
43,119,22,peer
119,42,22,exemplar
112,42,22,peer
119,53,22,exemplar
41,53,22,peer
119,6,22,exemplar
137,6,22,peer
42,112,22,exemplar
40,112,22,peer
119,44,22,exemplar
40,44,22,peer
15,21,22,exemplar
143,21,22,peer
119,15,23,exemplar
155,15,23,peer
53,119,23,exemplar
43,119,23,peer
119,42,23,exemplar
112,42,23,peer
119,53,23,exemplar
9,53,23,peer
42,112,23,exemplar
42,112,23,peer
119,44,23,exemplar
54,44,23,peer
15,21,23,exemplar
54,21,23,peer
42,41,23,exemplar
40,41,23,peer
119,15,24,exemplar
137,15,24,peer
53,119,24,exemplar
54,119,24,peer
119,42,24,exemplar
6,42,24,peer
42,112,24,exemplar
110,112,24,peer
119,6,24,exemplar
11,6,24,peer
119,44,24,exemplar
147,44,24,peer
15,40,24,exemplar
20,40,24,peer
42,99,24,exemplar
75,99,24,peer
119,15,25,exemplar
129,15,25,peer
53,119,25,exemplar
137,119,25,peer
119,42,25,exemplar
20,42,25,peer
119,53,25,exemplar
181,53,25,peer
42,112,25,exemplar
143,112,25,peer
119,6,25,exemplar
11,6,25,peer
119,44,25,exemplar
137,44,25,peer
15,21,25,exemplar
40,21,25,peer
119,15,26,exemplar
54,15,26,peer
53,119,26,exemplar
6,119,26,peer
119,42,26,exemplar
6,42,26,peer
119,53,26,exemplar
57,53,26,peer
42,112,26,exemplar
95,112,26,peer
119,6,26,exemplar
54,6,26,peer
119,44,26,exemplar
140,44,26,peer
15,21,26,exemplar
139,21,26,peer
119,15,27,exemplar
129,15,27,peer
53,119,27,exemplar
21,119,27,peer
119,42,27,exemplar
147,42,27,peer
119,53,27,exemplar
119,53,27,peer
42,112,27,exemplar
64,112,27,peer
119,6,27,exemplar
11,6,27,peer
119,44,27,exemplar
40,44,27,peer
15,21,27,exemplar
83,21,27,peer
119,15,28,exemplar
119,15,28,peer
53,119,28,exemplar
54,119,28,peer
119,42,28,exemplar
54,42,28,peer
119,53,28,exemplar
143,53,28,peer
42,112,28,exemplar
43,112,28,peer
119,6,28,exemplar
44,6,28,peer
119,44,28,exemplar
21,44,28,peer
15,21,28,exemplar
54,21,28,peer
119,15,29,exemplar
1,15,29,peer
53,119,29,exemplar
59,119,29,peer
119,42,29,exemplar
44,42,29,peer
119,53,29,exemplar
143,53,29,peer
42,112,29,exemplar
119,112,29,peer
119,6,29,exemplar
137,6,29,peer
15,21,29,exemplar
42,21,29,peer
167,21,29,print
42,41,29,exemplar
75,41,29,peer
119,15,30,exemplar
8,15,30,peer
53,119,30,exemplar
82,119,30,peer
119,42,30,exemplar
112,42,30,peer
119,53,30,exemplar
194,53,30,peer
42,112,30,exemplar
95,112,30,peer
119,6,30,exemplar
21,6,30,peer
