source,target,sim
0,14,0.808580219745636
0,23,0.7991760969161987
0,25,0.7288801670074463
0,26,0.8320680856704712
0,27,0.7591209411621094
0,35,0.77489173412323
0,47,0.7382544279098511
0,48,0.8327429890632629
0,101,0.82748943567276
0,128,0.8513051867485046
0,130,0.8120741248130798
0,145,0.824413001537323
0,146,0.7889375686645508
0,151,0.8085365295410156
0,152,0.8161668181419373
0,153,0.8039208650588989
0,156,0.8092498779296875
0,161,0.8164975047111511
0,162,0.8055835962295532
0,163,0.7526627779006958
0,165,0.8112614154815674
0,166,0.7524702548980713
0,167,0.8326667547225952
0,169,0.7183692455291748
0,183,0.7524850368499756
0,184,0.8383670449256897
0,187,0.7600293159484863
0,195,0.7709570527076721
0,196,0.7932507395744324
0,199,0.7411180734634399
1,4,0.7854740619659424
1,7,0.7340632677078247
1,9,0.849515438079834
1,10,0.8102104663848877
1,15,0.8230730295181274
1,20,0.8086341023445129
1,23,0.7833216190338135
1,24,0.8224616050720215
1,39,0.787321925163269
1,40,0.7878328561782837
1,44,0.8000328540802002
1,100,0.8024545907974243
1,129,0.8274814486503601
1,143,0.8005602955818176
1,155,0.7846136689186096
1,185,0.8011692762374878
2,3,0.8116097450256348
2,6,0.8231561779975891
2,11,0.8222838044166565
2,12,0.8592182397842407
2,18,0.837670087814331
2,21,0.834748387336731
2,39,0.825088381767273
2,41,0.8381447792053223
2,43,0.8488520383834839
2,44,0.833357572555542
2,53,0.8452239036560059
2,54,0.8370745182037354
2,58,0.7836028337478638
2,72,0.7930662631988525
2,89,0.8308941721916199
2,95,0.8189378976821899
2,100,0.853919506072998
2,113,0.8440835475921631
2,115,0.8119679689407349
2,126,0.8267756700515747
2,133,0.8323288559913635
2,135,0.7376346588134766
2,137,0.8425896167755127
2,139,0.8233494162559509
2,141,0.7897707223892212
2,143,0.8334099650382996
2,144,0.8188609480857849
2,149,0.8454969525337219
2,154,0.8155546188354492
2,164,0.7975047826766968
2,199,0.7542091012001038
3,11,0.7931404709815979
3,12,0.8121932744979858
3,19,0.8151789903640747
3,21,0.8184986114501953
3,42,0.7902410626411438
3,44,0.8193194270133972
3,58,0.8024436831474304
3,135,0.838886022567749
3,136,0.788864254951477
3,138,0.8055211305618286
3,139,0.827589750289917
3,143,0.7946804165840149
3,147,0.7904072999954224
3,155,0.8238420486450195
3,177,0.7917536497116089
3,199,0.7832229733467102
4,7,0.7016135454177856
4,8,0.8218436241149902
4,9,0.8294638395309448
4,20,0.8558535575866699
4,29,0.8141124248504639
4,40,0.8654694557189941
4,44,0.8737876415252686
4,54,0.8143246173858643
4,57,0.8209900856018066
4,58,0.7986398935317993
4,62,0.7686339020729065
4,100,0.823365330696106
4,103,0.7656649947166443
4,107,0.789687991142273
4,129,0.861933708190918
4,138,0.8614368438720703
4,140,0.872169017791748
4,147,0.8272556066513062
4,155,0.8215603828430176
4,181,0.8713569641113281
5,8,0.8133694529533386
5,23,0.7981030941009521
5,34,0.7655279636383057
5,37,0.8101046681404114
5,52,0.8274075984954834
5,59,0.8428323268890381
5,63,0.815867006778717
5,70,0.7956899404525757
5,76,0.8246408104896545
5,80,0.8167077898979187
5,87,0.8128751516342163
5,110,0.8297451734542847
5,127,0.8077968955039978
5,132,0.8325000405311584
5,137,0.8818367123603821
5,143,0.850120484828949
5,150,0.857353150844574
5,155,0.8192331790924072
5,175,0.868314266204834
5,190,0.8156863451004028
6,8,0.8277907371520996
6,11,0.8257547616958618
6,12,0.8185807466506958
6,17,0.7579459547996521
6,18,0.8364547491073608
6,21,0.8740702867507935
6,29,0.7997305989265442
6,40,0.8259832859039307
6,42,0.8335066437721252
6,43,0.8203949928283691
6,44,0.9093299508094788
6,54,0.8434149026870728
6,58,0.7898539304733276
6,82,0.8180124759674072
6,86,0.7765096426010132
6,98,0.6799130439758301
6,114,0.8221831917762756
6,119,0.8435064554214478
6,135,0.7316755056381226
6,137,0.8556440472602844
6,139,0.8258000016212463
6,141,0.7819971442222595
6,143,0.8574877977371216
6,147,0.8278408646583557
6,149,0.8107023239135742
6,154,0.8148159980773926
6,155,0.8740076422691345
6,189,0.7986758351325989
6,199,0.7694931030273438
7,9,0.749434232711792
7,10,0.7027807831764221
7,11,0.695449709892273
7,17,0.7481316328048706
7,20,0.6876647472381592
7,21,0.694439172744751
7,24,0.7343558669090271
7,29,0.7679173350334167
7,32,0.7163735032081604
7,44,0.7207028865814209
7,58,0.7124618291854858
7,62,0.695578932762146
7,140,0.7172174453735352
8,9,0.8928177952766418
8,10,0.8058600425720215
8,15,0.8171924352645874
8,17,0.7015114426612854
8,20,0.837665319442749
8,21,0.8311886787414551
8,32,0.8168773651123047
8,40,0.8357220888137817
8,44,0.8602803349494934
8,52,0.8332785367965698
8,57,0.8393039703369141
8,59,0.8293884992599487
8,81,0.7922018766403198
8,82,0.8123111724853516
8,100,0.8316132426261902
8,109,0.8223454356193542
8,110,0.8328480124473572
8,123,0.7242172956466675
8,127,0.8356992602348328
8,137,0.863953709602356
8,140,0.8530669212341309
8,143,0.8392398357391357
8,147,0.8279601335525513
8,190,0.8243168592453003
9,10,0.8571369647979736
9,15,0.84846431016922
9,20,0.899588942527771
9,23,0.8090109825134277
9,24,0.8463692665100098
9,29,0.7930580377578735
9,32,0.818567156791687
9,34,0.7611793279647827
9,40,0.8453832864761353
9,44,0.8728858828544617
9,53,0.8285939693450928
9,59,0.8242102861404419
9,100,0.878509521484375
9,106,0.7904906868934631
9,109,0.8195756673812866
9,120,0.7892926335334778
9,127,0.8176074028015137
9,129,0.8328695893287659
9,133,0.8304077386856079
9,137,0.8448569178581238
9,140,0.8397699594497681
9,143,0.8533209562301636
9,185,0.8101742267608643
9,190,0.8086013793945312
9,194,0.8311232328414917
10,20,0.8190106749534607
10,22,0.8346849679946899
10,23,0.8650961518287659
10,24,0.854732096195221
10,34,0.7891315817832947
10,39,0.8272014856338501
10,44,0.821442723274231
10,54,0.8294100761413574
10,81,0.782569169998169
10,100,0.8249362707138062
10,130,0.8106956481933594
10,143,0.8355690836906433
10,155,0.8133009076118469
10,190,0.8125459551811218
11,12,0.8268498182296753
11,18,0.8375595211982727
11,19,0.8233278393745422
11,21,0.8153221607208252
11,26,0.7980828285217285
11,33,0.7976595163345337
11,34,0.8271000981330872
11,39,0.8508234024047852
11,44,0.8267160654067993
11,58,0.7684680223464966
11,95,0.8046086430549622
11,114,0.8073939085006714
11,115,0.8017169833183289
11,130,0.8007722496986389
11,135,0.7773709893226624
11,136,0.7455007433891296
11,153,0.8180131316184998
11,191,0.7601130604743958
11,199,0.8301191926002502
12,18,0.8022201061248779
12,21,0.8235152959823608
12,40,0.8200343251228333
12,41,0.8345934152603149
12,42,0.8130086660385132
12,44,0.8517096042633057
12,58,0.8017513155937195
12,95,0.8182982206344604
12,106,0.7901826500892639
12,113,0.8171166181564331
12,114,0.8000363707542419
12,116,0.7740938663482666
12,119,0.8132590055465698
12,126,0.8139756321907043
12,135,0.7509588003158569
12,149,0.8173016309738159
12,194,0.8264851570129395
13,19,0.7536031603813171
13,35,0.7912133932113647
13,38,0.7619237303733826
13,48,0.8008251190185547
13,56,0.8618780374526978
13,72,0.784704864025116
13,73,0.7495306730270386
13,94,0.8564603924751282
13,99,0.7621917724609375
13,113,0.7319132685661316
13,142,0.7784764766693115
13,145,0.7440496683120728
13,158,0.7818491458892822
13,182,0.8308725357055664
13,196,0.7304118871688843
14,25,0.7505493760108948
14,26,0.7900050282478333
14,39,0.7619575262069702
14,47,0.7170077562332153
14,48,0.8042214512825012
14,101,0.8435185551643372
14,128,0.7904198169708252
14,130,0.7750318050384521
14,146,0.7704808115959167
14,157,0.6685675382614136
14,161,0.7554695010185242
14,166,0.7860803008079529
14,168,0.7680128216743469
14,181,0.758760929107666
14,184,0.8021246194839478
14,195,0.7806426286697388
14,196,0.7964469194412231
15,20,0.8366426229476929
15,21,0.8359772562980652
15,23,0.7990830540657043
15,24,0.8176389932632446
15,40,0.8418675661087036
15,44,0.8313554525375366
15,54,0.8147149682044983
15,82,0.8139134645462036
15,114,0.8046550750732422
15,119,0.8290042281150818
15,129,0.8157079219818115
15,137,0.8274765610694885
15,143,0.8252626657485962
