round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.125,0.0,0.025,0.125,0.0,0.025,8,8,0
1,0.3125,0.6875,0.175,0.0,0.008333333333333333,0.3,0.0,0.03333333333333333,8,8,0
2,0.3625,0.6375,0.175,0.0,0.008333333333333333,0.475,0.0,0.041666666666666664,8,8,0
3,0.3625,0.6375,0.15,0.0,0.016666666666666666,0.625,0.0,0.058333333333333334,8,8,0
4,0.3625,0.6375,0.2,0.0,0.0,0.825,0.0,0.058333333333333334,8,8,0
5,0.3625,0.6375,0.2,0.0,0.0,1.025,0.0,0.058333333333333334,8,8,0
6,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.2,0.0,0.06666666666666667,8,8,0
7,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.375,0.0,0.075,8,8,0
8,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.55,0.0,0.08333333333333333,8,8,0
9,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.725,0.0,0.09166666666666666,8,8,0
10,0.3625,0.6375,0.175,0.0,0.008333333333333333,1.9,0.0,0.1,8,8,0
11,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.075,0.0,0.10833333333333334,8,8,0
12,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.25,0.0,0.11666666666666667,8,8,0
13,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.425,0.0,0.125,8,8,0
14,0.3625,0.6375,0.2,0.0,0.0,2.625,0.0,0.125,8,8,0
15,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.8,0.0,0.13333333333333333,8,8,0
16,0.3625,0.6375,0.175,0.0,0.008333333333333333,2.975,0.0,0.14166666666666666,8,8,0
17,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.15,0.0,0.15,8,8,0
18,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.325,0.0,0.15833333333333333,8,8,0
19,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.5,0.0,0.16666666666666666,8,8,0
20,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.675,0.0,0.175,8,8,0
21,0.3625,0.6375,0.175,0.0,0.008333333333333333,3.85,0.0,0.18333333333333332,8,8,0
22,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.025,0.0,0.19166666666666668,8,8,0
23,0.3625,0.6375,0.2,0.0,0.0,4.225,0.0,0.19166666666666668,8,8,0
24,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.4,0.0,0.2,8,8,0
25,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.575,0.0,0.20833333333333334,8,8,0
26,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.75,0.0,0.21666666666666667,8,8,0
27,0.3625,0.6375,0.175,0.0,0.008333333333333333,4.925,0.0,0.225,8,8,0
28,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.1,0.0,0.23333333333333334,8,8,0
29,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.275,0.0,0.24166666666666667,8,8,0
30,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.45,0.0,0.25,8,8,0
31,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.625,0.0,0.25833333333333336,8,8,0
32,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.8,0.0,0.26666666666666666,8,8,0
33,0.3625,0.6375,0.175,0.0,0.008333333333333333,5.975,0.0,0.275,8,8,0
34,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.15,0.0,0.2833333333333333,8,8,0
35,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.325,0.0,0.2916666666666667,8,8,0
36,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.5,0.0,0.3,8,8,0
37,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.675,0.0,0.30833333333333335,8,8,0
38,0.3625,0.6375,0.175,0.0,0.008333333333333333,6.85,0.0,0.31666666666666665,8,8,0
39,0.3625,0.6375,0.175,0.0,0.008333333333333333,7.025,0.0,0.325,8,8,0
40,0.3625,0.6375,0.175,0.0,0.008333333333333333,7.025,0.0,0.325,8,8,0
