source,target,round,type
42,99,0,exemplar
111,99,0,peer
147,99,0,print
53,119,0,exemplar
82,119,0,peer
119,42,0,exemplar
64,42,0,peer
146,42,0,print
119,53,0,exemplar
143,53,0,peer
83,53,0,print
11,39,0,exemplar
11,39,0,peer
43,39,0,print
119,6,0,exemplar
147,6,0,peer
37,6,0,print
20,9,0,exemplar
137,9,0,peer
39,11,0,exemplar
6,11,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
160,157,0,print
91,173,0,exemplar
148,173,0,peer
166,136,0,exemplar
58,136,0,peer
190,136,0,print
173,91,0,exemplar
141,91,0,peer
74,91,0,print
39,25,0,exemplar
195,25,0,peer
136,166,0,exemplar
195,166,0,peer
99,36,0,exemplar
61,36,0,peer
53,119,1,exemplar
44,119,1,peer
183,119,1,print
119,53,1,exemplar
190,53,1,peer
39,11,1,exemplar
115,11,1,peer
119,143,1,exemplar
194,143,1,peer
119,126,1,exemplar
59,126,1,peer
12,126,1,print
39,22,1,exemplar
39,22,1,peer
119,66,1,exemplar
57,66,1,peer
119,59,1,exemplar
126,59,1,peer
91,122,1,exemplar
68,122,1,peer
51,131,1,exemplar
171,131,1,peer
99,13,1,exemplar
72,13,1,peer
67,13,1,print
186,159,1,exemplar
111,159,1,peer
159,186,1,exemplar
97,186,1,peer
131,51,1,exemplar
16,51,1,peer
173,193,1,exemplar
173,193,1,peer
124,69,1,exemplar
176,69,1,peer
72,69,1,print
42,99,2,exemplar
140,99,2,peer
119,42,2,exemplar
57,42,2,peer
39,22,2,exemplar
10,22,2,peer
119,59,2,exemplar
100,59,2,peer
160,59,2,print
119,6,2,exemplar
139,6,2,peer
42,112,2,exemplar
100,112,2,peer
180,112,2,print
42,54,2,exemplar
99,54,2,peer
54,140,2,exemplar
62,140,2,peer
91,173,2,exemplar
179,173,2,peer
39,25,2,exemplar
0,25,2,peer
99,36,2,exemplar
60,36,2,peer
99,13,2,exemplar
48,13,2,peer
186,159,2,exemplar
79,159,2,peer
69,124,2,exemplar
90,124,2,peer
173,125,2,exemplar
170,125,2,peer
22,47,2,exemplar
145,47,2,peer
42,99,3,exemplar
100,99,3,peer
54,42,3,exemplar
112,42,3,peer
119,59,3,exemplar
126,59,3,peer
122,59,3,print
42,54,3,exemplar
140,54,3,peer
42,66,3,exemplar
82,66,3,peer
68,66,3,print
100,9,3,exemplar
15,9,3,peer
6,44,3,exemplar
147,44,3,peer
99,100,3,exemplar
9,100,3,peer
39,25,3,exemplar
181,25,3,peer
69,124,3,exemplar
92,124,3,peer
173,125,3,exemplar
148,125,3,peer
51,131,3,exemplar
16,131,3,peer
11,136,3,exemplar
19,136,3,peer
9,7,3,exemplar
62,7,3,peer
59,123,3,exemplar
93,123,3,peer
42,98,3,exemplar
42,98,3,peer
178,98,3,print
119,42,4,exemplar
147,42,4,peer
119,59,4,exemplar
126,59,4,peer
59,119,4,exemplar
154,119,4,peer
68,119,4,print
99,100,4,exemplar
53,100,4,peer
59,126,4,exemplar
117,126,4,peer
59,137,4,exemplar
6,137,4,peer
59,137,4,print
100,2,4,exemplar
12,2,4,peer
66,2,4,print
59,127,4,exemplar
150,127,4,peer
124,122,4,exemplar
125,122,4,peer
170,122,4,print
39,25,4,exemplar
181,25,4,peer
98,25,4,print
69,124,4,exemplar
93,124,4,peer
173,125,4,exemplar
38,125,4,peer
51,131,4,exemplar
51,131,4,peer
125,173,4,exemplar
125,173,4,peer
103,173,4,print
11,136,4,exemplar
145,136,4,peer
59,123,4,exemplar
82,123,4,peer
42,99,5,exemplar
57,99,5,peer
42,54,5,exemplar
42,54,5,peer
127,22,5,exemplar
38,22,5,peer
42,66,5,exemplar
44,66,5,peer
54,44,5,exemplar
119,44,5,peer
59,82,5,exemplar
66,82,5,peer
22,114,5,exemplar
18,114,5,peer
99,181,5,exemplar
185,181,5,peer
124,122,5,exemplar
69,122,5,peer
69,124,5,exemplar
93,124,5,peer
51,131,5,exemplar
50,131,5,peer
125,173,5,exemplar
141,173,5,peer
59,173,5,print
11,136,5,exemplar
33,136,5,peer
59,123,5,exemplar
71,123,5,peer
99,36,5,exemplar
111,36,5,peer
182,36,5,print
122,98,5,exemplar
119,98,5,peer
42,99,6,exemplar
112,99,6,peer
54,42,6,exemplar
119,42,6,peer
119,59,6,exemplar
119,59,6,peer
85,59,6,print
42,54,6,exemplar
57,54,6,peer
59,119,6,exemplar
57,119,6,peer
42,66,6,exemplar
44,66,6,peer
99,100,6,exemplar
76,100,6,peer
77,100,6,print
119,53,6,exemplar
43,53,6,peer
69,124,6,exemplar
93,124,6,peer
51,131,6,exemplar
49,131,6,peer
125,173,6,exemplar
38,173,6,peer
59,123,6,exemplar
93,123,6,peer
173,125,6,exemplar
62,125,6,peer
42,98,6,exemplar
21,98,6,peer
181,157,6,exemplar
152,157,6,peer
9,7,6,exemplar
29,7,6,peer
42,99,7,exemplar
181,99,7,peer
42,66,7,exemplar
137,66,7,peer
127,22,7,exemplar
129,22,7,peer
119,53,7,exemplar
54,53,7,peer
42,6,7,exemplar
143,6,7,peer
100,9,7,exemplar
133,9,7,peer
69,9,7,print
66,82,7,exemplar
54,82,7,peer
66,110,7,exemplar
155,110,7,peer
69,124,7,exemplar
176,124,7,peer
51,131,7,exemplar
132,131,7,peer
124,122,7,exemplar
148,122,7,peer
59,123,7,exemplar
70,123,7,peer
54,123,7,print
173,125,7,exemplar
173,125,7,peer
11,136,7,exemplar
33,136,7,peer
58,136,7,print
9,7,7,exemplar
29,7,7,peer
99,36,7,exemplar
111,36,7,peer
119,59,8,exemplar
140,59,8,peer
187,59,8,print
59,119,8,exemplar
54,119,8,peer
127,22,8,exemplar
24,22,8,peer
119,53,8,exemplar
181,53,8,peer
119,6,8,exemplar
54,6,8,peer
172,6,8,print
59,126,8,exemplar
194,126,8,peer
6,11,8,exemplar
39,11,8,peer
59,137,8,exemplar
154,137,8,peer
59,123,8,exemplar
81,123,8,peer
125,173,8,exemplar
141,173,8,peer
11,136,8,exemplar
11,136,8,peer
99,36,8,exemplar
77,36,8,peer
186,159,8,exemplar
117,159,8,peer
136,135,8,exemplar
34,135,8,peer
99,182,8,exemplar
85,182,8,peer
124,134,8,exemplar
183,134,8,peer
123,134,8,print
54,99,9,exemplar
42,99,9,peer
119,59,9,exemplar
119,59,9,peer
127,22,9,exemplar
21,22,9,peer
99,54,9,exemplar
53,54,9,peer
99,100,9,exemplar
129,100,9,peer
100,9,9,exemplar
143,9,9,peer
6,11,9,exemplar
19,11,9,peer
59,137,9,exemplar
143,137,9,peer
59,123,9,exemplar
50,123,9,peer
137,131,9,exemplar
50,131,9,peer
125,173,9,exemplar
125,173,9,peer
11,136,9,exemplar
11,136,9,peer
167,136,9,print
173,125,9,exemplar
174,125,9,peer
19,125,9,print
181,25,9,exemplar
102,25,9,peer
53,25,9,print
99,13,9,exemplar
48,13,9,peer
173,91,9,exemplar
38,91,9,peer
54,99,10,exemplar
65,99,10,peer
127,22,10,exemplar
189,22,10,peer
99,54,10,exemplar
53,54,10,peer
59,119,10,exemplar
54,119,10,peer
54,42,10,exemplar
147,42,10,peer
119,53,10,exemplar
100,53,10,peer
100,9,10,exemplar
100,9,10,peer
6,11,10,exemplar
12,11,10,peer
88,11,10,print
59,123,10,exemplar
120,123,10,peer
137,131,10,exemplar
50,131,10,peer
182,131,10,print
125,173,10,exemplar
148,173,10,peer
11,136,10,exemplar
33,136,10,peer
66,136,10,print
91,124,10,exemplar
92,124,10,peer
22,124,10,print
9,7,10,exemplar
1,7,10,peer
173,91,10,exemplar
90,91,10,peer
173,17,10,exemplar
8,17,10,peer
64,17,10,print
127,22,11,exemplar
39,22,11,peer
99,54,11,exemplar
155,54,11,peer
54,119,11,exemplar
44,119,11,peer
54,42,11,exemplar
44,42,11,peer
119,66,11,exemplar
40,66,11,peer
176,66,11,print
100,9,11,exemplar
194,9,11,peer
142,9,11,print
119,6,11,exemplar
155,6,11,peer
59,126,11,exemplar
137,126,11,peer
174,126,11,print
59,123,11,exemplar
50,123,11,peer
137,131,11,exemplar
85,131,11,peer
125,173,11,exemplar
148,173,11,peer
11,136,11,exemplar
58,136,11,peer
127,136,11,print
124,122,11,exemplar
174,122,11,peer
181,25,11,exemplar
39,25,11,peer
181,157,11,exemplar
156,157,11,peer
173,91,11,exemplar
193,91,11,peer
54,99,12,exemplar
65,99,12,peer
127,22,12,exemplar
127,22,12,peer
59,119,12,exemplar
155,119,12,peer
59,119,12,print
119,59,12,exemplar
126,59,12,peer
136,59,12,print
119,6,12,exemplar
119,6,12,peer
6,11,12,exemplar
6,11,12,peer
99,100,12,exemplar
99,100,12,peer
119,137,12,exemplar
110,137,12,peer
188,137,12,print
59,123,12,exemplar
132,123,12,peer
125,173,12,exemplar
193,173,12,peer
120,173,12,print
11,136,12,exemplar
166,136,12,peer
124,122,12,exemplar
170,122,12,peer
173,125,12,exemplar
38,125,12,peer
172,125,12,print
181,25,12,exemplar
14,25,12,peer
173,91,12,exemplar
124,91,12,peer
186,159,12,exemplar
79,159,12,peer
54,99,13,exemplar
181,99,13,peer
127,22,13,exemplar
155,22,13,peer
119,59,13,exemplar
5,59,13,peer
99,54,13,exemplar
155,54,13,peer
119,53,13,exemplar
194,53,13,peer
119,66,13,exemplar
80,66,13,peer
100,9,13,exemplar
8,9,13,peer
6,11,13,exemplar
12,11,13,peer
59,123,13,exemplar
71,123,13,peer
125,173,13,exemplar
163,173,13,peer
137,131,13,exemplar
134,131,13,peer
80,131,13,print
125,122,13,exemplar
174,122,13,peer
173,125,13,exemplar
29,125,13,peer
115,125,13,print
181,25,13,exemplar
107,25,13,peer
9,7,13,exemplar
29,7,13,peer
99,36,13,exemplar
77,36,13,peer
54,99,14,exemplar
42,99,14,peer
127,22,14,exemplar
10,22,14,peer
99,54,14,exemplar
