round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.125,0.2,0.025,0.125,0.2,0.025,16,8,8
1,0.2875,0.7125,0.175,0.1,0.041666666666666664,0.3,0.3,0.06666666666666667,16,8,8
2,0.3,0.7,0.175,0.2,0.008333333333333333,0.475,0.5,0.075,16,8,8
3,0.3,0.7,0.175,0.2,0.008333333333333333,0.65,0.7,0.08333333333333333,16,8,8
4,0.3125,0.6875,0.2,0.2,0.0,0.85,0.9,0.08333333333333333,16,8,8
5,0.3375,0.6625,0.2,0.2,0.0,1.05,1.1,0.08333333333333333,16,8,8
6,0.3375,0.6625,0.2,0.2,0.0,1.25,1.3,0.08333333333333333,16,8,8
7,0.35,0.65,0.15,0.2,0.016666666666666666,1.4,1.5,0.1,16,8,8
8,0.35,0.65,0.15,0.2,0.016666666666666666,1.55,1.7,0.11666666666666667,16,8,8
9,0.35,0.65,0.15,0.2,0.016666666666666666,1.7,1.9,0.13333333333333333,16,8,8
10,0.35,0.65,0.15,0.2,0.016666666666666666,1.85,2.1,0.15,16,8,8
11,0.35,0.65,0.15,0.2,0.016666666666666666,2.0,2.3,0.16666666666666666,16,8,8
12,0.35,0.65,0.15,0.2,0.016666666666666666,2.15,2.5,0.18333333333333332,16,8,8
13,0.35,0.65,0.15,0.2,0.016666666666666666,2.3,2.7,0.2,16,8,8
14,0.35,0.65,0.175,0.2,0.008333333333333333,2.475,2.9,0.20833333333333334,16,8,8
15,0.35,0.65,0.175,0.2,0.008333333333333333,2.65,3.1,0.21666666666666667,16,8,8
16,0.35,0.65,0.2,0.2,0.0,2.85,3.3,0.21666666666666667,16,8,8
17,0.35,0.65,0.175,0.2,0.008333333333333333,3.025,3.5,0.225,16,8,8
18,0.35,0.65,0.125,0.2,0.025,3.15,3.7,0.25,16,8,8
19,0.35,0.65,0.2,0.2,0.0,3.35,3.9,0.25,16,8,8
20,0.35,0.65,0.2,0.2,0.0,3.55,4.1,0.25,16,8,8
21,0.35,0.65,0.15,0.2,0.016666666666666666,3.7,4.3,0.26666666666666666,16,8,8
22,0.35,0.65,0.15,0.2,0.016666666666666666,3.85,4.5,0.2833333333333333,16,8,8
23,0.35,0.65,0.15,0.2,0.016666666666666666,4.0,4.7,0.3,16,8,8
24,0.35,0.65,0.175,0.2,0.008333333333333333,4.175,4.9,0.30833333333333335,16,8,8
25,0.35,0.65,0.2,0.2,0.0,4.375,5.1,0.30833333333333335,16,8,8
26,0.35,0.65,0.175,0.2,0.008333333333333333,4.55,5.3,0.31666666666666665,16,8,8
27,0.35,0.65,0.2,0.2,0.0,4.75,5.5,0.31666666666666665,16,8,8
28,0.35,0.65,0.175,0.2,0.008333333333333333,4.925,5.7,0.325,16,8,8
29,0.35,0.65,0.15,0.2,0.016666666666666666,5.075,5.9,0.3416666666666667,16,8,8
30,0.35,0.65,0.175,0.2,0.008333333333333333,5.25,6.1,0.35,16,8,8
31,0.35,0.65,0.2,0.2,0.0,5.45,6.3,0.35,16,8,8
32,0.35,0.65,0.2,0.2,0.0,5.65,6.5,0.35,16,8,8
33,0.35,0.65,0.175,0.2,0.008333333333333333,5.825,6.7,0.35833333333333334,16,8,8
34,0.35,0.65,0.175,0.2,0.008333333333333333,6.0,6.9,0.36666666666666664,16,8,8
35,0.35,0.65,0.175,0.2,0.008333333333333333,6.175,7.1,0.375,16,8,8
36,0.35,0.65,0.2,0.2,0.0,6.375,7.3,0.375,16,8,8
37,0.35,0.65,0.175,0.2,0.008333333333333333,6.55,7.5,0.38333333333333336,16,8,8
38,0.35,0.65,0.175,0.2,0.008333333333333333,6.725,7.7,0.39166666666666666,16,8,8
39,0.35,0.65,0.2,0.2,0.0,6.925,7.9,0.39166666666666666,16,8,8
40,0.35,0.65,0.2,0.2,0.0,6.925,7.9,0.39166666666666666,16,8,8
