source,target,round,type
40,54,0,exemplar
43,54,0,peer
152,54,0,print
54,40,0,exemplar
54,40,0,peer
139,43,0,exemplar
64,43,0,peer
151,43,0,print
43,139,0,exemplar
6,139,0,peer
88,139,0,print
137,59,0,exemplar
137,59,0,peer
48,59,0,print
40,185,0,exemplar
112,185,0,peer
41,185,0,print
139,6,0,exemplar
8,6,0,peer
175,76,0,exemplar
143,76,0,peer
124,122,0,exemplar
69,122,0,peer
93,123,0,exemplar
140,123,0,peer
163,123,0,print
93,124,0,exemplar
171,124,0,peer
193,28,0,exemplar
38,28,0,peer
194,28,0,print
124,93,0,exemplar
92,93,0,peer
78,93,0,print
128,169,0,exemplar
48,169,0,peer
128,160,0,exemplar
161,160,0,peer
191,136,0,exemplar
191,136,0,peer
156,128,1,exemplar
156,128,1,peer
185,128,1,print
128,156,1,exemplar
153,156,1,peer
128,130,1,exemplar
168,130,1,peer
6,114,1,exemplar
12,114,1,peer
54,64,1,exemplar
119,64,1,peer
14,64,1,print
40,181,1,exemplar
127,181,1,peer
139,115,1,exemplar
39,115,1,peer
40,15,1,exemplar
54,15,1,peer
93,124,1,exemplar
93,124,1,peer
156,157,1,exemplar
101,157,1,peer
181,25,1,exemplar
195,25,1,peer
74,25,1,print
56,13,1,exemplar
19,13,1,peer
156,56,1,exemplar
65,56,1,peer
40,74,1,exemplar
120,74,1,peer
155,54,2,exemplar
57,54,2,peer
128,169,2,exemplar
179,169,2,peer
54,181,2,exemplar
100,181,2,peer
54,43,2,exemplar
54,43,2,peer
25,43,2,print
155,137,2,exemplar
110,137,2,peer
158,137,2,print
155,44,2,exemplar
110,44,2,peer
155,22,2,exemplar
155,22,2,peer
54,82,2,exemplar
59,82,2,peer
183,28,2,exemplar
33,28,2,peer
56,13,2,exemplar
72,13,2,peer
172,13,2,print
128,131,2,exemplar
176,131,2,peer
112,131,2,print
61,36,2,exemplar
99,36,2,peer
196,36,2,print
124,90,2,exemplar
50,90,2,peer
28,193,2,exemplar
69,193,2,peer
128,146,2,exemplar
130,146,2,peer
155,139,3,exemplar
42,139,3,peer
54,155,3,exemplar
42,155,3,peer
28,155,3,print
137,126,3,exemplar
149,126,3,peer
22,183,3,exemplar
176,183,3,peer
196,183,3,print
128,169,3,exemplar
0,169,3,peer
54,181,3,exemplar
129,181,3,peer
155,22,3,exemplar
155,22,3,peer
54,64,3,exemplar
97,64,3,peer
183,28,3,exemplar
183,28,3,peer
82,123,3,exemplar
71,123,3,peer
124,90,3,exemplar
80,90,3,peer
13,211,4,exemplar
56,211,4,peer
11,211,4,print
128,169,4,exemplar
108,169,4,peer
54,181,4,exemplar
180,181,4,peer
155,54,4,exemplar
40,54,4,peer
54,64,4,exemplar
52,64,4,peer
15,64,4,print
155,137,4,exemplar
66,137,4,peer
54,82,4,exemplar
119,82,4,peer
139,115,4,exemplar
139,115,4,peer
181,157,4,exemplar
181,157,4,peer
56,13,4,exemplar
73,13,4,peer
183,93,4,exemplar
124,93,4,peer
191,136,4,exemplar
39,136,4,peer
128,160,4,exemplar
158,160,4,peer
211,209,4,exemplar
94,209,4,peer
157,209,4,print
155,139,5,exemplar
6,139,5,peer
155,22,5,exemplar
38,22,5,peer
137,128,5,exemplar
156,128,5,peer
137,155,5,exemplar
100,155,5,peer
22,183,5,exemplar
134,183,5,peer
64,111,5,exemplar
66,111,5,peer
75,111,5,print
155,137,5,exemplar
76,137,5,peer
155,82,5,exemplar
54,82,5,peer
56,13,5,exemplar
145,13,5,peer
