round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0000/node_0139.png
0,202,128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0000/node_0128.png
0,203,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0000/node_0169.png
2,204,126,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0002/node_0126.png
2,205,183,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0002/node_0183.png
2,206,187,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0002/node_0187.png
2,207,155,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0002/node_0155.png
4,208,111,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0004/node_0111.png
4,209,22,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0004/node_0022.png
4,210,149,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0004/node_0149.png
4,211,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0004/node_0139.png
6,212,127,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0006/node_0127.png
6,213,6,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/C4_highRebel_highMonopoly/generated/round_0006/node_0006.png
