round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,253,0.7878787878787878,8,3,0.5,253,3,0.46415194194945386,0.6382505410281522,1.3750896707390219,0.7878787878787878,0.2667584940312213,0.08108108108108109,1.0,0.9523220403502093,0.08108108108108109,0.15371621621621623,,0.2625,0.7375,0.12195121951219512,0.1951219512195122,0.02459016393442623,0.12195121951219512,0.1951219512195122,0.02459016393442623,16,8,8,4.0,1.0,40.29260083655437,0.15924413074714006,0.25,0.25,0.5,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|dramatic contrast
5,187,0.6890208907254362,8,8,0.5244755244755245,187,8,0.4281510528383198,0.6911604728696695,1.6142911906622555,0.6890208907254362,0.2551078971533517,0.1619718309859155,0.7816901408450704,0.8805792501487799,0.1619718309859155,0.22919334186939833,0.25,0.275,0.725,0.23255813953488372,0.0,0.047619047619047616,1.0465116279069768,0.6744186046511628,0.1746031746031746,10,8,8,,,,,,,,
10,170,0.6105693614344133,8,8,0.5043478260869565,170,8,0.43943623593215714,0.6193092826336019,1.4093268419703435,0.6105693614344133,0.2901141010609397,0.15920398009950248,0.8208955223880597,0.8859400182187651,0.15920398009950248,0.2801547816473191,0.07499999999999996,0.25,0.75,0.06818181818181818,0.1590909090909091,0.045454545454545456,1.4545454545454546,1.0454545454545454,0.3712121212121212,9,8,8,4.0,1.0,40.90495814622405,0.19065998674443765,0.25,0.5,0.25,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|dramatic contrast
10,170,0.6105693614344133,8,8,0.5043478260869565,170,8,0.43943623593215714,0.6193092826336019,1.4093268419703435,0.6105693614344133,0.2901141010609397,0.15920398009950248,0.8208955223880597,0.8859400182187651,0.15920398009950248,0.2801547816473191,0.07499999999999996,0.2875,0.7125,0.1111111111111111,0.1111111111111111,0.04477611940298507,1.5555555555555556,1.1333333333333333,0.40298507462686567,10,8,8,4.0,1.0,40.90495814622405,0.19065998674443765,0.25,0.5,0.25,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|dramatic contrast
15,155,0.5997133733456448,8,8,0.4766355140186916,155,8,0.4161119723124755,0.698130500293311,1.6777467286354748,0.5997133733456448,0.312019082794706,0.18442622950819673,0.819672131147541,0.8884784114523203,0.18442622950819673,0.3261248692012557,0.03749999999999998,0.275,0.725,0.10638297872340426,0.10638297872340426,0.043478260869565216,2.0638297872340425,1.5319148936170213,0.6231884057971014,11,8,8,,,,,,,,
20,138,0.554944312283737,8,8,0.4406779661016949,138,8,0.418762169175293,0.6085779679517704,1.453278287172643,0.554944312283737,0.3279898356401384,0.18275862068965518,0.8310344827586207,0.8898737251092763,0.18275862068965518,0.3617171006333568,0.07499999999999996,0.2625,0.7375,0.08333333333333333,0.10416666666666667,0.04861111111111111,2.3541666666666665,1.9791666666666667,0.7708333333333334,10,8,8,4.0,1.0,42.65294086780458,0.23599272413347286,0.0,0.5,0.5,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|soft contrast
20,138,0.554944312283737,8,8,0.4406779661016949,138,8,0.418762169175293,0.6085779679517704,1.453278287172643,0.554944312283737,0.3279898356401384,0.18275862068965518,0.8310344827586207,0.8898737251092763,0.18275862068965518,0.3617171006333568,0.07499999999999996,0.2875,0.7125,0.14285714285714285,0.04081632653061224,0.04794520547945205,2.4693877551020407,1.9795918367346939,0.8013698630136986,11,8,8,4.0,1.0,42.65294086780458,0.23599272413347286,0.0,0.5,0.5,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|soft contrast
25,127,0.5460718002081165,8,8,0.4959349593495935,127,8,0.42023891553821974,0.6063373687244152,1.4428396474130685,0.5460718002081165,0.3316077003121748,0.2326283987915408,0.8338368580060423,0.8919939577039273,0.2326283987915408,0.3865256797583081,0.050000000000000044,0.2875,0.7125,0.13725490196078433,0.09803921568627451,0.02666666666666667,3.372549019607843,2.450980392156863,0.7866666666666666,10,8,8,,,,,,,,
30,111,0.5379878176853602,8,8,0.5169491525423728,111,8,0.42023891553821974,0.6063373687244152,1.4428396474130685,0.5379878176853602,0.3434068473009872,0.24795640326975477,0.8419618528610354,0.8967743792455001,0.24795640326975477,0.4136784741144415,0.012499999999999956,0.25,0.75,0.15384615384615385,0.038461538461538464,0.038461538461538464,3.8653846153846154,1.8076923076923077,1.1794871794871795,10,8,8,4.0,1.0,39.83754205255353,0.19521208447423669,0.25,0.5,0.25,warm palette|figurative composition|renaissance-inspired texture|high-key lighting|soft contrast
30,111,0.5379878176853602,8,8,0.5169491525423728,111,8,0.42023891553821974,0.6063373687244152,1.4428396474130685,0.5379878176853602,0.3434068473009872,0.24795640326975477,0.8419618528610354,0.8967743792455001,0.24795640326975477,0.4136784741144415,0.012499999999999956,0.25,0.75,0.09433962264150944,0.05660377358490566,0.05063291139240506,3.8867924528301887,1.830188679245283,1.2151898734177216,10,8,8,4.0,1.0,39.83754205255353,0.19521208447423669,0.25,0.5,0.25,warm palette|figurative composition|renaissance-inspired texture|high-key lighting|soft contrast
