source,target,round,type
40,54,0,exemplar
43,54,0,peer
152,54,0,print
54,40,0,exemplar
54,40,0,peer
139,43,0,exemplar
64,43,0,peer
151,43,0,print
43,139,0,exemplar
6,139,0,peer
89,139,0,print
40,185,0,exemplar
129,185,0,peer
49,185,0,print
137,59,0,exemplar
44,59,0,peer
42,59,0,print
139,6,0,exemplar
8,6,0,peer
175,76,0,exemplar
143,76,0,peer
124,122,0,exemplar
69,122,0,peer
93,123,0,exemplar
140,123,0,peer
163,123,0,print
93,124,0,exemplar
171,124,0,peer
193,28,0,exemplar
38,28,0,peer
194,28,0,print
124,93,0,exemplar
92,93,0,peer
79,93,0,print
128,169,0,exemplar
48,169,0,peer
128,160,0,exemplar
161,160,0,peer
191,136,0,exemplar
191,136,0,peer
128,156,1,exemplar
164,156,1,peer
185,156,1,print
42,40,1,exemplar
44,40,1,peer
110,59,1,exemplar
126,59,1,peer
76,110,1,exemplar
175,110,1,peer
40,100,1,exemplar
2,100,1,peer
14,100,1,print
139,42,1,exemplar
66,42,1,peer
42,64,1,exemplar
54,64,1,peer
40,181,1,exemplar
112,181,1,peer
156,157,1,exemplar
48,157,1,peer
173,125,1,exemplar
69,125,1,peer
128,131,1,exemplar
128,131,1,peer
73,131,1,print
125,173,1,exemplar
45,173,1,peer
181,25,1,exemplar
0,25,1,peer
56,13,1,exemplar
94,13,1,peer
156,56,1,exemplar
13,56,1,peer
156,128,2,exemplar
108,128,2,peer
40,54,2,exemplar
97,54,2,peer
112,110,2,exemplar
71,110,2,peer
139,42,2,exemplar
54,42,2,peer
26,42,2,print
128,169,2,exemplar
161,169,2,peer
160,169,2,print
40,181,2,exemplar
99,181,2,peer
54,155,2,exemplar
100,155,2,peer
54,44,2,exemplar
137,44,2,peer
181,25,2,exemplar
101,25,2,peer
56,13,2,exemplar
72,13,2,peer
171,13,2,print
139,135,2,exemplar
21,135,2,peer
112,135,2,print
173,91,2,exemplar
45,91,2,peer
198,91,2,print
54,121,2,exemplar
120,121,2,peer
173,193,2,exemplar
69,193,2,peer
156,128,3,exemplar
0,128,3,peer
128,156,3,exemplar
153,156,3,peer
110,147,3,exemplar
4,147,3,peer
29,147,3,print
156,164,3,exemplar
108,164,3,peer
112,110,3,exemplar
66,110,3,peer
198,110,3,print
181,40,3,exemplar
129,40,3,peer
128,169,3,exemplar
161,169,3,peer
40,181,3,exemplar
99,181,3,peer
181,25,3,exemplar
180,25,3,peer
93,123,3,exemplar
8,123,3,peer
198,93,3,exemplar
50,93,3,peer
147,139,4,exemplar
41,139,4,peer
11,139,4,print
40,147,4,exemplar
42,147,4,peer
40,112,4,exemplar
40,112,4,peer
128,169,4,exemplar
197,169,4,peer
40,181,4,exemplar
57,181,4,peer
17,181,4,print
110,198,4,exemplar
69,198,4,peer
112,64,4,exemplar
111,64,4,peer
40,185,4,exemplar
40,185,4,peer
13,209,4,exemplar
207,209,4,peer
181,25,4,exemplar
101,25,4,peer
38,13,4,exemplar
94,13,4,peer
40,147,5,exemplar
8,147,5,peer
112,40,5,exemplar
20,40,5,peer
156,128,5,exemplar
50,128,5,peer
158,128,5,print
147,139,5,exemplar
6,139,5,peer
40,112,5,exemplar
111,112,5,peer
128,169,5,exemplar
61,169,5,peer
147,42,5,exemplar
64,42,5,peer
40,155,5,exemplar
44,155,5,peer
181,25,5,exemplar
0,25,5,peer
75,25,5,print
38,13,5,exemplar
113,13,5,peer
40,147,6,exemplar
143,147,6,peer
128,169,6,exemplar
61,169,6,peer
