round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,252,0.8079584775086506,8,3,0.425,252,3,0.46415194194945386,0.6382505410281522,1.3750896707390219,0.8079584775086506,0.31531141868512114,0.07894736842105263,1.0,0.9521868050407709,0.07894736842105263,0.1513157894736843,,0.2625,0.7375,0.12195121951219512,0.1951219512195122,0.02459016393442623,0.12195121951219512,0.1951219512195122,0.02459016393442623,16,8,8,4.0,1.0,39.871466943565295,0.15924413074714006,1.0,0.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
5,198,0.666229248046875,8,8,0.4632352941176471,198,8,0.433022499306291,0.6168052318205568,1.4244184373991853,0.666229248046875,0.310211181640625,0.1773049645390071,0.8226950354609929,0.8927929277794424,0.1773049645390071,0.25739491437467565,0.19999999999999996,0.325,0.675,0.23255813953488372,0.06976744186046512,0.023809523809523808,0.9534883720930233,0.7674418604651163,0.1746031746031746,10,8,8,,,,,,,,
10,163,0.64155161078238,8,8,0.30158730158730157,163,8,0.4315877579250877,0.670106594018047,1.5526543135506634,0.64155161078238,0.3629585798816568,0.2222222222222222,0.7453703703703703,0.8719353155972873,0.2222222222222222,0.2868554829339143,0.125,0.275,0.725,0.18181818181818182,0.06818181818181818,0.03787878787878788,1.5454545454545454,0.8181818181818182,0.4166666666666667,10,8,8,4.0,1.0,41.423892457990235,0.17769637982242084,1.0,0.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
10,163,0.64155161078238,8,8,0.30158730158730157,163,8,0.4315877579250877,0.670106594018047,1.5526543135506634,0.64155161078238,0.3629585798816568,0.2222222222222222,0.7453703703703703,0.8719353155972873,0.2222222222222222,0.2868554829339143,0.125,0.3,0.7,0.13333333333333333,0.13333333333333333,0.029850746268656716,1.6444444444444444,0.9333333333333333,0.44029850746268656,13,8,8,4.0,1.0,41.423892457990235,0.17769637982242084,1.0,0.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
15,149,0.6047418967587035,8,8,0.30701754385964913,149,8,0.42688799536171024,0.654715534685167,1.5336939473559432,0.6047418967587035,0.3927953534354919,0.21673003802281368,0.752851711026616,0.873306378193113,0.21673003802281368,0.3211134227706436,0.07499999999999996,0.275,0.725,0.1276595744680851,0.0851063829787234,0.043478260869565216,2.8297872340425534,0.7659574468085106,0.6231884057971014,10,8,8,,,,,,,,
20,138,0.557155612244898,8,8,0.3565217391304348,138,8,0.413691132510786,0.6847271314374436,1.655165116258785,0.557155612244898,0.3904591836734694,0.2262295081967213,0.7737704918032787,0.8792542138074346,0.2262295081967213,0.36496660595021235,0.08750000000000002,0.2875,0.7125,0.1875,0.08333333333333333,0.020833333333333332,3.4791666666666665,1.7916666666666667,0.4583333333333333,11,8,8,4.0,1.0,40.418333779120346,0.1881625435193454,1.0,0.0,0.0,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|soft contrast
20,138,0.557155612244898,8,8,0.3565217391304348,138,8,0.413691132510786,0.6847271314374436,1.655165116258785,0.557155612244898,0.3904591836734694,0.2262295081967213,0.7737704918032787,0.8792542138074346,0.2262295081967213,0.36496660595021235,0.08750000000000002,0.275,0.725,0.16326530612244897,0.12244897959183673,0.0136986301369863,3.5714285714285716,2.1020408163265305,0.3904109589041096,10,8,8,4.0,1.0,40.418333779120346,0.1881625435193454,1.0,0.0,0.0,warm palette|figurative composition|renaissance-inspired texture|low-key lighting|soft contrast
25,123,0.5434194482548391,8,8,0.2857142857142857,123,8,0.40714896169708703,0.7114164305477958,1.7473124027688898,0.5434194482548391,0.4073216735253772,0.22285714285714286,0.7742857142857142,0.8795573440643862,0.22285714285714286,0.37807792207792223,0.08750000000000002,0.2875,0.7125,0.19607843137254902,0.11764705882352941,0.0,4.921568627450981,2.784313725490196,0.14666666666666667,10,8,8,,,,,,,,
30,108,0.556442184717024,8,8,0.275,108,8,0.4083552207982678,0.6318001605404013,1.5471827672616385,0.556442184717024,0.4095873643575077,0.21502590673575128,0.7901554404145078,0.8821425965117127,0.21502590673575128,0.4022945965951148,0.050000000000000044,0.2875,0.7125,0.19230769230769232,0.09615384615384616,0.00641025641025641,5.673076923076923,2.980769230769231,0.1858974358974359,11,8,8,4.0,1.0,39.79038495983055,0.17949790626268816,1.0,0.0,0.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|low-key lighting
30,108,0.556442184717024,8,8,0.275,108,8,0.4083552207982678,0.6318001605404013,1.5471827672616385,0.556442184717024,0.4095873643575077,0.21502590673575128,0.7901554404145078,0.8821425965117127,0.21502590673575128,0.4022945965951148,0.050000000000000044,0.275,0.725,0.22641509433962265,0.03773584905660377,0.012658227848101266,5.7924528301886795,2.1132075471698113,0.4810126582278481,10,8,8,4.0,1.0,39.79038495983055,0.17949790626268816,1.0,0.0,0.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|low-key lighting
35,100,0.5513569524640567,8,8,0.28125,100,8,0.4083552207982678,0.6318001605404013,1.5471827672616385,0.5513569524640567,0.40900817375535997,0.22760290556900725,0.8038740920096852,0.8863093817140129,0.22760290556900725,0.42342615012106544,0.0,0.2875,0.7125,0.18181818181818182,0.03636363636363636,0.024691358024691357,6.527272727272727,2.018181818181818,0.6481481481481481,12,8,8,,,,,,,,
