source,target,round,type
40,54,0,exemplar
43,54,0,peer
151,54,0,print
54,40,0,exemplar
54,40,0,peer
139,43,0,exemplar
64,43,0,peer
151,43,0,print
43,139,0,exemplar
6,139,0,peer
88,139,0,print
40,185,0,exemplar
129,185,0,peer
48,185,0,print
137,59,0,exemplar
44,59,0,peer
41,59,0,print
139,6,0,exemplar
8,6,0,peer
175,76,0,exemplar
143,76,0,peer
124,122,0,exemplar
69,122,0,peer
93,123,0,exemplar
140,123,0,peer
163,123,0,print
93,124,0,exemplar
171,124,0,peer
193,28,0,exemplar
38,28,0,peer
194,28,0,print
124,93,0,exemplar
92,93,0,peer
78,93,0,print
128,169,0,exemplar
48,169,0,peer
128,160,0,exemplar
161,160,0,peer
191,136,0,exemplar
191,136,0,peer
156,128,1,exemplar
156,128,1,peer
185,128,1,print
128,156,1,exemplar
153,156,1,peer
76,143,1,exemplar
5,143,1,peer
128,130,1,exemplar
101,130,1,peer
6,114,1,exemplar
15,114,1,peer
14,114,1,print
54,64,1,exemplar
97,64,1,peer
40,181,1,exemplar
138,181,1,peer
139,115,1,exemplar
133,115,1,peer
93,124,1,exemplar
93,124,1,peer
156,157,1,exemplar
101,157,1,peer
181,25,1,exemplar
195,25,1,peer
74,25,1,print
56,13,1,exemplar
19,13,1,peer
156,56,1,exemplar
65,56,1,peer
40,74,1,exemplar
120,74,1,peer
156,128,2,exemplar
108,128,2,peer
128,169,2,exemplar
179,169,2,peer
40,181,2,exemplar
100,181,2,peer
139,43,2,exemplar
54,43,2,peer
25,43,2,print
110,76,2,exemplar
175,76,2,peer
158,76,2,print
43,112,2,exemplar
54,112,2,peer
76,110,2,exemplar
119,110,2,peer
54,97,2,exemplar
102,97,2,peer
181,25,2,exemplar
101,25,2,peer
56,13,2,exemplar
72,13,2,peer
171,13,2,print
114,98,2,exemplar
119,98,2,peer
111,98,2,print
124,91,2,exemplar
45,91,2,peer
196,91,2,print
114,121,2,exemplar
120,121,2,peer
124,134,2,exemplar
31,134,2,peer
43,139,3,exemplar
21,139,3,peer
128,184,3,exemplar
101,184,3,peer
110,109,3,exemplar
9,109,3,peer
28,109,3,print
128,169,3,exemplar
179,169,3,peer
185,181,3,exemplar
129,181,3,peer
196,181,3,print
156,188,3,exemplar
196,188,3,peer
128,130,3,exemplar
100,130,3,peer
181,185,3,exemplar
9,185,3,peer
124,122,3,exemplar
45,122,3,peer
181,25,3,exemplar
195,25,3,peer
134,28,3,exemplar
192,28,3,peer
128,169,4,exemplar
167,169,4,peer
10,169,4,print
54,112,4,exemplar
99,112,4,peer
43,54,4,exemplar
42,54,4,peer
38,114,4,exemplar
82,114,4,peer
126,59,4,exemplar
100,59,4,peer
16,59,4,print
13,211,4,exemplar
200,211,4,peer
76,71,4,exemplar
110,71,4,peer
114,22,4,exemplar
18,22,4,peer
181,25,4,exemplar
185,25,4,peer
156,157,4,exemplar
14,157,4,peer
114,98,4,exemplar
114,98,4,peer
38,13,4,exemplar
73,13,4,peer
124,91,4,exemplar
78,91,4,peer
128,160,4,exemplar
186,160,4,peer
158,160,4,print
156,128,5,exemplar
156,128,5,peer
43,139,5,exemplar
115,139,5,peer
128,184,5,exemplar
165,184,5,peer
54,109,5,exemplar
8,109,5,peer
114,38,5,exemplar
22,38,5,peer
59,126,5,exemplar
154,126,5,peer
76,126,5,print
156,188,5,exemplar
195,188,5,peer
38,114,5,exemplar
113,114,5,peer
181,25,5,exemplar
162,25,5,peer
38,13,5,exemplar
113,13,5,peer
