round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0000/node_0139.png
0,202,128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0000/node_0128.png
0,203,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0000/node_0169.png
2,204,126,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0002/node_0126.png
2,205,184,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0002/node_0184.png
2,206,188,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0002/node_0188.png
2,207,109,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0002/node_0109.png
4,208,38,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0004/node_0038.png
4,209,28,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0004/node_0028.png
4,210,189,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0004/node_0189.png
4,211,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0004/node_0156.png
6,212,120,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0006/node_0120.png
6,213,93,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0006/node_0093.png
6,214,157,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0006/node_0157.png
6,215,119,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0006/node_0119.png
8,216,133,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0008/node_0133.png
8,217,170,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0008/node_0170.png
8,218,56,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0008/node_0056.png
8,219,74,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0008/node_0074.png
10,220,214,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0010/node_0214.png
10,221,184,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A2_differentiationOnly/generated/round_0010/node_0184.png
