round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,254,0.7768166089965398,8,3,0.55,254,3,0.46415194194945386,0.6382505410281522,1.3750896707390219,0.7768166089965398,0.23140138408304498,0.07894736842105263,1.0,0.9521868050407709,0.07894736842105263,0.1513157894736843,,0.2625,0.7375,0.14634146341463414,0.1951219512195122,0.01639344262295082,0.14634146341463414,0.1951219512195122,0.01639344262295082,16,8,8,4.0,1.0,39.98366114988275,0.15924413074714006,0.0,1.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|soft contrast
5,192,0.6953473910339759,8,8,0.46099290780141844,192,8,0.43739857186364817,0.6635939899334604,1.5171379895138866,0.6953473910339759,0.31276499519475376,0.1793103448275862,0.7931034482758621,0.8846770276833413,0.1793103448275862,0.2556426332288402,0.275,0.3,0.7,0.18604651162790697,0.023255813953488372,0.05555555555555555,0.8837209302325582,0.7441860465116279,0.20634920634920634,10,8,8,,,,,,,,
10,166,0.597699011584653,8,8,0.3017241379310345,166,8,0.441717725830234,0.6235053286872202,1.4115469953470985,0.597699011584653,0.36507599107237754,0.19230769230769232,0.8221153846153846,0.8883396533044419,0.19230769230769232,0.31061872909698995,0.07499999999999996,0.2875,0.7125,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.3409090909090908,0.8863636363636364,0.45454545454545453,12,8,8,4.0,1.0,40.82659432060487,0.22014945631049246,0.0,1.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|dramatic contrast
10,166,0.597699011584653,8,8,0.3017241379310345,166,8,0.441717725830234,0.6235053286872202,1.4115469953470985,0.597699011584653,0.36507599107237754,0.19230769230769232,0.8221153846153846,0.8883396533044419,0.19230769230769232,0.31061872909698995,0.07499999999999996,0.3,0.7,0.08888888888888889,0.044444444444444446,0.06716417910447761,1.4,0.9111111111111111,0.5149253731343284,9,8,7,4.0,1.0,40.82659432060487,0.22014945631049246,0.0,1.0,0.0,low-key lighting|warm palette|figurative composition|renaissance-inspired texture|dramatic contrast
15,149,0.5917278075219777,8,8,0.2689075630252101,149,8,0.41199534730215,0.6656074475457462,1.6155703017141154,0.5917278075219777,0.3992002115143103,0.22641509433962265,0.8113207547169812,0.8848923731065639,0.22641509433962265,0.34618867924528307,0.08750000000000002,0.275,0.725,0.1276595744680851,0.1276595744680851,0.028985507246376812,1.872340425531915,1.2765957446808511,0.7608695652173914,10,8,8,,,,,,,,
20,132,0.5721993152006173,8,8,0.30434782608695654,132,8,0.4097230222057256,0.6490159868280756,1.5840359258655445,0.5721993152006173,0.4091133777006173,0.2305194805194805,0.8246753246753247,0.888124199743918,0.2305194805194805,0.37700534759358306,0.03749999999999998,0.25,0.75,0.10416666666666667,0.0625,0.05555555555555555,2.125,1.4791666666666667,1.0,9,8,8,4.0,1.0,40.94037873661959,0.17285756869426028,0.0,1.0,0.0,figurative composition|renaissance-inspired texture|low-key lighting|warm palette|dramatic contrast
20,132,0.5721993152006173,8,8,0.30434782608695654,132,8,0.4097230222057256,0.6490159868280756,1.5840359258655445,0.5721993152006173,0.4091133777006173,0.2305194805194805,0.8246753246753247,0.888124199743918,0.2305194805194805,0.37700534759358306,0.03749999999999998,0.2625,0.7375,0.08163265306122448,0.12244897959183673,0.0410958904109589,2.163265306122449,1.5714285714285714,1.0273972602739727,10,8,8,4.0,1.0,40.94037873661959,0.17285756869426028,0.0,1.0,0.0,figurative composition|renaissance-inspired texture|low-key lighting|warm palette|dramatic contrast
25,124,0.5536572664637077,8,8,0.27102803738317754,124,8,0.4097230222057256,0.6490159868280756,1.5840359258655445,0.5536572664637077,0.40481293062009294,0.23668639053254437,0.834319526627219,0.8912617718143176,0.23668639053254437,0.39447731755424065,0.0,0.275,0.725,0.0784313725490196,0.0784313725490196,0.05333333333333334,2.8627450980392157,1.9803921568627452,1.1066666666666667,10,8,8,,,,,,,,
30,114,0.534740552641251,8,8,0.2037037037037037,114,8,0.40480609064917084,0.6334446180011997,1.564809998252177,0.534740552641251,0.41380016037956496,0.24728260869565216,0.8396739130434783,0.893390232700551,0.24728260869565216,0.4177466555183946,0.03749999999999998,0.25,0.75,0.057692307692307696,0.07692307692307693,0.057692307692307696,3.076923076923077,3.0384615384615383,1.0192307692307692,11,8,8,4.0,1.0,41.56522545887213,0.15915336814243974,0.0,1.0,0.0,figurative composition|renaissance-inspired texture|warm palette|high-key lighting|dramatic contrast
30,114,0.534740552641251,8,8,0.2037037037037037,114,8,0.40480609064917084,0.6334446180011997,1.564809998252177,0.534740552641251,0.41380016037956496,0.24728260869565216,0.8396739130434783,0.893390232700551,0.24728260869565216,0.4177466555183946,0.03749999999999998,0.2375,0.7625,0.05660377358490566,0.09433962264150944,0.05063291139240506,3.0754716981132075,3.0754716981132075,1.0569620253164558,9,8,8,4.0,1.0,41.56522545887213,0.15915336814243974,0.0,1.0,0.0,figurative composition|renaissance-inspired texture|warm palette|high-key lighting|dramatic contrast
