id,path,S,M,I
0,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/117009.jpg,1.0,1.0,1.0
1,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/123003.jpg,1.0,1.0,1.0
2,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/125673.jpg,1.0,1.0,1.0
3,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/125707.jpg,1.0,1.0,1.0
4,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/125934.jpg,1.0,1.0,1.0
5,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126015.jpg,1.0,1.0,1.0
6,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126041.jpg,1.2,1.0,2.0
7,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126659.jpg,1.0,1.0,1.0
8,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126748.jpg,2.8000000000000003,3.4000000000000004,5.199999999999999
9,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126749.jpg,1.0,1.0,1.0
10,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126765.jpg,1.0,1.0,1.0
11,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126838.jpg,1.0,1.0,1.0
12,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126910.jpg,1.0,1.0,1.0
13,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126954.jpg,1.6,2.5999999999999996,6.4
14,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/126991.jpg,1.6,1.8,2.4
15,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127025.jpg,1.0,1.0,1.0
16,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127055.jpg,1.0,1.0,1.0
17,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127178.jpg,1.0,1.0,1.0
18,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127205.jpg,1.0,1.0,1.0
19,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127311.jpg,1.0,1.0,1.0
20,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127333.jpg,1.0,1.0,1.0
21,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127347.jpg,1.0,1.0,1.0
22,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127348.jpg,1.2,1.0,2.0
23,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127353.jpg,1.0,1.0,1.0
24,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127386.jpg,1.0,1.0,1.0
25,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127394.jpg,1.6,6.000000000000003,23.4
26,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127396.jpg,1.0,1.0,1.0
27,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127479.jpg,1.0,1.0,1.0
28,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127679.jpg,1.6,3.6000000000000014,11.4
29,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/images/127681.jpg,1.0,1.0,1.0
