source,target,round,type
40,54,0,exemplar
43,54,0,peer
151,54,0,print
54,40,0,exemplar
54,40,0,peer
139,43,0,exemplar
64,43,0,peer
150,43,0,print
43,139,0,exemplar
6,139,0,peer
87,139,0,print
40,185,0,exemplar
129,185,0,peer
48,185,0,print
137,59,0,exemplar
44,59,0,peer
41,59,0,print
139,6,0,exemplar
8,6,0,peer
175,76,0,exemplar
143,76,0,peer
124,122,0,exemplar
69,122,0,peer
93,123,0,exemplar
140,123,0,peer
163,123,0,print
93,124,0,exemplar
171,124,0,peer
193,28,0,exemplar
38,28,0,peer
194,28,0,print
124,93,0,exemplar
92,93,0,peer
78,93,0,print
128,169,0,exemplar
48,169,0,peer
128,160,0,exemplar
161,160,0,peer
191,136,0,exemplar
191,136,0,peer
156,128,1,exemplar
156,128,1,peer
185,128,1,print
128,156,1,exemplar
153,156,1,peer
54,40,1,exemplar
181,40,1,peer
143,113,1,exemplar
137,113,1,peer
76,143,1,exemplar
113,143,1,peer
14,143,1,print
6,114,1,exemplar
71,114,1,peer
40,181,1,exemplar
138,181,1,peer
40,66,1,exemplar
42,66,1,peer
93,123,1,exemplar
121,123,1,peer
156,157,1,exemplar
101,157,1,peer
128,131,1,exemplar
128,131,1,peer
74,131,1,print
113,13,1,exemplar
19,13,1,peer
169,179,1,exemplar
125,179,1,peer
181,55,1,exemplar
107,55,1,peer
156,128,2,exemplar
108,128,2,peer
40,181,2,exemplar
99,181,2,peer
139,43,2,exemplar
42,43,2,peer
110,76,2,exemplar
75,76,2,peer
26,76,2,print
40,112,2,exemplar
42,112,2,peer
159,112,2,print
76,110,2,exemplar
119,110,2,peer
114,38,2,exemplar
78,38,2,peer
54,97,2,exemplar
102,97,2,peer
169,179,2,exemplar
169,179,2,peer
38,13,2,exemplar
72,13,2,peer
172,13,2,print
114,98,2,exemplar
119,98,2,peer
110,98,2,print
181,55,2,exemplar
97,55,2,peer
196,55,2,print
179,170,2,exemplar
30,170,2,peer
181,25,2,exemplar
39,25,2,peer
123,121,2,exemplar
82,121,2,peer
43,139,3,exemplar
42,139,3,peer
128,108,3,exemplar
168,108,3,peer
30,108,3,print
139,189,3,exemplar
185,189,3,peer
108,186,3,exemplar
159,186,3,peer
196,186,3,print
181,40,3,exemplar
129,40,3,peer
40,181,3,exemplar
129,181,3,peer
76,143,3,exemplar
133,143,3,peer
40,66,3,exemplar
44,66,3,peer
66,98,3,exemplar
152,98,3,peer
93,124,3,exemplar
183,124,3,peer
128,131,3,exemplar
85,131,3,peer
179,170,3,exemplar
174,170,3,peer
139,189,4,exemplar
42,189,4,peer
10,189,4,print
40,181,4,exemplar
185,181,4,peer
40,66,4,exemplar
147,66,4,peer
143,113,4,exemplar
115,113,4,peer
40,54,4,exemplar
140,54,4,peer
16,54,4,print
54,97,4,exemplar
64,97,4,peer
143,59,4,exemplar
137,59,4,peer
181,99,4,exemplar
100,99,4,peer
128,131,4,exemplar
183,131,4,peer
179,170,4,exemplar
77,170,4,peer
181,157,4,exemplar
48,157,4,peer
113,13,4,exemplar
73,13,4,peer
181,55,4,exemplar
20,55,4,peer
39,136,4,exemplar
26,136,4,peer
158,136,4,print
43,139,5,exemplar
6,139,5,peer
128,108,5,exemplar
153,108,5,peer
108,169,5,exemplar
61,169,5,peer
40,181,5,exemplar
99,181,5,peer
181,40,5,exemplar
44,40,5,peer
40,54,5,exemplar
53,54,5,peer
76,54,5,print
54,97,5,exemplar
96,97,5,peer
40,112,5,exemplar
111,112,5,peer
