round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.12195121951219512,0.1951219512195122,0.02459016393442623,0.12195121951219512,0.1951219512195122,0.02459016393442623,16,8,8
1,0.275,0.725,0.1951219512195122,0.0975609756097561,0.03278688524590164,0.3170731707317073,0.2926829268292683,0.05737704918032787,14,8,8
2,0.275,0.725,0.1951219512195122,0.0975609756097561,0.03278688524590164,0.3170731707317073,0.2926829268292683,0.05737704918032787,14,8,8
2,0.3,0.7,0.19047619047619047,0.11904761904761904,0.024193548387096774,0.5,0.40476190476190477,0.08064516129032258,15,8,8
3,0.3,0.7,0.19047619047619047,0.09523809523809523,0.03225806451612903,0.6904761904761905,0.5,0.11290322580645161,12,8,8
4,0.3,0.7,0.19047619047619047,0.09523809523809523,0.03225806451612903,0.6904761904761905,0.5,0.11290322580645161,12,8,8
4,0.325,0.675,0.13953488372093023,0.09302325581395349,0.03968253968253968,0.813953488372093,0.5348837209302325,0.16666666666666666,14,8,7
5,0.325,0.675,0.20930232558139536,0.13953488372093023,0.007936507936507936,1.0232558139534884,0.6744186046511628,0.1746031746031746,13,8,8
6,0.325,0.675,0.20930232558139536,0.13953488372093023,0.007936507936507936,1.0232558139534884,0.6744186046511628,0.1746031746031746,13,8,8
6,0.3,0.7,0.18181818181818182,0.13636363636363635,0.015625,1.1136363636363635,0.7727272727272727,0.21875,12,8,8
7,0.3,0.7,0.20454545454545456,0.06818181818181818,0.0234375,1.3181818181818181,0.8409090909090909,0.2421875,11,8,7
8,0.3,0.7,0.20454545454545456,0.06818181818181818,0.0234375,1.3181818181818181,0.8409090909090909,0.2421875,11,8,7
8,0.3,0.7,0.18181818181818182,0.045454545454545456,0.045454545454545456,1.5,0.7954545454545454,0.3106060606060606,10,8,8
9,0.3,0.7,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.5909090909090908,0.9090909090909091,0.36363636363636365,11,8,8
10,0.3,0.7,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.5909090909090908,0.9090909090909091,0.36363636363636365,11,8,8
10,0.3,0.7,0.15555555555555556,0.1111111111111111,0.029850746268656716,1.711111111111111,1.0,0.3880597014925373,11,8,8
11,0.3,0.7,0.1111111111111111,0.13333333333333333,0.029850746268656716,1.8222222222222222,1.1333333333333333,0.417910447761194,8,8,7
12,0.3,0.7,0.1111111111111111,0.13333333333333333,0.029850746268656716,1.8222222222222222,1.1333333333333333,0.417910447761194,8,8,7
12,0.3,0.7,0.15217391304347827,0.06521739130434782,0.04411764705882353,1.934782608695652,1.108695652173913,0.47794117647058826,9,8,8
13,0.3,0.7,0.10869565217391304,0.06521739130434782,0.058823529411764705,2.0434782608695654,1.173913043478261,0.5367647058823529,9,8,8
14,0.3,0.7,0.10869565217391304,0.06521739130434782,0.058823529411764705,2.0434782608695654,1.173913043478261,0.5367647058823529,9,8,8
14,0.2875,0.7125,0.1276595744680851,0.0425531914893617,0.057971014492753624,2.127659574468085,1.1702127659574468,0.5942028985507246,10,8,8
15,0.2875,0.7125,0.1702127659574468,0.1276595744680851,0.014492753623188406,2.297872340425532,1.297872340425532,0.6086956521739131,10,8,8
16,0.2875,0.7125,0.1702127659574468,0.1276595744680851,0.014492753623188406,2.297872340425532,1.297872340425532,0.6086956521739131,10,8,8
16,0.3125,0.6875,0.16666666666666666,0.041666666666666664,0.04285714285714286,2.4791666666666665,1.2083333333333333,0.6571428571428571,10,8,8
17,0.3125,0.6875,0.10416666666666667,0.10416666666666667,0.04285714285714286,2.5833333333333335,1.3125,0.7,11,8,8
18,0.3125,0.6875,0.10416666666666667,0.10416666666666667,0.04285714285714286,2.5833333333333335,1.3125,0.7,11,8,8
18,0.2625,0.7375,0.14583333333333334,0.10416666666666667,0.027777777777777776,2.6666666666666665,1.3541666666666667,0.75,9,8,8
19,0.2625,0.7375,0.08333333333333333,0.08333333333333333,0.05555555555555555,2.75,1.4375,0.8055555555555556,10,8,8
20,0.2625,0.7375,0.08333333333333333,0.08333333333333333,0.05555555555555555,2.75,1.4375,0.8055555555555556,10,8,8
20,0.275,0.725,0.12244897959183673,0.02040816326530612,0.06164383561643835,2.816326530612245,1.2244897959183674,0.9246575342465754,10,8,8
21,0.275,0.725,0.10204081632653061,0.02040816326530612,0.0684931506849315,2.9183673469387754,1.2448979591836735,0.9931506849315068,10,8,8
22,0.275,0.725,0.10204081632653061,0.02040816326530612,0.0684931506849315,2.9183673469387754,1.2448979591836735,0.9931506849315068,10,8,8
22,0.2875,0.7125,0.12,0.04,0.05405405405405406,3.42,1.32,0.8648648648648649,11,8,8
23,0.2875,0.7125,0.16,0.06,0.033783783783783786,3.58,1.38,0.8986486486486487,10,8,8
24,0.2875,0.7125,0.16,0.06,0.033783783783783786,3.58,1.38,0.8986486486486487,10,8,8
24,0.2875,0.7125,0.19607843137254902,0.0196078431372549,0.03333333333333333,3.7058823529411766,1.3725490196078431,0.92,10,8,8
25,0.2875,0.7125,0.19607843137254902,0.0196078431372549,0.03333333333333333,3.9019607843137254,1.392156862745098,0.9533333333333334,10,8,8
26,0.2875,0.7125,0.19607843137254902,0.0196078431372549,0.03333333333333333,3.9019607843137254,1.392156862745098,0.9533333333333334,10,8,8
26,0.2875,0.7125,0.19230769230769232,0.0,0.039473684210526314,4.019230769230769,1.4038461538461537,0.9671052631578947,10,8,8
27,0.2875,0.7125,0.15384615384615385,0.038461538461538464,0.039473684210526314,4.173076923076923,1.4423076923076923,1.006578947368421,10,8,8
28,0.2875,0.7125,0.15384615384615385,0.038461538461538464,0.039473684210526314,4.173076923076923,1.4423076923076923,1.006578947368421,10,8,8
28,0.2875,0.7125,0.15384615384615385,0.0,0.05128205128205128,4.326923076923077,1.4423076923076923,1.0320512820512822,10,8,8
29,0.2875,0.7125,0.15384615384615385,0.038461538461538464,0.038461538461538464,4.480769230769231,1.4807692307692308,1.0705128205128205,12,8,8
30,0.2875,0.7125,0.15384615384615385,0.038461538461538464,0.038461538461538464,4.480769230769231,1.4807692307692308,1.0705128205128205,12,8,8
30,0.2625,0.7375,0.18867924528301888,0.018867924528301886,0.03164556962025317,4.584905660377358,1.471698113207547,1.0886075949367089,10,8,8
31,0.2625,0.7375,0.1320754716981132,0.03773584905660377,0.04430379746835443,4.716981132075472,1.509433962264151,1.1329113924050633,11,8,8
32,0.2625,0.7375,0.1320754716981132,0.03773584905660377,0.04430379746835443,4.716981132075472,1.509433962264151,1.1329113924050633,11,8,8
32,0.2625,0.7375,0.1111111111111111,0.037037037037037035,0.05,4.7407407407407405,1.537037037037037,1.1625,11,8,8
33,0.2625,0.7375,0.18518518518518517,0.037037037037037035,0.025,4.925925925925926,1.5740740740740742,1.1875,11,8,8
34,0.2625,0.7375,0.18518518518518517,0.037037037037037035,0.025,4.925925925925926,1.5740740740740742,1.1875,11,8,8
34,0.2625,0.7375,0.18181818181818182,0.0,0.037037037037037035,5.0181818181818185,1.5454545454545454,1.2098765432098766,11,8,8
35,0.2625,0.7375,0.16363636363636364,0.01818181818181818,0.037037037037037035,5.181818181818182,1.5636363636363637,1.2469135802469136,10,8,8
36,0.2625,0.7375,0.16363636363636364,0.01818181818181818,0.037037037037037035,5.181818181818182,1.5636363636363637,1.2469135802469136,10,8,8
36,0.25,0.75,0.125,0.017857142857142856,0.04878048780487805,4.392857142857143,1.5535714285714286,1.5609756097560976,10,8,8
37,0.25,0.75,0.125,0.03571428571428571,0.042682926829268296,4.517857142857143,1.5892857142857142,1.603658536585366,10,8,8
38,0.25,0.75,0.125,0.03571428571428571,0.042682926829268296,4.517857142857143,1.5892857142857142,1.603658536585366,10,8,8
38,0.2625,0.7375,0.05357142857142857,0.03571428571428571,0.06547619047619048,4.035714285714286,1.625,1.8095238095238095,11,8,8
39,0.2625,0.7375,0.14285714285714285,0.017857142857142856,0.041666666666666664,4.178571428571429,1.6428571428571428,1.8511904761904763,10,8,8
40,0.2625,0.7375,0.14285714285714285,0.017857142857142856,0.041666666666666664,4.178571428571429,1.6428571428571428,1.8511904761904763,10,8,8
