round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0000/node_0139.png
0,202,128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0000/node_0128.png
0,203,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0000/node_0169.png
2,204,138,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0002/node_0138.png
2,205,186,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0002/node_0186.png
2,206,189,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0002/node_0189.png
2,207,108,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0002/node_0108.png
4,208,39,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0004/node_0039.png
4,209,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0004/node_0156.png
4,210,137,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0004/node_0137.png
4,211,170,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0004/node_0170.png
6,212,201,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0006/node_0201.png
6,213,137,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0006/node_0137.png
6,214,55,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0006/node_0055.png
6,215,120,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0006/node_0120.png
8,216,193,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0008/node_0193.png
8,217,148,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0008/node_0148.png
8,218,211,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0008/node_0211.png
8,219,201,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0008/node_0201.png
10,220,186,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0010/node_0186.png
10,221,108,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0010/node_0108.png
10,222,192,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0010/node_0192.png
10,223,16,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0010/node_0016.png
12,224,119,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0012/node_0119.png
12,225,211,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0012/node_0211.png
12,226,219,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0012/node_0219.png
12,227,126,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0012/node_0126.png
14,228,154,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0014/node_0154.png
14,229,195,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0014/node_0195.png
14,230,55,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0014/node_0055.png
14,231,213,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0014/node_0213.png
16,232,133,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0016/node_0133.png
16,233,143,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0016/node_0143.png
16,234,157,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0016/node_0157.png
16,235,152,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0016/node_0152.png
18,236,93,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0018/node_0093.png
18,237,233,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0018/node_0233.png
18,238,191,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0018/node_0191.png
18,239,66,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0018/node_0066.png
20,240,199,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0020/node_0199.png
20,241,226,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0020/node_0226.png
20,242,13,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0020/node_0013.png
20,243,131,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0020/node_0131.png
22,244,126,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0022/node_0126.png
22,245,143,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0022/node_0143.png
22,246,168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0022/node_0168.png
22,247,71,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0022/node_0071.png
24,248,128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0024/node_0128.png
24,249,209,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0024/node_0209.png
24,250,38,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0024/node_0038.png
24,251,161,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0024/node_0161.png
26,252,134,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0026/node_0134.png
26,253,121,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0026/node_0121.png
26,254,147,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0026/node_0147.png
26,255,141,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0026/node_0141.png
28,256,176,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0028/node_0176.png
28,257,243,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0028/node_0243.png
28,258,136,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0028/node_0136.png
28,259,241,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0028/node_0241.png
30,260,131,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0030/node_0131.png
30,261,197,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0030/node_0197.png
30,262,195,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0030/node_0195.png
30,263,194,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0030/node_0194.png
32,264,172,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0032/node_0172.png
32,265,134,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0032/node_0134.png
32,266,168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0032/node_0168.png
32,267,173,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0032/node_0173.png
34,268,168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0034/node_0168.png
34,269,249,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0034/node_0249.png
34,270,160,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0034/node_0160.png
34,271,245,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0034/node_0245.png
36,272,231,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0036/node_0231.png
36,273,40,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0036/node_0040.png
36,274,260,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0036/node_0260.png
36,275,98,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0036/node_0098.png
38,276,239,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0038/node_0239.png
38,277,258,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0038/node_0258.png
38,278,226,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0038/node_0226.png
38,279,41,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0038/node_0041.png
40,280,274,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0040/node_0274.png
40,281,71,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0040/node_0071.png
40,282,134,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0040/node_0134.png
40,283,59,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/renaissance_style_mvp/batch_outputs_v2_big/A3_selfConsistencyOnly/generated/round_0040/node_0059.png
