round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,253,0.7768166089965398,8,3,0.4,253,3,0.46415194194945386,0.6382505410281522,1.3750896707390219,0.7768166089965398,0.333477508650519,0.07894736842105263,1.0,0.9521868050407709,0.07894736842105263,0.1513157894736843,,0.2625,0.7375,0.12195121951219512,0.1951219512195122,0.02459016393442623,0.12195121951219512,0.1951219512195122,0.02459016393442623,16,8,8,4.0,1.0,41.08673194756553,0.15924413074714006,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|dramatic contrast|low-key lighting
5,190,0.676681889062152,8,8,0.543046357615894,190,8,0.44253907515511537,0.5748053072461765,1.298880346429748,0.676681889062152,0.3104811762085097,0.1780821917808219,0.815068493150685,0.8853463245224773,0.1780821917808219,0.20581356498496484,0.22499999999999998,0.325,0.675,0.20930232558139536,0.13953488372093023,0.007936507936507936,1.0232558139534884,0.6744186046511628,0.1746031746031746,13,8,8,,,,,,,,
10,163,0.6013770304039984,8,8,0.5447154471544715,163,8,0.42755764674799435,0.6470340739585689,1.5133259313215737,0.6013770304039984,0.33024000416493127,0.16267942583732056,0.7942583732057417,0.8799615877080664,0.16267942583732056,0.27466150870406203,0.09999999999999998,0.3,0.7,0.09090909090909091,0.11363636363636363,0.05303030303030303,1.5909090909090908,0.9090909090909091,0.36363636363636365,11,8,8,4.0,1.0,41.321998982805866,0.18766116997094776,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|high-key lighting|soft contrast
10,163,0.6013770304039984,8,8,0.5447154471544715,163,8,0.42755764674799435,0.6470340739585689,1.5133259313215737,0.6013770304039984,0.33024000416493127,0.16267942583732056,0.7942583732057417,0.8799615877080664,0.16267942583732056,0.27466150870406203,0.09999999999999998,0.3,0.7,0.15555555555555556,0.1111111111111111,0.029850746268656716,1.711111111111111,1.0,0.3880597014925373,11,8,8,4.0,1.0,41.321998982805866,0.18766116997094776,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|high-key lighting|soft contrast
15,150,0.6030058850158443,8,8,0.48484848484848486,150,8,0.41397124583053424,0.634388069916708,1.5324447683412412,0.6030058850158443,0.34410140334993206,0.1984126984126984,0.7738095238095238,0.8752515090543258,0.1984126984126984,0.29142857142857137,0.0625,0.2875,0.7125,0.1702127659574468,0.1276595744680851,0.014492753623188406,2.297872340425532,1.297872340425532,0.6086956521739131,10,8,8,,,,,,,,
20,136,0.5672863818847279,8,8,0.4608695652173913,136,8,0.4072746160055114,0.6789264161417645,1.6669990946172226,0.5672863818847279,0.3453667000164638,0.20666666666666667,0.79,0.8797652582159623,0.20666666666666667,0.3304575163398693,0.0625,0.2625,0.7375,0.08333333333333333,0.08333333333333333,0.05555555555555555,2.75,1.4375,0.8055555555555556,10,8,8,4.0,1.0,40.04073099583457,0.222291321761685,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|low-key lighting
20,136,0.5672863818847279,8,8,0.4608695652173913,136,8,0.4072746160055114,0.6789264161417645,1.6669990946172226,0.5672863818847279,0.3453667000164638,0.20666666666666667,0.79,0.8797652582159623,0.20666666666666667,0.3304575163398693,0.0625,0.275,0.725,0.12244897959183673,0.02040816326530612,0.06164383561643835,2.816326530612245,1.2244897959183674,0.9246575342465754,10,8,8,4.0,1.0,40.04073099583457,0.222291321761685,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|low-key lighting
25,124,0.5417989210011693,8,8,0.40869565217391307,124,8,0.40507914115733024,0.6331499014933417,1.5630276584580547,0.5417989210011693,0.348134354025609,0.2235294117647059,0.8058823529411765,0.8845691797845898,0.2235294117647059,0.36957013574660635,0.03749999999999998,0.2875,0.7125,0.19607843137254902,0.0196078431372549,0.03333333333333333,3.9019607843137254,1.392156862745098,0.9533333333333334,10,8,8,,,,,,,,
30,111,0.5398610043770257,8,8,0.4260869565217391,111,8,0.40398767263151475,0.6250381877997897,1.5471714365153404,0.5398610043770257,0.3506757659794848,0.22554347826086957,0.8125,0.8857547458665032,0.22554347826086957,0.3878178835110746,0.025000000000000022,0.2875,0.7125,0.15384615384615385,0.038461538461538464,0.038461538461538464,4.480769230769231,1.4807692307692308,1.0705128205128205,12,8,8,4.0,1.0,41.030036395426244,0.20372484846202307,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|high-key lighting
30,111,0.5398610043770257,8,8,0.4260869565217391,111,8,0.40398767263151475,0.6250381877997897,1.5471714365153404,0.5398610043770257,0.3506757659794848,0.22554347826086957,0.8125,0.8857547458665032,0.22554347826086957,0.3878178835110746,0.025000000000000022,0.2625,0.7375,0.18867924528301888,0.018867924528301886,0.03164556962025317,4.584905660377358,1.471698113207547,1.0886075949367089,10,8,8,4.0,1.0,41.030036395426244,0.20372484846202307,0.0,0.0,1.0,warm palette|figurative composition|renaissance-inspired texture|soft contrast|high-key lighting
