round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.1951219512195122,0.01680672268907563,0.14634146341463414,0.1951219512195122,0.01680672268907563,16,8,8
1,0.275,0.725,0.17073170731707318,0.14634146341463414,0.025210084033613446,0.3170731707317073,0.34146341463414637,0.04201680672268908,16,8,8
2,0.2875,0.7125,0.17073170731707318,0.14634146341463414,0.025210084033613446,0.4878048780487805,0.4878048780487805,0.06722689075630252,15,8,8
3,0.2875,0.7125,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.6829268292682927,0.6585365853658537,0.07563025210084033,16,8,8
4,0.325,0.675,0.1951219512195122,0.14634146341463414,0.016666666666666666,0.8780487804878049,0.7804878048780488,0.1,16,8,8
5,0.3375,0.6625,0.1951219512195122,0.17073170731707318,0.008333333333333333,1.0731707317073171,0.9512195121951219,0.10833333333333334,16,8,8
6,0.3375,0.6625,0.14634146341463414,0.1951219512195122,0.016666666666666666,1.2195121951219512,1.146341463414634,0.125,16,8,8
7,0.35,0.65,0.17073170731707318,0.17073170731707318,0.016666666666666666,1.3902439024390243,1.3170731707317074,0.14166666666666666,16,8,8
8,0.3,0.7,0.17073170731707318,0.1951219512195122,0.008264462809917356,1.5609756097560976,1.4634146341463414,0.1652892561983471,16,8,8
9,0.3,0.7,0.1951219512195122,0.17073170731707318,0.008264462809917356,1.7560975609756098,1.6341463414634145,0.17355371900826447,16,8,8
10,0.3125,0.6875,0.21951219512195122,0.17073170731707318,0.0,1.975609756097561,1.8048780487804879,0.17355371900826447,16,8,8
11,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01652892561983471,2.1463414634146343,1.975609756097561,0.19008264462809918,16,8,8
