source,target,round,type
119,137,0,exemplar
8,137,0,peer
146,137,0,print
40,54,0,exemplar
42,54,0,peer
137,119,0,exemplar
59,119,0,peer
146,119,0,print
42,40,0,exemplar
57,40,0,peer
83,40,0,print
40,42,0,exemplar
40,42,0,peer
44,42,0,print
140,105,0,exemplar
16,105,0,peer
39,105,0,print
137,6,0,exemplar
8,6,0,peer
54,65,0,exemplar
102,65,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
159,157,0,print
193,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
191,191,0,print
13,142,0,exemplar
48,142,0,peer
74,142,0,print
148,91,0,exemplar
141,91,0,peer
26,25,0,exemplar
103,25,0,peer
65,36,0,exemplar
61,36,0,peer
119,54,1,exemplar
143,54,1,peer
185,54,1,print
54,119,1,exemplar
54,119,1,peer
54,65,1,exemplar
23,65,1,peer
54,140,1,exemplar
181,140,1,peer
119,143,1,exemplar
113,143,1,peer
15,143,1,print
114,38,1,exemplar
82,38,1,peer
119,128,1,exemplar
137,128,1,peer
119,53,1,exemplar
9,53,1,peer
91,122,1,exemplar
68,122,1,peer
38,28,1,exemplar
17,28,1,peer
26,25,1,exemplar
195,25,1,peer
68,25,1,print
65,36,1,exemplar
89,36,1,peer
38,198,1,exemplar
45,198,1,peer
88,158,1,exemplar
159,158,1,peer
161,179,1,exemplar
30,179,1,peer
156,188,1,exemplar
145,188,1,peer
73,188,1,print
42,54,2,exemplar
53,54,2,peer
54,65,2,exemplar
107,65,2,peer
6,114,2,exemplar
44,114,2,peer
54,42,2,exemplar
119,42,2,peer
163,42,2,print
140,105,2,exemplar
130,105,2,peer
54,6,2,exemplar
137,6,2,peer
183,6,2,print
54,99,2,exemplar
42,99,2,peer
119,126,2,exemplar
144,126,2,peer
65,36,2,exemplar
108,36,2,peer
136,191,2,exemplar
153,191,2,peer
6,17,2,exemplar
6,17,2,peer
161,179,2,exemplar
193,179,2,peer
158,160,2,exemplar
165,160,2,peer
158,159,2,exemplar
43,159,2,peer
65,182,2,exemplar
35,182,2,peer
42,54,3,exemplar
42,54,3,peer
54,119,3,exemplar
66,119,3,peer
54,42,3,exemplar
112,42,3,peer
54,99,3,exemplar
65,99,3,peer
126,99,3,print
54,140,3,exemplar
9,140,3,peer
119,126,3,exemplar
59,126,3,peer
76,126,3,print
119,128,3,exemplar
162,128,3,peer
99,100,3,exemplar
40,100,3,peer
91,122,3,exemplar
118,122,3,peer
65,36,3,exemplar
88,36,3,peer
140,7,3,exemplar
58,7,3,peer
126,198,3,exemplar
30,198,3,peer
65,182,3,exemplar
94,182,3,peer
156,188,3,exemplar
153,188,3,peer
179,192,3,exemplar
125,192,3,peer
191,135,3,exemplar
34,135,3,peer
54,42,4,exemplar
6,42,4,peer
7,42,4,print
119,126,4,exemplar
59,126,4,peer
105,128,4,exemplar
130,128,4,peer
128,105,4,exemplar
60,105,4,peer
54,53,4,exemplar
137,53,4,peer
15,53,4,print
105,127,4,exemplar
8,127,4,peer
42,64,4,exemplar
111,64,4,peer
54,154,4,exemplar
119,154,4,peer
136,191,4,exemplar
26,191,4,peer
140,7,4,exemplar
62,7,4,peer
126,198,4,exemplar
90,198,4,peer
192,179,4,exemplar
169,179,4,peer
158,159,4,exemplar
117,159,4,peer
191,136,4,exemplar
26,136,4,peer
152,136,4,print
128,49,4,exemplar
90,49,4,peer
42,55,4,exemplar
104,55,4,peer
140,105,5,exemplar
57,105,5,peer
54,99,5,exemplar
38,99,5,peer
54,140,5,exemplar
29,140,5,peer
54,143,5,exemplar
194,143,5,peer
66,143,5,print
42,40,5,exemplar
181,40,5,peer
105,127,5,exemplar
100,127,5,peer
54,154,5,exemplar
126,154,5,peer
119,110,5,exemplar
63,110,5,peer
51,110,5,print
91,122,5,exemplar
69,122,5,peer
105,36,5,exemplar
85,36,5,peer
192,179,5,exemplar
31,179,5,peer
26,25,5,exemplar
162,25,5,peer
119,25,5,print
158,159,5,exemplar
85,159,5,peer
179,192,5,exemplar
79,192,5,peer
191,136,5,exemplar
145,136,5,peer
192,91,5,exemplar
124,91,5,peer
54,42,6,exemplar
112,42,6,peer
140,105,6,exemplar
71,105,6,peer
54,119,6,exemplar
66,119,6,peer
119,126,6,exemplar
119,126,6,peer
42,65,6,exemplar
54,65,6,peer
119,143,6,exemplar
6,143,6,peer
42,6,6,exemplar
44,6,6,peer
119,110,6,exemplar
119,110,6,peer
156,110,6,print
105,36,6,exemplar
105,36,6,peer
136,191,6,exemplar
116,191,6,peer
158,159,6,exemplar
111,159,6,peer
154,159,6,print
192,28,6,exemplar
141,28,6,peer
191,136,6,exemplar
26,136,6,peer
192,91,6,exemplar
86,91,6,peer
191,135,6,exemplar
191,135,6,peer
105,49,6,exemplar
85,49,6,peer
140,105,7,exemplar
50,105,7,peer
42,99,7,exemplar
40,99,7,peer
11,99,7,print
54,140,7,exemplar
29,140,7,peer
42,6,7,exemplar
119,6,7,peer
119,110,7,exemplar
44,110,7,peer
119,137,7,exemplar
6,137,7,peer
42,64,7,exemplar
66,64,7,peer
50,64,7,print
42,112,7,exemplar
111,112,7,peer
91,122,7,exemplar
91,122,7,peer
136,191,7,exemplar
33,191,7,peer
126,191,7,print
192,179,7,exemplar
125,179,7,peer
17,28,7,exemplar
86,28,7,peer
191,136,7,exemplar
151,136,7,peer
26,25,7,exemplar
26,25,7,peer
6,17,7,exemplar
58,17,7,peer
105,182,7,exemplar
38,182,7,peer
137,119,8,exemplar
53,119,8,peer
119,126,8,exemplar
144,126,8,peer
119,65,8,exemplar
111,65,8,peer
119,110,8,exemplar
155,110,8,peer
119,137,8,exemplar
119,137,8,peer
42,64,8,exemplar
42,64,8,peer
119,53,8,exemplar
190,53,8,peer
119,154,8,exemplar
54,154,8,peer
91,122,8,exemplar
170,122,8,peer
136,191,8,exemplar
33,191,8,peer
179,191,8,print
191,136,8,exemplar
145,136,8,peer
158,159,8,exemplar
144,159,8,peer
192,91,8,exemplar
90,91,8,peer
126,198,8,exemplar
90,198,8,peer
105,182,8,exemplar
65,182,8,peer
191,135,8,exemplar
191,135,8,peer
140,105,9,exemplar
99,105,9,peer
71,105,9,print
137,119,9,exemplar
6,119,9,peer
119,137,9,exemplar
143,137,9,peer
119,54,9,exemplar
42,54,9,peer
119,143,9,exemplar
137,143,9,peer
105,128,9,exemplar
168,128,9,peer
119,53,9,exemplar
2,53,9,peer
119,113,9,exemplar
119,113,9,peer
136,191,9,exemplar
11,191,9,peer
191,136,9,exemplar
101,136,9,peer
158,159,9,exemplar
164,159,9,peer
201,159,9,print
192,179,9,exemplar
192,179,9,peer
17,28,9,exemplar
17,28,9,peer
126,198,9,exemplar
110,198,9,peer
140,7,9,exemplar
21,7,9,peer
28,17,9,exemplar
86,17,9,peer
128,105,10,exemplar
57,105,10,peer
54,119,10,exemplar
57,119,10,peer
119,54,10,exemplar
143,54,10,peer
79,54,10,print
119,126,10,exemplar
154,126,10,peer
119,42,10,exemplar
44,42,10,peer
54,99,10,exemplar
57,99,10,peer
119,110,10,exemplar
63,110,10,peer
105,128,10,exemplar
130,128,10,peer
122,128,10,print
105,36,10,exemplar
165,36,10,peer
86,36,10,print
17,28,10,exemplar
170,28,10,peer
28,17,10,exemplar
143,17,10,peer
105,182,10,exemplar
65,182,10,peer
52,182,10,print
119,114,10,exemplar
12,114,10,peer
198,124,10,exemplar
134,124,10,peer
198,93,10,exemplar
90,93,10,peer
179,169,10,exemplar
152,169,10,peer
128,105,11,exemplar
99,105,11,peer
12,105,11,print
119,126,11,exemplar
117,126,11,peer
103,126,11,print
119,110,11,exemplar
112,110,11,peer
105,128,11,exemplar
137,128,11,peer
119,65,11,exemplar
99,65,11,peer
54,140,11,exemplar
147,140,11,peer
119,143,11,exemplar
119,143,11,peer
36,143,11,print
119,53,11,exemplar
119,53,11,peer
91,122,11,exemplar
68,122,11,peer
191,136,11,exemplar
191,136,11,peer
12,136,11,print
158,159,11,exemplar
117,159,11,peer
137,159,11,print
28,17,11,exemplar
8,17,11,peer
105,182,11,exemplar
56,182,11,peer
13,182,11,print
17,7,11,exemplar
10,7,11,peer
156,188,11,exemplar
165,188,11,peer
198,93,11,exemplar
69,93,11,peer
93,93,11,print
