source,target,round,type
119,137,0,exemplar
8,137,0,peer
146,137,0,print
40,54,0,exemplar
42,54,0,peer
137,119,0,exemplar
59,119,0,peer
146,119,0,print
42,40,0,exemplar
57,40,0,peer
83,40,0,print
40,42,0,exemplar
40,42,0,peer
44,42,0,print
140,105,0,exemplar
16,105,0,peer
39,105,0,print
137,6,0,exemplar
8,6,0,peer
54,65,0,exemplar
102,65,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
159,157,0,print
193,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
191,191,0,print
13,142,0,exemplar
48,142,0,peer
74,142,0,print
148,91,0,exemplar
141,91,0,peer
26,25,0,exemplar
103,25,0,peer
65,36,0,exemplar
61,36,0,peer
119,54,1,exemplar
143,54,1,peer
185,54,1,print
54,119,1,exemplar
54,119,1,peer
54,65,1,exemplar
23,65,1,peer
54,140,1,exemplar
181,140,1,peer
119,143,1,exemplar
113,143,1,peer
15,143,1,print
114,38,1,exemplar
82,38,1,peer
119,128,1,exemplar
137,128,1,peer
119,53,1,exemplar
9,53,1,peer
91,122,1,exemplar
68,122,1,peer
38,28,1,exemplar
17,28,1,peer
26,25,1,exemplar
195,25,1,peer
68,25,1,print
65,36,1,exemplar
89,36,1,peer
38,198,1,exemplar
45,198,1,peer
88,158,1,exemplar
159,158,1,peer
161,179,1,exemplar
30,179,1,peer
156,188,1,exemplar
145,188,1,peer
73,188,1,print
42,54,2,exemplar
53,54,2,peer
54,65,2,exemplar
107,65,2,peer
6,114,2,exemplar
44,114,2,peer
54,42,2,exemplar
119,42,2,peer
163,42,2,print
140,105,2,exemplar
130,105,2,peer
54,6,2,exemplar
137,6,2,peer
183,6,2,print
54,99,2,exemplar
42,99,2,peer
119,126,2,exemplar
144,126,2,peer
65,36,2,exemplar
108,36,2,peer
136,191,2,exemplar
153,191,2,peer
6,17,2,exemplar
6,17,2,peer
161,179,2,exemplar
193,179,2,peer
158,160,2,exemplar
165,160,2,peer
158,159,2,exemplar
43,159,2,peer
65,182,2,exemplar
35,182,2,peer
42,54,3,exemplar
42,54,3,peer
54,119,3,exemplar
66,119,3,peer
54,42,3,exemplar
112,42,3,peer
54,99,3,exemplar
65,99,3,peer
126,99,3,print
54,140,3,exemplar
9,140,3,peer
119,126,3,exemplar
59,126,3,peer
76,126,3,print
119,128,3,exemplar
162,128,3,peer
99,100,3,exemplar
40,100,3,peer
91,122,3,exemplar
118,122,3,peer
65,36,3,exemplar
88,36,3,peer
140,7,3,exemplar
58,7,3,peer
126,198,3,exemplar
30,198,3,peer
65,182,3,exemplar
94,182,3,peer
156,188,3,exemplar
153,188,3,peer
179,192,3,exemplar
125,192,3,peer
191,135,3,exemplar
34,135,3,peer
54,42,4,exemplar
6,42,4,peer
7,42,4,print
119,126,4,exemplar
59,126,4,peer
105,128,4,exemplar
130,128,4,peer
128,105,4,exemplar
60,105,4,peer
54,53,4,exemplar
137,53,4,peer
15,53,4,print
105,127,4,exemplar
8,127,4,peer
42,64,4,exemplar
111,64,4,peer
54,154,4,exemplar
119,154,4,peer
136,191,4,exemplar
26,191,4,peer
140,7,4,exemplar
62,7,4,peer
126,198,4,exemplar
90,198,4,peer
192,179,4,exemplar
169,179,4,peer
158,159,4,exemplar
117,159,4,peer
191,136,4,exemplar
26,136,4,peer
152,136,4,print
128,49,4,exemplar
90,49,4,peer
42,55,4,exemplar
104,55,4,peer
54,119,5,exemplar
44,119,5,peer
140,105,5,exemplar
71,105,5,peer
54,99,5,exemplar
97,99,5,peer
54,140,5,exemplar
181,140,5,peer
67,140,5,print
119,143,5,exemplar
5,143,5,peer
42,40,5,exemplar
138,40,5,peer
119,154,5,exemplar
126,154,5,peer
119,110,5,exemplar
63,110,5,peer
51,110,5,print
91,122,5,exemplar
69,122,5,peer
105,36,5,exemplar
85,36,5,peer
192,179,5,exemplar
31,179,5,peer
26,25,5,exemplar
162,25,5,peer
119,25,5,print
158,159,5,exemplar
85,159,5,peer
179,192,5,exemplar
79,192,5,peer
191,136,5,exemplar
145,136,5,peer
192,91,5,exemplar
124,91,5,peer
54,119,6,exemplar
54,119,6,peer
119,42,6,exemplar
64,42,6,peer
128,105,6,exemplar
60,105,6,peer
42,99,6,exemplar
111,99,6,peer
105,128,6,exemplar
152,128,6,peer
119,65,6,exemplar
102,65,6,peer
119,143,6,exemplar
155,143,6,peer
119,6,6,exemplar
40,6,6,peer
157,6,6,print
192,179,6,exemplar
50,179,6,peer
136,191,6,exemplar
116,191,6,peer
158,159,6,exemplar
111,159,6,peer
154,159,6,print
192,28,6,exemplar
141,28,6,peer
191,136,6,exemplar
26,136,6,peer
192,91,6,exemplar
86,91,6,peer
191,135,6,exemplar
191,135,6,peer
140,123,6,exemplar
50,123,6,peer
54,119,7,exemplar
110,119,7,peer
99,105,7,exemplar
99,105,7,peer
11,105,7,print
42,99,7,exemplar
97,99,7,peer
119,65,7,exemplar
99,65,7,peer
119,126,7,exemplar
59,126,7,peer
119,6,7,exemplar
2,6,7,peer
119,114,7,exemplar
44,114,7,peer
52,114,7,print
119,112,7,exemplar
111,112,7,peer
91,122,7,exemplar
91,122,7,peer
192,179,7,exemplar
193,179,7,peer
126,179,7,print
17,28,7,exemplar
86,28,7,peer
191,136,7,exemplar
101,136,7,peer
26,25,7,exemplar
107,25,7,peer
6,17,7,exemplar
29,17,7,peer
105,182,7,exemplar
105,182,7,peer
54,119,8,exemplar
53,119,8,peer
119,65,8,exemplar
99,65,8,peer
119,114,8,exemplar
22,114,8,peer
119,53,8,exemplar
137,53,8,peer
119,154,8,exemplar
155,154,8,peer
119,137,8,exemplar
5,137,8,peer
119,110,8,exemplar
137,110,8,peer
99,38,8,exemplar
86,38,8,peer
91,122,8,exemplar
170,122,8,peer
136,191,8,exemplar
33,191,8,peer
179,191,8,print
191,136,8,exemplar
145,136,8,peer
158,159,8,exemplar
144,159,8,peer
192,91,8,exemplar
90,91,8,peer
126,198,8,exemplar
90,198,8,peer
105,182,8,exemplar
65,182,8,peer
54,119,9,exemplar
59,119,9,peer
99,105,9,exemplar
99,105,9,peer
71,105,9,print
119,114,9,exemplar
119,114,9,peer
119,54,9,exemplar
97,54,9,peer
119,143,9,exemplar
100,143,9,peer
119,53,9,exemplar
2,53,9,peer
119,137,9,exemplar
44,137,9,peer
114,38,9,exemplar
35,38,9,peer
91,122,9,exemplar
148,122,9,peer
114,17,9,exemplar
21,17,9,peer
192,179,9,exemplar
125,179,9,peer
136,191,9,exemplar
145,191,9,peer
201,191,9,print
158,159,9,exemplar
165,159,9,peer
17,28,9,exemplar
17,28,9,peer
126,198,9,exemplar
110,198,9,peer
54,119,10,exemplar
57,119,10,peer
99,105,10,exemplar
64,105,10,peer
119,114,10,exemplar
11,114,10,peer
54,99,10,exemplar
65,99,10,peer
119,54,10,exemplar
143,54,10,peer
78,54,10,print
119,42,10,exemplar
6,42,10,peer
119,126,10,exemplar
41,126,10,peer
119,6,10,exemplar
139,6,10,peer
91,122,10,exemplar
58,122,10,peer
114,17,10,exemplar
7,17,10,peer
122,17,10,print
17,28,10,exemplar
84,28,10,peer
85,28,10,print
105,36,10,exemplar
77,36,10,peer
105,182,10,exemplar
180,182,10,peer
140,123,10,exemplar
140,123,10,peer
50,123,10,print
99,142,10,exemplar
113,142,10,peer
99,105,11,exemplar
99,105,11,peer
119,54,11,exemplar
57,54,11,peer
119,65,11,exemplar
102,65,11,peer
119,6,11,exemplar
54,6,11,peer
11,6,11,print
119,143,11,exemplar
175,143,11,peer
99,143,11,print
105,128,11,exemplar
105,128,11,peer
119,53,11,exemplar
2,53,11,peer
119,95,11,exemplar
82,95,11,peer
91,122,11,exemplar
45,122,11,peer
28,17,11,exemplar
86,17,11,peer
36,17,11,print
17,28,11,exemplar
170,28,11,peer
105,36,11,exemplar
88,36,11,peer
158,159,11,exemplar
186,159,11,peer
10,159,11,print
191,136,11,exemplar
19,136,11,peer
136,136,11,print
105,182,11,exemplar
65,182,11,peer
17,7,11,exemplar
29,7,11,peer
11,7,11,print
