source,target,round,type
119,137,0,exemplar
8,137,0,peer
146,137,0,print
40,54,0,exemplar
42,54,0,peer
137,119,0,exemplar
59,119,0,peer
146,119,0,print
42,40,0,exemplar
57,40,0,peer
83,40,0,print
40,42,0,exemplar
40,42,0,peer
44,42,0,print
140,105,0,exemplar
16,105,0,peer
39,105,0,print
137,6,0,exemplar
8,6,0,peer
54,65,0,exemplar
102,65,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
159,157,0,print
193,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
191,191,0,print
13,142,0,exemplar
48,142,0,peer
74,142,0,print
148,91,0,exemplar
141,91,0,peer
26,25,0,exemplar
103,25,0,peer
65,36,0,exemplar
61,36,0,peer
119,54,1,exemplar
143,54,1,peer
185,54,1,print
54,119,1,exemplar
54,119,1,peer
54,65,1,exemplar
23,65,1,peer
54,140,1,exemplar
181,140,1,peer
119,95,1,exemplar
2,95,1,peer
15,95,1,print
114,38,1,exemplar
82,38,1,peer
119,128,1,exemplar
137,128,1,peer
119,53,1,exemplar
9,53,1,peer
91,122,1,exemplar
68,122,1,peer
38,28,1,exemplar
17,28,1,peer
26,25,1,exemplar
195,25,1,peer
68,25,1,print
65,36,1,exemplar
89,36,1,peer
38,198,1,exemplar
45,198,1,peer
88,158,1,exemplar
159,158,1,peer
161,179,1,exemplar
30,179,1,peer
156,188,1,exemplar
145,188,1,peer
73,188,1,print
42,54,2,exemplar
53,54,2,peer
54,65,2,exemplar
107,65,2,peer
54,140,2,exemplar
62,140,2,peer
54,42,2,exemplar
119,42,2,peer
162,42,2,print
140,105,2,exemplar
130,105,2,peer
54,6,2,exemplar
137,6,2,peer
183,6,2,print
119,113,2,exemplar
194,113,2,peer
119,126,2,exemplar
144,126,2,peer
26,25,2,exemplar
129,25,2,peer
65,36,2,exemplar
159,36,2,peer
136,191,2,exemplar
19,191,2,peer
125,179,2,exemplar
193,179,2,peer
122,98,2,exemplar
32,98,2,peer
28,125,2,exemplar
170,125,2,peer
158,160,2,exemplar
161,160,2,peer
158,159,2,exemplar
30,159,2,peer
42,54,3,exemplar
40,54,3,peer
54,119,3,exemplar
54,119,3,peer
54,42,3,exemplar
147,42,3,peer
125,42,3,print
140,105,3,exemplar
130,105,3,peer
54,143,3,exemplar
113,143,3,peer
76,143,3,print
53,100,3,exemplar
133,100,3,peer
105,127,3,exemplar
181,127,3,peer
42,139,3,exemplar
21,139,3,peer
125,122,3,exemplar
68,122,3,peer
65,36,3,exemplar
111,36,3,peer
122,98,3,exemplar
42,98,3,peer
122,125,3,exemplar
33,125,3,peer
38,142,3,exemplar
138,142,3,peer
140,7,3,exemplar
62,7,3,peer
126,198,3,exemplar
126,198,3,peer
156,188,3,exemplar
19,188,3,peer
183,188,3,print
54,42,4,exemplar
6,42,4,peer
7,42,4,print
140,105,4,exemplar
16,105,4,peer
54,65,4,exemplar
111,65,4,peer
119,95,4,exemplar
110,95,4,peer
119,126,4,exemplar
117,126,4,peer
15,126,4,print
105,127,4,exemplar
8,127,4,peer
54,53,4,exemplar
100,53,4,peer
54,21,4,exemplar
119,21,4,peer
135,191,4,exemplar
26,191,4,peer
168,157,4,exemplar
14,157,4,peer
140,7,4,exemplar
9,7,4,peer
126,198,4,exemplar
73,198,4,peer
158,159,4,exemplar
117,159,4,peer
198,124,4,exemplar
91,124,4,peer
149,124,4,print
191,135,4,exemplar
12,135,4,peer
140,176,4,exemplar
84,176,4,peer
54,42,5,exemplar
57,42,5,peer
140,105,5,exemplar
71,105,5,peer
54,119,5,exemplar
54,119,5,peer
54,140,5,exemplar
181,140,5,peer
66,140,5,print
119,95,5,exemplar
97,95,5,peer
119,53,5,exemplar
54,53,5,peer
42,40,5,exemplar
9,40,5,peer
105,128,5,exemplar
50,128,5,peer
50,128,5,print
105,36,5,exemplar
99,36,5,peer
135,191,5,exemplar
135,191,5,peer
26,25,5,exemplar
181,25,5,peer
38,142,5,exemplar
35,142,5,peer
119,142,5,print
198,124,5,exemplar
192,124,5,peer
124,91,5,exemplar
86,91,5,peer
191,135,5,exemplar
21,135,5,peer
159,158,5,exemplar
108,158,5,peer
54,42,6,exemplar
112,42,6,peer
42,65,6,exemplar
22,65,6,peer
54,140,6,exemplar
44,140,6,peer
119,95,6,exemplar
12,95,6,peer
42,6,6,exemplar
155,6,6,peer
113,38,6,exemplar
29,38,6,peer
42,21,6,exemplar
44,21,6,peer
54,44,6,exemplar
110,44,6,peer
153,44,6,print
91,122,6,exemplar
170,122,6,peer
65,36,6,exemplar
88,36,6,peer
135,191,6,exemplar
34,191,6,peer
149,191,6,print
38,142,6,exemplar
99,142,6,peer
168,157,6,exemplar
152,157,6,peer
125,28,6,exemplar
192,28,6,peer
38,91,6,exemplar
124,91,6,peer
105,131,6,exemplar
85,131,6,peer
42,65,7,exemplar
119,65,7,peer
42,54,7,exemplar
57,54,7,peer
11,54,7,print
54,140,7,exemplar
29,140,7,peer
119,95,7,exemplar
82,95,7,peer
42,6,7,exemplar
147,6,7,peer
105,128,7,exemplar
110,128,7,peer
6,114,7,exemplar
44,114,7,peer
47,114,7,print
54,44,7,exemplar
4,44,7,peer
91,122,7,exemplar
91,122,7,peer
135,191,7,exemplar
33,191,7,peer
125,191,7,print
38,142,7,exemplar
113,142,7,peer
168,157,7,exemplar
153,157,7,peer
26,25,7,exemplar
107,25,7,peer
125,28,7,exemplar
193,28,7,peer
42,98,7,exemplar
6,98,7,peer
125,179,7,exemplar
84,179,7,peer
54,42,8,exemplar
21,42,8,peer
42,65,8,exemplar
99,65,8,peer
54,140,8,exemplar
8,140,8,peer
140,105,8,exemplar
130,105,8,peer
54,119,8,exemplar
54,119,8,peer
105,128,8,exemplar
130,128,8,peer
119,137,8,exemplar
119,137,8,peer
119,110,8,exemplar
143,110,8,peer
98,122,8,exemplar
170,122,8,peer
135,191,8,exemplar
33,191,8,peer
175,191,8,print
38,142,8,exemplar
146,142,8,peer
42,98,8,exemplar
66,98,8,peer
126,198,8,exemplar
45,198,8,peer
191,135,8,exemplar
136,135,8,peer
159,158,8,exemplar
61,158,8,peer
105,131,8,exemplar
132,131,8,peer
119,53,9,exemplar
54,53,9,peer
67,53,9,print
119,137,9,exemplar
127,137,9,peer
140,44,9,exemplar
110,44,9,peer
44,38,9,exemplar
99,38,9,peer
119,126,9,exemplar
110,126,9,peer
42,113,9,exemplar
194,113,9,peer
42,139,9,exemplar
137,139,9,peer
42,32,9,exemplar
140,32,9,peer
98,122,9,exemplar
174,122,9,peer
135,191,9,exemplar
153,191,9,peer
38,142,9,exemplar
39,142,9,peer
201,142,9,print
168,157,9,exemplar
27,157,9,peer
38,28,9,exemplar
17,28,9,peer
126,198,9,exemplar
110,198,9,peer
140,7,9,exemplar
21,7,9,peer
159,158,9,exemplar
13,158,9,peer
54,42,10,exemplar
57,42,10,peer
54,140,10,exemplar
137,140,10,peer
140,105,10,exemplar
57,105,10,peer
73,105,10,print
42,54,10,exemplar
53,54,10,peer
119,95,10,exemplar
116,95,10,peer
54,53,10,exemplar
137,53,10,peer
42,6,10,exemplar
11,6,10,peer
44,38,10,exemplar
99,38,10,peer
122,38,10,print
91,122,10,exemplar
58,122,10,peer
80,122,10,print
65,36,10,exemplar
77,36,10,peer
38,28,10,exemplar
192,28,10,peer
38,91,10,exemplar
125,91,10,peer
45,91,10,print
125,179,10,exemplar
125,179,10,peer
198,124,10,exemplar
134,124,10,peer
122,125,10,exemplar
86,125,10,peer
140,123,10,exemplar
57,123,10,peer
54,140,11,exemplar
57,140,11,peer
10,140,11,print
140,105,11,exemplar
130,105,11,peer
96,105,11,print
42,65,11,exemplar
61,65,11,peer
42,54,11,exemplar
119,54,11,peer
42,6,11,exemplar
119,6,11,peer
105,128,11,exemplar
105,128,11,peer
6,137,11,exemplar
59,137,11,peer
36,137,11,print
140,44,11,exemplar
40,44,11,peer
91,122,11,exemplar
68,122,11,peer
38,142,11,exemplar
13,142,11,peer
10,142,11,print
65,36,11,exemplar
60,36,11,peer
137,36,11,print
168,157,11,exemplar
152,157,11,peer
122,98,11,exemplar
118,98,11,peer
11,98,11,print
38,91,11,exemplar
45,91,11,peer
140,7,11,exemplar
1,7,11,peer
191,135,11,exemplar
3,135,11,peer
91,135,11,print
