round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.1951219512195122,0.01680672268907563,0.14634146341463414,0.1951219512195122,0.01680672268907563,16,8,8
1,0.2875,0.7125,0.17073170731707318,0.14634146341463414,0.025210084033613446,0.3170731707317073,0.34146341463414637,0.04201680672268908,16,8,8
2,0.2875,0.7125,0.14634146341463414,0.17073170731707318,0.025210084033613446,0.4634146341463415,0.5121951219512195,0.06722689075630252,16,8,8
3,0.2875,0.7125,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.6585365853658537,0.6829268292682927,0.07563025210084033,16,8,8
4,0.325,0.675,0.17073170731707318,0.1951219512195122,0.008333333333333333,0.8292682926829268,0.8536585365853658,0.09166666666666666,16,8,8
5,0.325,0.675,0.1951219512195122,0.17073170731707318,0.008333333333333333,1.024390243902439,1.024390243902439,0.1,16,8,8
6,0.3375,0.6625,0.14634146341463414,0.1951219512195122,0.016666666666666666,1.170731707317073,1.2195121951219512,0.11666666666666667,16,8,8
7,0.3375,0.6625,0.14634146341463414,0.17073170731707318,0.025,1.3170731707317074,1.3902439024390243,0.14166666666666666,16,8,8
8,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01652892561983471,1.4878048780487805,1.5609756097560976,0.15702479338842976,16,8,8
9,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01652892561983471,1.6585365853658536,1.7317073170731707,0.17355371900826447,16,8,8
10,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01652892561983471,1.829268292682927,1.9024390243902438,0.19008264462809918,16,8,8
11,0.3125,0.6875,0.14634146341463414,0.1951219512195122,0.01652892561983471,1.975609756097561,2.097560975609756,0.2066115702479339,16,8,8
