source,target,round,type
119,137,0,exemplar
8,137,0,peer
146,137,0,print
40,54,0,exemplar
42,54,0,peer
137,119,0,exemplar
59,119,0,peer
146,119,0,print
42,40,0,exemplar
57,40,0,peer
83,40,0,print
40,42,0,exemplar
40,42,0,peer
44,42,0,print
140,105,0,exemplar
16,105,0,peer
39,105,0,print
137,6,0,exemplar
8,6,0,peer
54,65,0,exemplar
102,65,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
159,157,0,print
193,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
191,191,0,print
13,142,0,exemplar
48,142,0,peer
74,142,0,print
148,91,0,exemplar
141,91,0,peer
26,25,0,exemplar
103,25,0,peer
65,36,0,exemplar
61,36,0,peer
119,54,1,exemplar
143,54,1,peer
184,54,1,print
54,119,1,exemplar
54,119,1,peer
54,140,1,exemplar
137,140,1,peer
119,95,1,exemplar
39,95,1,peer
114,38,1,exemplar
113,38,1,peer
15,38,1,print
119,126,1,exemplar
119,126,1,peer
54,64,1,exemplar
54,64,1,peer
119,53,1,exemplar
9,53,1,peer
38,28,1,exemplar
125,28,1,peer
26,25,1,exemplar
129,25,1,peer
65,36,1,exemplar
105,36,1,peer
67,36,1,print
140,123,1,exemplar
71,123,1,peer
126,198,1,exemplar
45,198,1,peer
140,176,1,exemplar
45,176,1,peer
88,158,1,exemplar
186,158,1,peer
161,179,1,exemplar
193,179,1,peer
73,179,1,print
42,54,2,exemplar
53,54,2,peer
119,126,2,exemplar
2,126,2,peer
54,42,2,exemplar
43,42,2,peer
140,105,2,exemplar
130,105,2,peer
162,105,2,print
54,6,2,exemplar
139,6,2,peer
119,113,2,exemplar
143,113,2,peer
182,113,2,print
54,82,2,exemplar
59,82,2,peer
54,43,2,exemplar
2,43,2,peer
26,25,2,exemplar
129,25,2,peer
105,36,2,exemplar
159,36,2,peer
136,191,2,exemplar
19,191,2,peer
125,179,2,exemplar
193,179,2,peer
119,98,2,exemplar
32,98,2,peer
28,125,2,exemplar
170,125,2,peer
158,160,2,exemplar
161,160,2,peer
158,159,2,exemplar
30,159,2,peer
42,54,3,exemplar
40,54,3,peer
119,126,3,exemplar
89,126,3,peer
54,42,3,exemplar
147,42,3,peer
124,42,3,print
54,53,3,exemplar
137,53,3,peer
54,99,3,exemplar
42,99,3,peer
73,99,3,print
54,143,3,exemplar
119,143,3,peer
54,44,3,exemplar
147,44,3,peer
53,100,3,exemplar
9,100,3,peer
105,36,3,exemplar
88,36,3,peer
42,98,3,exemplar
32,98,3,peer
28,125,3,exemplar
148,125,3,peer
44,7,3,exemplar
9,7,3,peer
126,198,3,exemplar
78,198,3,peer
125,192,3,exemplar
125,192,3,peer
48,47,3,exemplar
27,47,3,peer
191,136,3,exemplar
34,136,3,peer
182,136,3,print
42,54,4,exemplar
53,54,4,peer
7,54,4,print
44,126,4,exemplar
59,126,4,peer
54,42,4,exemplar
20,42,4,peer
54,99,4,exemplar
100,99,4,peer
54,44,4,exemplar
8,44,4,peer
15,44,4,print
54,21,4,exemplar
137,21,4,peer
54,185,4,exemplar
129,185,4,peer
54,24,4,exemplar
9,24,4,peer
136,191,4,exemplar
26,191,4,peer
28,125,4,exemplar
91,125,4,peer
168,157,4,exemplar
48,157,4,peer
44,7,4,exemplar
62,7,4,peer
126,198,4,exemplar
78,198,4,peer
82,123,4,exemplar
140,123,4,peer
150,123,4,print
125,179,4,exemplar
26,179,4,peer
38,201,4,exemplar
27,201,4,peer
54,42,5,exemplar
57,42,5,peer
42,99,5,exemplar
38,99,5,peer
54,119,5,exemplar
54,119,5,peer
99,105,5,exemplar
181,105,5,peer
62,105,5,print
99,100,5,exemplar
99,100,5,peer
42,21,5,exemplar
42,21,5,peer
42,43,5,exemplar
6,43,5,peer
42,65,5,exemplar
23,65,5,peer
45,65,5,print
105,36,5,exemplar
99,36,5,peer
125,179,5,exemplar
169,179,5,peer
125,28,5,exemplar
125,28,5,peer
125,122,5,exemplar
192,122,5,peer
113,122,5,print
179,192,5,exemplar
193,192,5,peer
99,142,5,exemplar
56,142,5,peer
48,47,5,exemplar
108,47,5,peer
125,91,5,exemplar
124,91,5,peer
54,42,6,exemplar
112,42,6,peer
119,126,6,exemplar
149,126,6,peer
42,99,6,exemplar
100,99,6,peer
54,119,6,exemplar
155,119,6,peer
54,44,6,exemplar
54,44,6,peer
42,21,6,exemplar
42,21,6,peer
42,43,6,exemplar
41,43,6,peer
42,6,6,exemplar
40,6,6,peer
155,6,6,print
99,36,6,exemplar
105,36,6,peer
125,28,6,exemplar
125,28,6,peer
125,122,6,exemplar
45,122,6,peer
151,122,6,print
168,157,6,exemplar
151,157,6,peer
185,25,6,exemplar
39,25,6,peer
142,201,6,exemplar
142,201,6,peer
179,192,6,exemplar
125,192,6,peer
99,142,6,exemplar
35,142,6,peer
42,54,7,exemplar
119,54,7,peer
119,126,7,exemplar
41,126,7,peer
11,126,7,print
54,119,7,exemplar
54,119,7,peer
54,44,7,exemplar
143,44,7,peer
99,105,7,exemplar
16,105,7,peer
42,43,7,exemplar
83,43,7,peer
42,6,7,exemplar
119,6,7,peer
44,6,7,print
54,140,7,exemplar
57,140,7,peer
168,157,7,exemplar
181,157,7,peer
185,25,7,exemplar
14,25,7,peer
123,25,7,print
192,179,7,exemplar
125,179,7,peer
142,201,7,exemplar
186,201,7,peer
136,191,7,exemplar
11,191,7,peer
42,98,7,exemplar
118,98,7,peer
192,91,7,exemplar
124,91,7,peer
158,160,7,exemplar
48,160,7,peer
54,42,8,exemplar
21,42,8,peer
42,54,8,exemplar
20,54,8,peer
44,126,8,exemplar
194,126,8,peer
42,99,8,exemplar
57,99,8,peer
54,44,8,exemplar
155,44,8,peer
99,105,8,exemplar
24,105,8,peer
42,43,8,exemplar
144,43,8,peer
44,114,8,exemplar
44,114,8,peer
105,36,8,exemplar
105,36,8,peer
168,157,8,exemplar
156,157,8,peer
179,157,8,print
192,179,8,exemplar
29,179,8,peer
136,191,8,exemplar
11,191,8,peer
179,192,8,exemplar
179,192,8,peer
99,142,8,exemplar
129,142,8,peer
201,200,8,exemplar
160,200,8,peer
201,202,8,exemplar
38,202,8,peer
42,54,9,exemplar
57,54,9,peer
60,54,9,print
54,99,9,exemplar
57,99,9,peer
54,119,9,exemplar
59,119,9,peer
54,44,9,exemplar
40,44,9,peer
99,105,9,exemplar
50,105,9,peer
54,43,9,exemplar
139,43,9,peer
54,82,9,exemplar
110,82,9,peer
54,24,9,exemplar
105,24,9,peer
105,36,9,exemplar
158,36,9,peer
192,179,9,exemplar
125,179,9,peer
136,191,9,exemplar
145,191,9,peer
201,191,9,print
185,25,9,exemplar
162,25,9,peer
192,28,9,exemplar
17,28,9,peer
179,192,9,exemplar
31,192,9,peer
99,142,9,exemplar
39,142,9,peer
42,98,9,exemplar
21,98,9,peer
54,42,10,exemplar
57,42,10,peer
42,54,10,exemplar
6,54,10,peer
119,126,10,exemplar
2,126,10,peer
65,126,10,print
54,99,10,exemplar
140,99,10,peer
54,119,10,exemplar
21,119,10,peer
54,43,10,exemplar
6,43,10,peer
99,100,10,exemplar
99,100,10,peer
54,6,10,exemplar
143,6,10,peer
117,6,10,print
99,36,10,exemplar
165,36,10,peer
71,36,10,print
136,191,10,exemplar
33,191,10,peer
192,28,10,exemplar
192,28,10,peer
142,201,10,exemplar
22,201,10,peer
43,201,10,print
192,122,10,exemplar
84,122,10,peer
192,91,10,exemplar
30,91,10,peer
126,198,10,exemplar
93,198,10,peer
82,123,10,exemplar
57,123,10,peer
42,54,11,exemplar
57,54,11,peer
12,54,11,print
44,126,11,exemplar
117,126,11,peer
92,126,11,print
54,99,11,exemplar
111,99,11,peer
54,43,11,exemplar
54,43,11,peer
54,44,11,exemplar
143,44,11,peer
99,105,11,exemplar
23,105,11,peer
54,6,11,exemplar
18,6,11,peer
36,6,11,print
44,114,11,exemplar
22,114,11,peer
99,36,11,exemplar
88,36,11,peer
136,191,11,exemplar
136,191,11,peer
12,191,11,print
192,28,11,exemplar
148,28,11,peer
136,28,11,print
168,157,11,exemplar
152,157,11,peer
142,201,11,exemplar
202,201,11,peer
13,201,11,print
99,142,11,exemplar
146,142,11,peer
42,98,11,exemplar
122,98,11,peer
126,198,11,exemplar
92,198,11,peer
82,198,11,print
