round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.1951219512195122,0.01680672268907563,0.14634146341463414,0.1951219512195122,0.01680672268907563,16,8,8
1,0.3,0.7,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.34146341463414637,0.36585365853658536,0.025210084033613446,16,8,8
2,0.3125,0.6875,0.17073170731707318,0.17073170731707318,0.01680672268907563,0.5121951219512195,0.5365853658536586,0.04201680672268908,16,8,8
3,0.3375,0.6625,0.1951219512195122,0.1951219512195122,0.0,0.7073170731707317,0.7317073170731707,0.04201680672268908,16,8,8
4,0.35,0.65,0.14634146341463414,0.17073170731707318,0.025,0.8536585365853658,0.8780487804878049,0.075,16,8,8
5,0.3375,0.6625,0.17073170731707318,0.17073170731707318,0.016666666666666666,1.024390243902439,1.048780487804878,0.09166666666666666,16,8,8
6,0.35,0.65,0.17073170731707318,0.1951219512195122,0.008333333333333333,1.1951219512195121,1.2439024390243902,0.1,16,8,8
7,0.35,0.65,0.17073170731707318,0.17073170731707318,0.016666666666666666,1.3658536585365855,1.4146341463414633,0.11666666666666667,16,8,8
8,0.3375,0.6625,0.1951219512195122,0.17073170731707318,0.008264462809917356,1.5609756097560976,1.5853658536585367,0.12396694214876033,16,8,8
9,0.3375,0.6625,0.17073170731707318,0.17073170731707318,0.01652892561983471,1.7317073170731707,1.7560975609756098,0.14049586776859505,16,8,8
10,0.3375,0.6625,0.17073170731707318,0.1951219512195122,0.008264462809917356,1.9024390243902438,1.951219512195122,0.1487603305785124,16,8,8
11,0.3375,0.6625,0.17073170731707318,0.1951219512195122,0.008264462809917356,2.073170731707317,2.1463414634146343,0.15702479338842976,16,8,8
