source,target,round,type
40,54,0,exemplar
43,54,0,peer
54,40,0,exemplar
41,40,0,peer
139,43,0,exemplar
89,43,0,peer
137,59,0,exemplar
119,59,0,peer
139,6,0,exemplar
11,6,0,peer
43,139,0,exemplar
147,139,0,peer
40,185,0,exemplar
129,185,0,peer
175,76,0,exemplar
63,76,0,peer
156,128,1,exemplar
0,128,1,peer
128,156,1,exemplar
128,156,1,peer
54,40,1,exemplar
57,40,1,peer
128,169,1,exemplar
163,169,1,peer
40,112,1,exemplar
143,112,1,peer
128,130,1,exemplar
185,130,1,peer
40,41,1,exemplar
54,41,1,peer
40,15,1,exemplar
44,15,1,peer
156,128,2,exemplar
108,128,2,peer
128,169,2,exemplar
179,169,2,peer
139,43,2,exemplar
42,43,2,peer
43,41,2,exemplar
83,41,2,peer
40,95,2,exemplar
112,95,2,peer
139,21,2,exemplar
6,21,2,peer
43,53,2,exemplar
143,53,2,peer
40,181,2,exemplar
138,181,2,peer
128,156,3,exemplar
152,156,3,peer
128,127,3,exemplar
9,127,3,peer
54,40,3,exemplar
155,40,3,peer
156,188,3,exemplar
168,188,3,peer
40,54,3,exemplar
99,54,3,peer
40,21,3,exemplar
20,21,3,peer
136,191,3,exemplar
116,191,3,peer
40,185,3,exemplar
155,185,3,peer
128,169,4,exemplar
167,169,4,peer
156,188,4,exemplar
156,188,4,peer
40,54,4,exemplar
6,54,4,peer
54,21,4,exemplar
83,21,4,peer
136,191,4,exemplar
196,191,4,peer
40,185,4,exemplar
20,185,4,peer
209,211,4,exemplar
204,211,4,peer
40,112,4,exemplar
53,112,4,peer
156,128,5,exemplar
50,128,5,peer
128,156,5,exemplar
164,156,5,peer
21,54,5,exemplar
143,54,5,peer
54,21,5,exemplar
155,21,5,peer
54,112,5,exemplar
113,112,5,peer
45,31,5,exemplar
50,31,5,peer
54,41,5,exemplar
42,41,5,peer
112,95,5,exemplar
97,95,5,peer
128,127,6,exemplar
181,127,6,peer
127,128,6,exemplar
156,128,6,peer
21,54,6,exemplar
119,54,6,peer
54,21,6,exemplar
20,21,6,peer
128,169,6,exemplar
128,169,6,peer
156,188,6,exemplar
153,188,6,peer
45,31,6,exemplar
99,31,6,peer
54,41,6,exemplar
40,41,6,peer
127,128,7,exemplar
130,128,7,peer
54,21,7,exemplar
20,21,7,peer
45,31,7,exemplar
38,31,7,peer
54,112,7,exemplar
42,112,7,peer
54,40,7,exemplar
44,40,7,peer
209,211,7,exemplar
80,211,7,peer
128,131,7,exemplar
51,131,7,peer
128,160,7,exemplar
165,160,7,peer
127,128,8,exemplar
162,128,8,peer
21,54,8,exemplar
20,54,8,peer
40,95,8,exemplar
66,95,8,peer
128,169,8,exemplar
128,169,8,peer
156,188,8,exemplar
172,188,8,peer
54,40,8,exemplar
54,40,8,peer
209,211,8,exemplar
216,211,8,peer
145,191,8,exemplar
72,191,8,peer
127,128,9,exemplar
127,128,9,peer
128,127,9,exemplar
59,127,9,peer
21,54,9,exemplar
6,54,9,peer
40,95,9,exemplar
2,95,9,peer
54,21,9,exemplar
42,21,9,peer
54,185,9,exemplar
133,185,9,peer
156,188,9,exemplar
172,188,9,peer
54,40,9,exemplar
181,40,9,peer
128,127,10,exemplar
129,127,10,peer
21,54,10,exemplar
97,54,10,peer
40,95,10,exemplar
97,95,10,peer
54,21,10,exemplar
42,21,10,peer
54,185,10,exemplar
40,185,10,peer
211,221,10,exemplar
6,221,10,peer
128,169,10,exemplar
197,169,10,peer
128,156,10,exemplar
