round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0000/node_0139.png
0,202,128,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0000/node_0128.png
0,203,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0000/node_0169.png
2,204,127,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0002/node_0127.png
2,205,188,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0002/node_0188.png
2,206,191,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0002/node_0191.png
2,207,160,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0002/node_0160.png
4,208,31,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0004/node_0031.png
4,209,185,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0004/node_0185.png
4,210,131,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0004/node_0131.png
4,211,127,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0004/node_0127.png
6,212,177,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0006/node_0177.png
6,213,145,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0006/node_0145.png
6,214,95,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0006/node_0095.png
6,215,178,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0006/node_0178.png
8,216,133,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195143-config_env_plus_artist-t40-sp2x4-gk120/e2-s2-r1-norm_only-differentiation_only-rr1p00/generated/round_0008/node_0133.png
