round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,271,0.6301020408163265,8,2,0.125,271,2,0.37459074536730325,0.4277978184821394,1.1420405436409384,0.6301020408163265,0.10969387755102046,0.125,1.0,0.9718309859154928,0.125,0.0,,0.2625,0.7375,0.12195121951219512,0.0,0.02459016393442623,0.12195121951219512,0.0,0.02459016393442623,8,8,0,4.0,1.0,36.818695205794484,0.15924413074714006,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""sketch""|""portrait""|""delicate"""
5,234,0.6329591836734694,8,4,0.2125,234,4,0.4105426012163728,0.6498927695142634,1.583009333474124,0.6329591836734694,0.34581632653061223,0.17333333333333334,1.0,0.9351643192488261,0.17333333333333334,0.23277777777777775,0.13749999999999996,0.325,0.675,0.13953488372093023,0.0,0.015873015873015872,0.7441860465116279,0.13953488372093023,0.07936507936507936,8,8,0,,,,,,,,
10,217,0.6306,8,5,0.3,217,5,0.4170690473055566,0.5809341354219435,1.392896785736139,0.6306,0.37065,0.1574074074074074,1.0,0.9312076160667708,0.1574074074074074,0.2764060356652951,0.025000000000000022,0.325,0.675,0.13636363636363635,0.022727272727272728,0.007575757575757576,1.1590909090909092,0.3409090909090909,0.10606060606060606,8,8,0,4.0,1.0,48.41983603540497,0.1673422125983073,0.0,1.0,0.0,"```json|""renaissance""|renaissance|religious|mythical"
10,217,0.6306,8,5,0.3,217,5,0.4170690473055566,0.5809341354219435,1.392896785736139,0.6306,0.37065,0.1574074074074074,1.0,0.9312076160667708,0.1574074074074074,0.2764060356652951,0.025000000000000022,0.35,0.65,0.08888888888888889,0.022222222222222223,0.022388059701492536,1.2444444444444445,0.35555555555555557,0.11940298507462686,8,8,0,4.0,1.0,48.41983603540497,0.1673422125983073,0.0,1.0,0.0,"```json|""renaissance""|renaissance|religious|mythical"
15,199,0.64544677734375,8,5,0.30864197530864196,199,5,0.42944287973519507,0.583175576914875,1.3579817117342246,0.64544677734375,0.389190673828125,0.1323529411764706,1.0,0.930613090306545,0.1323529411764706,0.2962184873949578,0.012499999999999956,0.35,0.65,0.10638297872340426,0.0,0.021739130434782608,1.574468085106383,0.46808510638297873,0.2318840579710145,8,8,0,,,,,,,,
20,184,0.6197005963730781,8,5,0.4634146341463415,184,5,0.42728774578534734,0.5728300668580462,1.3406189915537938,0.6197005963730781,0.37155665544241145,0.14545454545454545,0.9878787878787879,0.9319462227912931,0.14545454545454545,0.3335423197492162,0.012499999999999956,0.3125,0.6875,0.0625,0.020833333333333332,0.027777777777777776,1.875,0.5208333333333334,0.3125,8,8,0,4.0,1.0,35.15616623534167,0.17443044202522737,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""tags"": [""medieval""|""siege""|""castle"""
20,184,0.6197005963730781,8,5,0.4634146341463415,184,5,0.42728774578534734,0.5728300668580462,1.3406189915537938,0.6197005963730781,0.37155665544241145,0.14545454545454545,0.9878787878787879,0.9319462227912931,0.14545454545454545,0.3335423197492162,0.012499999999999956,0.3375,0.6625,0.08163265306122448,0.0,0.0273972602739726,1.9183673469387754,0.5102040816326531,0.3356164383561644,8,8,0,4.0,1.0,35.15616623534167,0.17443044202522737,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""tags"": [""medieval""|""siege""|""castle"""
25,178,0.6119836734693878,8,5,0.34146341463414637,178,5,0.42728774578534734,0.5728300668580462,1.3406189915537938,0.6119836734693878,0.3700244897959184,0.14754098360655737,0.9890710382513661,0.9336758254444699,0.14754098360655737,0.3504804974561899,0.0,0.3,0.7,0.058823529411764705,0.0196078431372549,0.02666666666666667,2.176470588235294,0.6078431372549019,0.44,8,8,0,,,,,,,,
30,170,0.6228087734850868,8,6,0.4,170,6,0.4063305623548286,0.5906385643014721,1.4535912850820616,0.6228087734850868,0.385512882839086,0.2131979695431472,0.9796954314720813,0.9341352684635733,0.2131979695431472,0.37648054145516063,0.025000000000000022,0.2875,0.7125,0.09615384615384616,0.0,0.019230769230769232,2.4423076923076925,0.6153846153846154,0.5192307692307693,8,8,0,4.0,1.0,32.49162415790311,0.18828562676739072,0.0,1.0,0.0,"```json|""religious""|""tags"": [""renaissance""|""dramatic""|""emotion"""
30,170,0.6228087734850868,8,6,0.4,170,6,0.4063305623548286,0.5906385643014721,1.4535912850820616,0.6228087734850868,0.385512882839086,0.2131979695431472,0.9796954314720813,0.9341352684635733,0.2131979695431472,0.37648054145516063,0.025000000000000022,0.275,0.725,0.07547169811320754,0.0,0.02531645569620253,2.452830188679245,0.6037735849056604,0.5443037974683544,8,8,0,4.0,1.0,32.49162415790311,0.18828562676739072,0.0,1.0,0.0,"```json|""religious""|""tags"": [""renaissance""|""dramatic""|""emotion"""
