source,target,round,type
41,144,0,exemplar
117,144,0,peer
148,193,0,exemplar
148,193,0,peer
48,193,0,print
176,124,0,exemplar
90,124,0,peer
41,124,0,print
85,88,0,exemplar
168,88,0,peer
4,107,0,exemplar
65,107,0,peer
44,4,0,exemplar
100,4,0,peer
124,176,0,exemplar
140,176,0,peer
165,176,0,print
39,11,0,exemplar
114,11,0,peer
41,75,1,exemplar
175,75,1,peer
156,187,1,exemplar
164,187,1,peer
124,68,1,exemplar
122,68,1,peer
128,14,1,exemplar
195,14,1,peer
11,191,1,exemplar
201,191,1,peer
88,158,1,exemplar
56,158,1,peer
144,41,1,exemplar
57,41,1,peer
41,144,1,exemplar
75,144,1,peer
41,120,2,exemplar
106,120,2,peer
75,80,2,exemplar
66,80,2,peer
34,80,2,print
75,110,2,exemplar
76,110,2,peer
128,108,2,exemplar
141,108,2,peer
110,90,2,exemplar
205,90,2,peer
108,178,2,exemplar
111,178,2,peer
174,197,2,exemplar
101,197,2,peer
4,44,2,exemplar
143,44,2,peer
107,103,3,exemplar
55,103,3,peer
110,203,3,exemplar
9,203,3,peer
178,108,3,exemplar
46,108,3,peer
108,178,3,exemplar
81,178,3,peer
158,182,3,exemplar
85,182,3,peer
9,100,3,exemplar
53,100,3,peer
110,92,3,exemplar
66,92,3,peer
156,168,3,exemplar
167,168,3,peer
120,74,4,exemplar
120,74,4,peer
203,210,4,exemplar
110,210,4,peer
139,58,4,exemplar
139,58,4,peer
122,58,4,print
176,183,4,exemplar
131,183,4,peer
139,135,4,exemplar
191,135,4,peer
107,103,4,exemplar
55,103,4,peer
128,146,4,exemplar
184,146,4,peer
44,139,4,exemplar
19,139,4,peer
128,61,5,exemplar
108,61,5,peer
108,128,5,exemplar
137,128,5,peer
75,87,5,exemplar
76,87,5,peer
103,25,5,exemplar
181,25,5,peer
153,56,5,exemplar
35,56,5,peer
108,178,5,exemplar
83,178,5,peer
203,200,5,exemplar
71,200,5,peer
44,143,5,exemplar
100,143,5,peer
124,69,6,exemplar
79,69,6,peer
100,9,6,exemplar
100,9,6,peer
69,124,6,exemplar
198,124,6,peer
144,41,6,exemplar
66,41,6,peer
80,63,6,exemplar
175,63,6,peer
29,31,6,exemplar
29,31,6,peer
41,37,6,exemplar
63,37,6,peer
178,159,6,exemplar
30,159,6,peer
99,159,6,print
75,87,7,exemplar
80,87,7,peer
100,4,7,exemplar
129,4,7,peer
108,128,7,exemplar
0,128,7,peer
9,100,7,exemplar
40,100,7,peer
100,149,7,exemplar
12,149,7,peer
156,196,7,exemplar
165,196,7,peer
128,0,7,exemplar
167,0,7,peer
128,162,7,exemplar
167,162,7,peer
100,203,8,exemplar
204,203,8,peer
156,196,8,exemplar
101,196,8,peer
100,149,8,exemplar
137,149,8,peer
108,128,8,exemplar
127,128,8,peer
103,107,8,exemplar
181,107,8,peer
193,107,8,print
100,120,8,exemplar
41,120,8,peer
203,219,8,exemplar
57,219,8,peer
178,117,8,exemplar
30,117,8,peer
178,30,9,exemplar
178,30,9,peer
