round,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,4,1.0,36.54262559666486,0.15924413074714006,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""madonna""|""child""|set against a rocky landscape."""
2,4,1.0,37.77759271191902,0.1757568081178781,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""chaos""|""mythology""|""dramatic"""
4,4,1.0,60.08816405603825,0.13321258115871404,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""biblical""|""adam""|""eve"""
6,4,1.0,31.64700279294389,0.17934740026420823,0.0,1.0,0.0,"```json|""tags"": [""religious""|accompanied by a nobleman.""|""noble""|""somber"""
8,4,1.0,44.749171257761695,0.2127015057240015,0.0,1.0,0.0,"```json|""renaissance""|""tags"": [""renaissance""|""figures""|""landscape"""
10,4,1.0,48.07820298820095,0.17576300498770733,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|holding a staff.""|""religious""|""bishop"""
12,4,1.0,47.989249691414464,0.1767669691643788,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""symbolism""|renaissance|religious"
14,4,1.0,66.8153503799481,0.14223470441177627,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""religious""|""madonna""|""saints"""
16,4,1.0,35.44706391289125,0.17771001940309775,0.0,1.0,0.0,"```json|showcasing fine lines and shading.""|""tags"": [""portrait""|""sketch""|""elderly"""
18,4,1.0,51.268950965138075,0.14513284833173204,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""religious""|""tags"": [""portrait""|""renaissance"""
20,4,1.0,50.8209684382542,0.13467311237677196,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""architecture""|set in an architectural backdrop.""|""religious"""
22,4,1.0,35.379411054157295,0.21099005930559675,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""engraving""|""knight""|""romantic"""
24,4,1.0,36.84494243857067,0.1763349054149363,0.0,1.0,0.0,```json|renaissance|religious|portrait|sketch
26,4,1.0,49.493746911737325,0.20644522636207172,0.0,1.0,0.0,"```json|accompanied by a skull and a lion.""|""tags"": [""contemplation""|""symbolism""|""scholar"""
28,4,1.0,34.838057088469355,0.15909670941296056,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|surrounded by other figures with halos.""|""tags"": [""religious""|""fresco"""
30,4,1.0,38.72844909460724,0.18115954700641432,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""tags"": [""portrait""|""renaissance""|eve"
32,4,1.0,40.70070766037572,0.17632715169037316,0.0,1.0,0.0,"```json|""tags"": [""medieval""|""banquet""|""astrology""|""vibrant"""
34,4,1.0,53.64692037249777,0.2010859210448059,0.0,1.0,0.0,"```json|""portrait""|""renaissance""|""tags"": [""renaissance""|""tags"": [""engraving"""
36,4,1.0,49.48553643833455,0.16047977618118617,0.0,1.0,0.0,"```json|""renaissance""|holding a branch.""|""tags"": [""portrait""|""dark"""
38,4,1.0,35.694555705541624,0.16454162567176508,0.0,1.0,0.0,"```json|""renaissance""|""tags"": [""portrait""|""realism""|""dark"""
40,4,1.0,53.86796337616143,0.13277181623734755,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""portrait""|""family""|""symbolism"""
