round,n_clusters,modularity,clusters_all,clusters_visible,cross_cluster_citation_rate,n_clusters_citation,n_clusters_embedding_visible,intra_cluster_mean_dist,inter_cluster_centroid_dist,separation_ratio,modularity_citation,modularity_embedding_partition_on_citation,in_degree_top10_share,in_degree_top10_share_all,gini_in_degree,in_degree_top10_share_active,gini_in_degree_active,topk_turnover_rate,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp,generated_count,prompt_unique_ratio,rgb_std_mean,center_deviation_proxy,share_imitation,share_differentiation,share_self_consistency,decoded_top_tags
0,268,0.7525951557093425,8,2,0.42105263157894735,268,2,0.4703757979896286,0.5671248134895527,1.2056845099459335,0.7525951557093425,0.22664359861591696,0.16666666666666666,1.0,0.9741784037558685,0.16666666666666666,0.08333333333333326,,0.2,0.8,0.0,0.04878048780487805,0.04918032786885246,0.0,0.04878048780487805,0.04918032786885246,8,0,0,4.0,1.0,36.54262559666486,0.15924413074714006,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""madonna""|""child""|set against a rocky landscape."""
5,210,0.7693882943585678,8,8,0.35365853658536583,210,8,0.4267345455354547,0.5952002130458869,1.3947786024659572,0.7693882943585678,0.4288545382481173,0.15053763440860216,0.6881720430107527,0.8616916553081932,0.15053763440860216,0.08652163040760197,0.2875,0.1875,0.8125,0.046511627906976744,0.046511627906976744,0.031746031746031744,0.18604651162790697,0.2558139534883721,0.23015873015873015,8,0,0,,,,,,,,
10,179,0.7658661265432098,8,8,0.2289156626506024,179,8,0.45167814551258273,0.5185160244601903,1.147976783051474,0.7658661265432098,0.4678096064814815,0.1858974358974359,0.5576923076923077,0.8139219934994582,0.1858974358974359,0.18698224852071021,0.26249999999999996,0.1375,0.8625,0.022727272727272728,0.09090909090909091,0.022727272727272728,0.3409090909090909,0.36363636363636365,0.3712121212121212,8,0,0,4.0,1.0,48.07820298820095,0.17576300498770733,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|holding a staff.""|""religious""|""bishop"""
10,179,0.7658661265432098,8,8,0.2289156626506024,179,8,0.45167814551258273,0.5185160244601903,1.147976783051474,0.7658661265432098,0.4678096064814815,0.1858974358974359,0.5576923076923077,0.8139219934994582,0.1858974358974359,0.18698224852071021,0.26249999999999996,0.15,0.85,0.044444444444444446,0.06666666666666667,0.022388059701492536,0.37777777777777777,0.4222222222222222,0.3880597014925373,8,0,0,4.0,1.0,48.07820298820095,0.17576300498770733,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|holding a staff.""|""religious""|""bishop"""
15,150,0.7039924754337764,8,8,0.3764705882352941,150,8,0.46494813167920573,0.5180722208857024,1.11425809802619,0.7039924754337764,0.4646419643078141,0.1963470319634703,0.4931506849315068,0.7603543636246703,0.1963470319634703,0.2177084973494987,0.21250000000000002,0.175,0.825,0.02127659574468085,0.0,0.050724637681159424,0.5319148936170213,0.5319148936170213,0.5652173913043478,8,0,0,,,,,,,,
20,127,0.680876585928489,8,8,0.3253012048192771,127,8,0.4639054329365866,0.47461052782785007,1.023076028283391,0.680876585928489,0.45099577085736253,0.21428571428571427,0.45714285714285713,0.7302313883299798,0.21428571428571427,0.24144271570014153,0.13749999999999996,0.15,0.85,0.0,0.020833333333333332,0.04861111111111111,0.5833333333333334,0.5833333333333334,0.7222222222222222,8,0,0,4.0,1.0,50.8209684382542,0.13467311237677196,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""architecture""|set in an architectural backdrop.""|""religious"""
20,127,0.680876585928489,8,8,0.3253012048192771,127,8,0.4639054329365866,0.47461052782785007,1.023076028283391,0.680876585928489,0.45099577085736253,0.21428571428571427,0.45714285714285713,0.7302313883299798,0.21428571428571427,0.24144271570014153,0.13749999999999996,0.175,0.825,0.04081632653061224,0.04081632653061224,0.0273972602739726,0.6122448979591837,0.6122448979591837,0.7397260273972602,8,0,0,4.0,1.0,50.8209684382542,0.13467311237677196,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""architecture""|set in an architectural backdrop.""|""religious"""
25,111,0.641163759679904,8,8,0.3132530120481928,111,8,0.46423831067100263,0.4588658743237412,0.9884274170748722,0.641163759679904,0.4475450005686459,0.19411764705882353,0.4,0.686039768019884,0.19411764705882353,0.2379084967320262,0.125,0.2,0.8,0.0196078431372549,0.0392156862745098,0.03333333333333333,0.7647058823529411,0.8235294117647058,0.8466666666666667,8,0,0,,,,,,,,
30,94,0.6121870432796469,8,8,0.4186046511627907,94,8,0.463503623502588,0.49567671878075664,1.0694128236475136,0.6121870432796469,0.43090899743685784,0.2025,0.39,0.6692605633802815,0.2025,0.2545238095238096,0.1875,0.1625,0.8375,0.038461538461538464,0.0,0.038461538461538464,0.8846153846153846,0.8653846153846154,0.9551282051282052,8,0,0,4.0,1.0,38.72844909460724,0.18115954700641432,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""tags"": [""portrait""|""renaissance""|eve"
30,94,0.6121870432796469,8,8,0.4186046511627907,94,8,0.463503623502588,0.49567671878075664,1.0694128236475136,0.6121870432796469,0.43090899743685784,0.2025,0.39,0.6692605633802815,0.2025,0.2545238095238096,0.1875,0.175,0.825,0.0,0.05660377358490566,0.03164556962025317,0.8867924528301887,0.9056603773584906,0.9683544303797469,8,0,0,4.0,1.0,38.72844909460724,0.18115954700641432,0.0,1.0,0.0,"```json|""tags"": [""renaissance""|""tags"": [""portrait""|""renaissance""|eve"
