round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0000/node_0139.png
2,202,125,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0002/node_0125.png
2,203,186,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0002/node_0186.png
4,204,29,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0004/node_0029.png
4,205,87,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0004/node_0087.png
6,206,124,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0006/node_0124.png
6,207,190,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0006/node_0190.png
8,208,140,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0008/node_0140.png
8,209,191,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0008/node_0191.png
10,210,118,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0010/node_0118.png
10,211,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0010/node_0139.png
12,212,194,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0012/node_0194.png
12,213,37,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0012/node_0037.png
14,214,195,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0014/node_0195.png
14,215,23,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0014/node_0023.png
16,216,19,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0016/node_0019.png
16,217,160,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s2-r1-baseline_random-differentiation_only-rr1p00/generated/round_0016/node_0160.png
