source,target,round,type
143,121,0,exemplar
106,121,0,peer
148,192,0,exemplar
148,192,0,peer
47,192,0,print
37,87,0,exemplar
76,87,0,peer
40,87,0,print
88,61,0,exemplar
167,61,0,peer
87,37,0,exemplar
52,37,0,peer
155,143,0,exemplar
113,143,0,peer
197,174,0,exemplar
165,174,0,peer
162,174,0,print
39,11,0,exemplar
114,11,0,peer
111,79,1,exemplar
111,79,1,peer
57,190,1,exemplar
5,190,1,peer
121,17,1,exemplar
29,17,1,peer
190,57,1,exemplar
140,57,1,peer
87,37,1,exemplar
147,37,1,peer
61,111,1,exemplar
61,111,1,peer
101,14,1,exemplar
146,14,1,peer
39,11,1,exemplar
115,11,1,peer
45,31,2,exemplar
45,31,2,peer
87,75,2,exemplar
132,75,2,peer
31,75,2,print
102,104,2,exemplar
54,104,2,peer
104,102,2,exemplar
65,102,2,peer
88,85,2,exemplar
186,85,2,peer
192,28,2,exemplar
173,28,2,peer
31,192,2,exemplar
193,192,2,peer
185,129,2,exemplar
140,129,2,peer
156,168,3,exemplar
101,168,3,peer
11,199,3,exemplar
155,199,3,peer
129,100,3,exemplar
9,100,3,peer
11,191,3,exemplar
116,191,3,peer
129,180,3,exemplar
40,180,3,peer
192,91,3,exemplar
78,91,3,peer
168,85,3,exemplar
160,85,3,peer
11,18,3,exemplar
22,18,3,peer
111,64,4,exemplar
112,64,4,peer
200,204,4,exemplar
147,204,4,peer
61,51,4,exemplar
117,51,4,peer
113,51,4,print
129,180,4,exemplar
100,180,4,peer
192,125,4,exemplar
91,125,4,peer
87,93,4,exemplar
124,93,4,peer
57,200,4,exemplar
147,200,4,peer
180,129,4,exemplar
100,129,4,peer
11,34,5,exemplar
130,34,5,peer
21,139,5,exemplar
137,139,5,peer
11,18,5,exemplar
137,18,5,peer
102,107,5,exemplar
55,107,5,peer
129,100,5,exemplar
133,100,5,peer
197,174,5,exemplar
196,174,5,peer
107,102,5,exemplar
97,102,5,peer
111,64,5,exemplar
42,64,5,peer
102,55,6,exemplar
42,55,6,peer
100,9,6,exemplar
100,9,6,peer
100,112,6,exemplar
143,112,6,peer
192,193,6,exemplar
192,193,6,peer
151,161,6,exemplar
0,161,6,peer
125,28,6,exemplar
141,28,6,peer
156,165,6,exemplar
0,165,6,peer
18,151,6,exemplar
162,151,6,peer
90,151,6,print
100,9,7,exemplar
8,9,7,peer
129,4,7,exemplar
129,4,7,peer
57,200,7,exemplar
207,200,7,peer
143,76,7,exemplar
100,76,7,peer
37,144,7,exemplar
150,144,7,peer
9,29,7,exemplar
71,29,7,peer
156,0,7,exemplar
167,0,7,peer
151,156,7,exemplar
196,156,7,peer
143,155,8,exemplar
54,155,8,peer
100,143,8,exemplar
44,143,8,peer
18,141,8,exemplar
114,141,8,peer
64,117,8,exemplar
41,117,8,peer
156,151,8,exemplar
162,151,8,peer
184,151,8,print
156,195,8,exemplar
48,195,8,peer
11,208,8,exemplar
139,208,8,peer
143,109,8,exemplar
53,109,8,peer
151,26,9,exemplar
14,26,9,peer
0,183,9,exemplar
84,183,9,peer
143,112,9,exemplar
40,112,9,peer
156,152,9,exemplar
101,152,9,peer
180,94,9,exemplar
88,94,9,peer
102,103,9,exemplar
104,103,9,peer
129,23,9,exemplar
105,23,9,peer
143,22,9,exemplar
38,22,9,peer
112,81,10,exemplar
178,81,10,peer
183,134,10,exemplar
131,134,10,peer
143,106,10,exemplar
41,106,10,peer
100,99,10,exemplar
155,99,10,peer
100,143,10,exemplar
155,143,10,peer
156,168,10,exemplar
172,168,10,peer
14,168,10,print
139,43,10,exemplar
42,43,10,peer
139,208,10,exemplar
114,208,10,peer
155,40,11,exemplar
57,40,11,peer
85,160,11,exemplar
46,160,11,peer
155,154,11,exemplar
2,154,11,peer
79,192,11,exemplar
124,192,11,peer
37,192,11,print
139,42,11,exemplar
64,42,11,peer
156,168,11,exemplar
130,168,11,peer
143,155,11,exemplar
110,155,11,peer
11,12,11,exemplar
11,12,11,peer
143,12,11,print
143,147,12,exemplar
40,147,12,peer
143,185,12,exemplar
9,185,12,peer
139,43,12,exemplar
83,43,12,peer
205,213,12,exemplar
203,213,12,peer
155,40,12,exemplar
42,40,12,peer
143,155,12,exemplar
59,155,12,peer
100,129,12,exemplar
20,129,12,peer
76,129,12,print
129,138,12,exemplar
181,138,12,peer
155,40,13,exemplar
138,40,13,peer
155,62,13,exemplar
33,62,13,peer
37,144,13,exemplar
83,144,13,peer
11,191,13,exemplar
19,191,13,peer
151,172,13,exemplar
184,172,13,peer
155,151,13,exemplar
101,151,13,peer
144,37,13,exemplar
175,37,13,peer
168,157,13,exemplar
101,157,13,peer
155,29,14,exemplar
44,29,14,peer
91,213,14,exemplar
210,213,14,peer
144,79,14,exemplar
75,79,14,peer
192,91,14,exemplar
212,91,14,peer
129,91,14,print
79,192,14,exemplar
148,192,14,peer
143,106,14,exemplar
112,106,14,peer
151,161,14,exemplar
151,161,14,peer
33,161,14,print
37,144,14,exemplar
42,144,14,peer
213,210,15,exemplar
201,210,15,peer
40,32,15,exemplar
81,32,15,peer
213,203,15,exemplar
201,203,15,peer
151,0,15,exemplar
167,0,15,peer
143,76,15,exemplar
132,76,15,peer
155,40,15,exemplar
129,40,15,peer
11,191,15,exemplar
34,191,15,peer
40,180,15,exemplar
119,180,15,peer
64,63,16,exemplar
132,63,16,peer
143,34,16,exemplar
154,34,16,peer
144,126,16,exemplar
44,126,16,peer
183,16,16,exemplar
45,16,16,peer
40,112,16,exemplar
99,112,16,peer
168,187,16,exemplar
168,187,16,peer
143,3,16,exemplar
177,3,16,peer
126,3,16,print
185,35,16,exemplar
13,35,16,peer
155,151,17,exemplar
164,151,17,peer
210,206,17,exemplar
215,206,17,peer
143,132,17,exemplar
171,132,17,peer
151,136,17,exemplar
19,136,17,peer
87,90,17,exemplar
50,90,17,peer
129,127,17,exemplar
119,127,17,peer
161,174,17,exemplar
197,174,17,peer
155,154,17,exemplar
66,154,17,peer
37,144,18,exemplar
42,144,18,peer
151,145,18,exemplar
167,145,18,peer
204,145,18,print
29,62,18,exemplar
58,62,18,peer
192,28,18,exemplar
148,28,18,peer
112,64,18,exemplar
111,64,18,peer
9,29,18,exemplar
62,29,18,peer
143,9,18,exemplar
1,9,18,peer
213,215,18,exemplar
203,215,18,peer
168,85,19,exemplar
88,85,19,peer
143,189,19,exemplar
119,189,19,peer
29,62,19,exemplar
137,62,19,peer
9,106,19,exemplar
74,106,19,peer
76,75,19,exemplar
63,75,19,peer
151,145,19,exemplar
172,145,19,peer
192,91,19,exemplar
213,91,19,peer
151,101,19,exemplar
153,101,19,peer
