round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0000/node_0139.png
2,202,125,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0002/node_0125.png
2,203,185,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0002/node_0185.png
4,204,32,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0004/node_0032.png
4,205,143,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0004/node_0143.png
6,206,196,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0006/node_0196.png
6,207,205,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0006/node_0205.png
8,208,157,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0008/node_0157.png
8,209,183,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0008/node_0183.png
10,210,79,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0010/node_0079.png
10,211,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0010/node_0139.png
12,212,10,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0012/node_0010.png
12,213,64,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0012/node_0064.png
14,214,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0014/node_0169.png
14,215,29,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0014/node_0029.png
16,216,190,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0016/node_0190.png
16,217,9,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0016/node_0009.png
18,218,200,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0018/node_0200.png
18,219,185,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0018/node_0185.png
20,220,153,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0020/node_0153.png
20,221,127,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195611-config_env_plus_artist-t20-sp2x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0020/node_0127.png
