source,target,round,type
143,119,0,exemplar
155,119,0,peer
6,143,0,exemplar
133,143,0,peer
42,40,0,exemplar
54,40,0,peer
40,42,0,exemplar
112,42,0,peer
119,59,0,exemplar
82,59,0,peer
143,6,0,exemplar
147,6,0,peer
87,75,0,exemplar
87,75,0,peer
75,87,0,exemplar
175,87,0,peer
143,119,1,exemplar
137,119,1,peer
119,143,1,exemplar
133,143,1,peer
42,40,1,exemplar
57,40,1,peer
143,155,1,exemplar
154,155,1,peer
40,54,1,exemplar
140,54,1,peer
143,71,1,exemplar
41,71,1,peer
71,38,1,exemplar
78,38,1,peer
119,126,1,exemplar
110,126,1,peer
119,143,2,exemplar
6,143,2,peer
42,40,2,exemplar
41,40,2,peer
143,71,2,exemplar
143,71,2,peer
40,42,2,exemplar
54,42,2,peer
71,75,2,exemplar
80,75,2,peer
40,130,2,exemplar
128,130,2,peer
119,128,2,exemplar
156,128,2,peer
143,114,2,exemplar
6,114,2,peer
42,139,3,exemplar
115,139,3,peer
156,187,3,exemplar
161,187,3,peer
42,40,3,exemplar
155,40,3,peer
40,54,3,exemplar
20,54,3,peer
119,128,3,exemplar
168,128,3,peer
40,100,3,exemplar
40,100,3,peer
40,21,3,exemplar
6,21,3,peer
42,64,3,exemplar
66,64,3,peer
40,129,4,exemplar
44,129,4,peer
128,156,4,exemplar
172,156,4,peer
156,187,4,exemplar
0,187,4,peer
40,54,4,exemplar
43,54,4,peer
156,128,4,exemplar
168,128,4,peer
71,75,4,exemplar
41,75,4,peer
40,100,4,exemplar
129,100,4,peer
119,126,4,exemplar
119,126,4,peer
71,75,5,exemplar
71,75,5,peer
40,129,5,exemplar
127,129,5,peer
42,139,5,exemplar
6,139,5,peer
128,156,5,exemplar
128,156,5,peer
40,54,5,exemplar
155,54,5,peer
54,143,5,exemplar
133,143,5,peer
54,119,5,exemplar
66,119,5,peer
143,100,5,exemplar
99,100,5,peer
71,75,6,exemplar
70,75,6,peer
42,139,6,exemplar
6,139,6,peer
128,156,6,exemplar
151,156,6,peer
71,31,6,exemplar
173,31,6,peer
54,119,6,exemplar
6,119,6,peer
156,128,6,exemplar
152,128,6,peer
75,71,6,exemplar
41,71,6,peer
143,155,6,exemplar
154,155,6,peer
71,75,7,exemplar
52,75,7,peer
42,139,7,exemplar
6,139,7,peer
40,54,7,exemplar
40,54,7,peer
54,143,7,exemplar
155,143,7,peer
54,40,7,exemplar
44,40,7,peer
156,128,7,exemplar
105,128,7,peer
143,100,7,exemplar
53,100,7,peer
75,71,7,exemplar
44,71,7,peer
71,75,8,exemplar
76,75,8,peer
155,139,8,exemplar
3,139,8,peer
156,187,8,exemplar
160,187,8,peer
119,143,8,exemplar
175,143,8,peer
54,40,8,exemplar
44,40,8,peer
143,119,8,exemplar
82,119,8,peer
75,71,8,exemplar
63,71,8,peer
143,155,8,exemplar
40,155,8,peer
71,75,9,exemplar
175,75,9,peer
155,139,9,exemplar
43,139,9,peer
128,156,9,exemplar
196,156,9,peer
156,187,9,exemplar
164,187,9,peer
100,143,9,exemplar
6,143,9,peer
156,128,9,exemplar
110,128,9,peer
31,173,9,exemplar
86,173,9,peer
143,100,9,exemplar
99,100,9,peer
155,139,10,exemplar
137,139,10,peer
128,156,10,exemplar
128,156,10,peer
128,108,10,exemplar
167,108,10,peer
54,141,10,exemplar
78,141,10,peer
143,100,10,exemplar
53,100,10,peer
143,130,10,exemplar
185,130,10,peer
143,114,10,exemplar
82,114,10,peer
139,6,10,exemplar
18,6,10,peer
156,187,11,exemplar
167,187,11,peer
71,75,11,exemplar
76,75,11,peer
20,75,11,print
155,139,11,exemplar
19,139,11,peer
100,143,11,exemplar
9,143,11,peer
128,108,11,exemplar
43,108,11,peer
143,100,11,exemplar
129,100,11,peer
100,40,11,exemplar
15,40,11,peer
156,128,11,exemplar
108,128,11,peer
71,75,12,exemplar
109,75,12,peer
6,139,12,exemplar
113,139,12,peer
128,156,12,exemplar
184,156,12,peer
100,143,12,exemplar
119,143,12,peer
128,108,12,exemplar
156,108,12,peer
143,100,12,exemplar
130,100,12,peer
100,40,12,exemplar
15,40,12,peer
156,128,12,exemplar
130,128,12,peer
6,139,13,exemplar
21,139,13,peer
128,156,13,exemplar
187,156,13,peer
100,143,13,exemplar
113,143,13,peer
128,108,13,exemplar
164,108,13,peer
143,100,13,exemplar
57,100,13,peer
100,40,13,exemplar
57,40,13,peer
100,129,13,exemplar
9,129,13,peer
108,141,13,exemplar
2,141,13,peer
71,75,14,exemplar
71,75,14,peer
6,139,14,exemplar
113,139,14,peer
100,143,14,exemplar
137,143,14,peer
128,108,14,exemplar
168,108,14,peer
143,100,14,exemplar
143,100,14,peer
156,128,14,exemplar
168,128,14,peer
139,6,14,exemplar
8,6,14,peer
108,141,14,exemplar
31,141,14,peer
71,75,15,exemplar
41,75,15,peer
100,143,15,exemplar
155,143,15,peer
128,108,15,exemplar
99,108,15,peer
143,100,15,exemplar
76,100,15,peer
100,40,15,exemplar
20,40,15,peer
156,128,15,exemplar
130,128,15,peer
143,6,15,exemplar
147,6,15,peer
108,141,15,exemplar
38,141,15,peer
71,75,16,exemplar
132,75,16,peer
6,139,16,exemplar
155,139,16,peer
128,156,16,exemplar
145,156,16,peer
100,143,16,exemplar
119,143,16,peer
143,100,16,exemplar
194,100,16,peer
100,40,16,exemplar
4,40,16,peer
156,128,16,exemplar
82,128,16,peer
143,6,16,exemplar
137,6,16,peer
71,75,17,exemplar
80,75,17,peer
54,75,17,print
6,139,17,exemplar
39,139,17,peer
156,187,17,exemplar
184,187,17,peer
128,156,17,exemplar
168,156,17,peer
100,143,17,exemplar
44,143,17,peer
143,100,17,exemplar
20,100,17,peer
156,128,17,exemplar
0,128,17,peer
143,6,17,exemplar
137,6,17,peer
71,75,18,exemplar
110,75,18,peer
6,139,18,exemplar
19,139,18,peer
