round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.0,0.016666666666666666,0.14634146341463414,0.0,0.016666666666666666,8,8,0
1,0.2875,0.7125,0.1951219512195122,0.0,0.0,0.34146341463414637,0.0,0.016666666666666666,8,8,0
2,0.2875,0.7125,0.1951219512195122,0.0,0.0,0.34146341463414637,0.0,0.016666666666666666,8,8,0
2,0.3,0.7,0.17073170731707318,0.0,0.00819672131147541,0.5121951219512195,0.0,0.02459016393442623,8,8,0
3,0.3375,0.6625,0.14634146341463414,0.0,0.01639344262295082,0.6585365853658537,0.0,0.040983606557377046,8,8,0
4,0.3375,0.6625,0.14634146341463414,0.0,0.01639344262295082,0.6585365853658537,0.0,0.040983606557377046,8,8,0
4,0.3375,0.6625,0.11904761904761904,0.0,0.02459016393442623,0.7857142857142857,0.0,0.05737704918032787,8,8,0
5,0.3375,0.6625,0.14285714285714285,0.0,0.01639344262295082,0.9285714285714286,0.0,0.07377049180327869,8,8,0
6,0.3375,0.6625,0.14285714285714285,0.0,0.01639344262295082,0.9285714285714286,0.0,0.07377049180327869,8,8,0
6,0.325,0.675,0.11904761904761904,0.0,0.024193548387096774,1.0476190476190477,0.0,0.0967741935483871,8,8,0
7,0.325,0.675,0.16666666666666666,0.0,0.008064516129032258,1.2142857142857142,0.0,0.10483870967741936,8,8,0
8,0.325,0.675,0.16666666666666666,0.0,0.008064516129032258,1.2142857142857142,0.0,0.10483870967741936,8,8,0
8,0.3375,0.6625,0.14285714285714285,0.0,0.015873015873015872,1.3571428571428572,0.0,0.11904761904761904,8,8,0
9,0.3375,0.6625,0.09523809523809523,0.023809523809523808,0.023809523809523808,1.4523809523809523,0.023809523809523808,0.14285714285714285,8,8,0
10,0.3375,0.6625,0.09523809523809523,0.023809523809523808,0.023809523809523808,1.4523809523809523,0.023809523809523808,0.14285714285714285,8,8,0
10,0.35,0.65,0.11627906976744186,0.0,0.023809523809523808,1.7209302325581395,0.023255813953488372,0.10317460317460317,8,8,0
11,0.35,0.65,0.13953488372093023,0.0,0.015873015873015872,1.8604651162790697,0.023255813953488372,0.11904761904761904,8,8,0
12,0.35,0.65,0.13953488372093023,0.0,0.015873015873015872,1.8604651162790697,0.023255813953488372,0.11904761904761904,8,8,0
12,0.3375,0.6625,0.13953488372093023,0.0,0.015625,2.0,0.023255813953488372,0.1328125,8,8,0
13,0.3375,0.6625,0.11627906976744186,0.0,0.0234375,2.116279069767442,0.023255813953488372,0.15625,8,8,0
14,0.3375,0.6625,0.11627906976744186,0.0,0.0234375,2.116279069767442,0.023255813953488372,0.15625,8,8,0
14,0.35,0.65,0.13636363636363635,0.0,0.015625,2.2045454545454546,0.13636363636363635,0.1328125,8,8,0
15,0.35,0.65,0.13636363636363635,0.0,0.015625,2.340909090909091,0.13636363636363635,0.1484375,8,8,0
16,0.35,0.65,0.13636363636363635,0.0,0.015625,2.340909090909091,0.13636363636363635,0.1484375,8,8,0
16,0.325,0.675,0.1590909090909091,0.0,0.007692307692307693,2.5,0.13636363636363635,0.15384615384615385,8,8,0
17,0.325,0.675,0.13636363636363635,0.022727272727272728,0.007692307692307693,2.6363636363636362,0.1590909090909091,0.16153846153846155,8,8,0
18,0.325,0.675,0.13636363636363635,0.022727272727272728,0.007692307692307693,2.6363636363636362,0.1590909090909091,0.16153846153846155,8,8,0
18,0.3375,0.6625,0.1590909090909091,0.0,0.007575757575757576,2.7954545454545454,0.1590909090909091,0.16666666666666666,8,8,0
19,0.3375,0.6625,0.13636363636363635,0.022727272727272728,0.007575757575757576,2.9318181818181817,0.18181818181818182,0.17424242424242425,8,8,0
20,0.3375,0.6625,0.13636363636363635,0.022727272727272728,0.007575757575757576,2.9318181818181817,0.18181818181818182,0.17424242424242425,8,8,0
