round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0000/node_0139.png
4,202,34,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0004/node_0034.png
4,203,174,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0004/node_0174.png
8,204,147,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0008/node_0147.png
8,205,168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0008/node_0168.png
12,206,169,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0012/node_0169.png
12,207,134,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0012/node_0134.png
16,208,16,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0016/node_0016.png
16,209,93,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0016/node_0093.png
20,210,172,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0020/node_0172.png
20,211,106,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s1-r1-baseline_random-imitation_only-rr0p00/generated/round_0020/node_0106.png
