source,target,round,type
143,121,0,exemplar
106,121,0,peer
148,192,0,exemplar
148,192,0,peer
47,192,0,print
37,87,0,exemplar
76,87,0,peer
40,87,0,print
88,61,0,exemplar
167,61,0,peer
87,37,0,exemplar
52,37,0,peer
155,143,0,exemplar
113,143,0,peer
197,174,0,exemplar
165,174,0,peer
162,174,0,print
39,11,0,exemplar
114,11,0,peer
112,79,1,exemplar
111,79,1,peer
57,190,1,exemplar
5,190,1,peer
121,17,1,exemplar
29,17,1,peer
190,57,1,exemplar
143,57,1,peer
87,37,1,exemplar
147,37,1,peer
143,112,1,exemplar
97,112,1,peer
61,161,1,exemplar
151,161,1,peer
137,127,1,exemplar
150,127,1,peer
143,5,2,exemplar
110,5,2,peer
23,24,2,exemplar
54,24,2,peer
161,179,2,exemplar
30,179,2,peer
139,6,2,exemplar
143,6,2,peer
127,51,2,exemplar
132,51,2,peer
37,144,2,exemplar
150,144,2,peer
130,144,2,print
145,166,2,exemplar
128,166,2,peer
112,154,2,exemplar
119,154,2,peer
107,103,3,exemplar
181,103,3,peer
17,7,3,exemplar
24,7,3,peer
190,57,3,exemplar
100,57,3,peer
176,183,3,exemplar
16,183,3,peer
87,67,3,exemplar
63,67,3,peer
161,141,3,exemplar
155,141,3,peer
24,23,3,exemplar
22,23,3,peer
57,121,3,exemplar
71,121,3,peer
50,61,4,exemplar
50,61,4,peer
87,202,4,exemplar
52,202,4,peer
51,50,4,exemplar
161,50,4,peer
113,50,4,print
183,176,4,exemplar
93,176,4,peer
37,175,4,exemplar
143,175,4,peer
67,92,4,exemplar
67,92,4,peer
11,199,4,exemplar
58,199,4,peer
143,130,4,exemplar
40,130,4,peer
11,34,5,exemplar
130,34,5,peer
6,139,5,exemplar
137,139,5,peer
121,17,5,exemplar
114,17,5,peer
103,107,5,exemplar
55,107,5,peer
57,99,5,exemplar
155,99,5,peer
79,30,5,exemplar
31,30,5,peer
156,101,5,exemplar
0,101,5,peer
50,61,5,exemplar
153,61,5,peer
178,32,6,exemplar
71,32,6,peer
61,16,6,exemplar
60,16,6,peer
57,99,6,exemplar
42,99,6,peer
134,45,6,exemplar
90,45,6,peer
23,24,6,exemplar
10,24,6,peer
45,134,6,exemplar
132,134,6,peer
37,87,6,exemplar
63,87,6,peer
130,146,6,exemplar
152,146,6,peer
139,177,7,exemplar
147,177,7,peer
99,97,7,exemplar
65,97,7,peer
87,97,7,print
57,147,7,exemplar
137,147,7,peer
57,190,7,exemplar
175,190,7,peer
156,0,7,exemplar
151,0,7,peer
190,5,7,exemplar
63,5,7,peer
61,16,7,exemplar
45,16,7,peer
57,54,7,exemplar
40,54,7,peer
57,147,8,exemplar
110,147,8,peer
99,181,8,exemplar
4,181,8,peer
139,115,8,exemplar
143,115,8,peer
99,112,8,exemplar
95,112,8,peer
37,144,8,exemplar
83,144,8,peer
177,144,8,print
99,104,8,exemplar
100,104,8,peer
139,204,8,exemplar
38,204,8,peer
156,101,8,exemplar
172,101,8,peer
99,79,9,exemplar
95,79,9,peer
141,86,9,exemplar
71,86,9,peer
139,189,9,exemplar
119,189,9,peer
34,191,9,exemplar
26,191,9,peer
101,188,9,exemplar
101,188,9,peer
24,15,9,exemplar
44,15,9,peer
87,175,9,exemplar
5,175,9,peer
61,111,9,exemplar
41,111,9,peer
99,103,10,exemplar
96,103,10,peer
174,47,10,exemplar
27,47,10,peer
76,47,10,print
23,24,10,exemplar
105,24,10,peer
156,187,10,exemplar
145,187,10,peer
121,187,10,print
16,183,10,exemplar
137,183,10,peer
87,60,10,exemplar
205,60,10,peer
139,189,10,exemplar
100,189,10,peer
101,174,10,exemplar
108,174,10,peer
121,98,11,exemplar
113,98,11,peer
183,62,11,exemplar
32,62,11,peer
50,62,11,print
183,134,11,exemplar
49,134,11,peer
112,185,11,exemplar
113,185,11,peer
57,54,11,exemplar
57,54,11,peer
54,141,11,exemplar
78,141,11,peer
187,188,11,exemplar
167,188,11,peer
134,124,11,exemplar
69,124,11,peer
99,142,12,exemplar
94,142,12,peer
112,100,12,exemplar
130,100,12,peer
54,44,12,exemplar
119,44,12,peer
121,207,12,exemplar
86,207,12,peer
34,39,12,exemplar
11,39,12,peer
147,149,12,exemplar
150,149,12,peer
156,101,12,exemplar
164,101,12,peer
68,101,12,print
51,131,12,exemplar
183,131,12,peer
54,2,13,exemplar
137,2,13,peer
54,57,13,exemplar
40,57,13,peer
57,8,13,exemplar
140,8,13,peer
54,18,13,exemplar
21,18,13,peer
5,34,13,exemplar
33,34,13,peer
85,46,13,exemplar
164,46,13,peer
187,85,13,exemplar
88,85,13,peer
101,184,13,exemplar
164,184,13,peer
54,112,14,exemplar
111,112,14,peer
134,69,14,exemplar
192,69,14,peer
147,139,14,exemplar
3,139,14,peer
139,3,14,exemplar
147,3,14,peer
174,122,14,exemplar
84,122,14,peer
112,96,14,exemplar
102,96,14,peer
51,131,14,exemplar
128,131,14,peer
54,44,14,exemplar
21,44,14,peer
10,44,14,print
174,163,15,exemplar
161,163,15,peer
112,96,15,exemplar
107,96,15,peer
54,23,15,exemplar
32,23,15,peer
24,129,15,exemplar
133,129,15,peer
18,129,15,print
54,141,15,exemplar
114,141,15,peer
85,46,15,exemplar
164,46,15,peer
46,47,15,exemplar
166,47,15,peer
112,206,15,exemplar
21,206,15,peer
141,17,16,exemplar
207,17,16,peer
139,33,16,exemplar
21,33,16,peer
44,114,16,exemplar
155,114,16,peer
46,146,16,exemplar
14,146,16,peer
54,103,16,exemplar
96,103,16,peer
112,60,16,exemplar
112,60,16,peer
46,47,16,exemplar
197,47,16,peer
114,47,16,print
54,24,16,exemplar
129,24,16,peer
139,189,17,exemplar
137,189,17,peer
139,204,17,exemplar
82,204,17,peer
147,208,17,exemplar
80,208,17,peer
144,117,17,exemplar
89,117,17,peer
54,141,17,exemplar
22,141,17,peer
54,2,17,exemplar
143,2,17,peer
134,124,17,exemplar
69,124,17,peer
183,134,17,exemplar
171,134,17,peer
101,188,18,exemplar
165,188,18,peer
134,171,18,exemplar
63,171,18,peer
183,134,18,exemplar
69,134,18,peer
34,11,18,exemplar
153,11,18,peer
192,11,18,print
101,196,18,exemplar
101,196,18,peer
112,130,18,exemplar
143,130,18,peer
54,2,18,exemplar
41,2,18,peer
130,146,18,exemplar
184,146,18,peer
54,41,19,exemplar
43,41,19,peer
112,100,19,exemplar
129,100,19,peer
57,54,19,exemplar
44,54,19,peer
147,133,19,exemplar
9,133,19,peer
61,50,19,exemplar
161,50,19,peer
147,8,19,exemplar
40,8,19,peer
2,144,19,exemplar
117,144,19,peer
139,19,19,exemplar
156,19,19,peer
188,19,19,print
