round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2125,0.7875,0.024390243902439025,0.024390243902439025,0.05,0.024390243902439025,0.024390243902439025,0.05,8,0,0
1,0.2125,0.7875,0.07317073170731707,0.024390243902439025,0.03333333333333333,0.0975609756097561,0.04878048780487805,0.08333333333333333,8,0,0
2,0.2375,0.7625,0.024390243902439025,0.04878048780487805,0.041666666666666664,0.12195121951219512,0.0975609756097561,0.125,8,0,0
3,0.225,0.775,0.024390243902439025,0.024390243902439025,0.05,0.14634146341463414,0.12195121951219512,0.175,8,0,0
4,0.225,0.775,0.024390243902439025,0.024390243902439025,0.05,0.14634146341463414,0.12195121951219512,0.175,8,0,0
4,0.2125,0.7875,0.024390243902439025,0.04878048780487805,0.040983606557377046,0.14634146341463414,0.14634146341463414,0.22950819672131148,8,0,0
5,0.225,0.775,0.04878048780487805,0.024390243902439025,0.040983606557377046,0.1951219512195122,0.17073170731707318,0.27049180327868855,8,0,0
6,0.1625,0.8375,0.024390243902439025,0.024390243902439025,0.04918032786885246,0.21951219512195122,0.1951219512195122,0.319672131147541,8,0,0
7,0.2,0.8,0.024390243902439025,0.0,0.05737704918032787,0.24390243902439024,0.1951219512195122,0.3770491803278688,8,0,0
8,0.2,0.8,0.024390243902439025,0.0,0.05737704918032787,0.24390243902439024,0.1951219512195122,0.3770491803278688,8,0,0
8,0.2125,0.7875,0.07142857142857142,0.0,0.040983606557377046,0.35714285714285715,0.21428571428571427,0.39344262295081966,8,0,0
9,0.2125,0.7875,0.023809523809523808,0.023809523809523808,0.04918032786885246,0.38095238095238093,0.23809523809523808,0.4426229508196721,8,0,0
10,0.1875,0.8125,0.0,0.023809523809523808,0.05737704918032787,0.38095238095238093,0.2619047619047619,0.5,8,0,0
11,0.1875,0.8125,0.023809523809523808,0.07142857142857142,0.03278688524590164,0.40476190476190477,0.3333333333333333,0.5327868852459017,8,0,0
12,0.1875,0.8125,0.023809523809523808,0.07142857142857142,0.03278688524590164,0.40476190476190477,0.3333333333333333,0.5327868852459017,8,0,0
12,0.2,0.8,0.07142857142857142,0.07142857142857142,0.016129032258064516,0.47619047619047616,0.38095238095238093,0.5483870967741935,8,0,0
13,0.2125,0.7875,0.047619047619047616,0.0,0.04838709677419355,0.5238095238095238,0.38095238095238093,0.5967741935483871,8,0,0
14,0.2125,0.7875,0.07142857142857142,0.047619047619047616,0.024193548387096774,0.5952380952380952,0.42857142857142855,0.6209677419354839,8,0,0
15,0.1875,0.8125,0.023809523809523808,0.023809523809523808,0.04838709677419355,0.6190476190476191,0.4523809523809524,0.6693548387096774,8,0,0
16,0.1875,0.8125,0.023809523809523808,0.023809523809523808,0.04838709677419355,0.6190476190476191,0.4523809523809524,0.6693548387096774,8,0,0
16,0.2,0.8,0.023809523809523808,0.047619047619047616,0.03968253968253968,0.6428571428571429,0.4523809523809524,0.7142857142857143,8,0,0
17,0.2,0.8,0.023809523809523808,0.047619047619047616,0.03968253968253968,0.6666666666666666,0.5,0.753968253968254,8,0,0
18,0.2,0.8,0.047619047619047616,0.0,0.047619047619047616,0.7142857142857143,0.5,0.8015873015873016,8,0,0
19,0.1875,0.8125,0.07142857142857142,0.0,0.03968253968253968,0.7857142857142857,0.5,0.8412698412698413,8,0,0
20,0.1875,0.8125,0.07142857142857142,0.0,0.03968253968253968,0.7857142857142857,0.5,0.8412698412698413,8,0,0
