source,target,round,type
143,121,0,exemplar
38,121,0,peer
148,192,0,exemplar
148,192,0,peer
47,192,0,print
37,87,0,exemplar
76,87,0,peer
40,87,0,print
88,61,0,exemplar
167,61,0,peer
87,37,0,exemplar
52,37,0,peer
155,143,0,exemplar
113,143,0,peer
197,174,0,exemplar
165,174,0,peer
162,174,0,print
39,11,0,exemplar
114,11,0,peer
111,79,1,exemplar
111,79,1,peer
57,190,1,exemplar
5,190,1,peer
121,17,1,exemplar
29,17,1,peer
190,57,1,exemplar
140,57,1,peer
87,37,1,exemplar
147,37,1,peer
61,111,1,exemplar
61,111,1,peer
101,14,1,exemplar
146,14,1,peer
39,11,1,exemplar
115,11,1,peer
11,6,2,exemplar
54,6,2,peer
11,153,2,exemplar
61,153,2,peer
155,22,2,exemplar
18,22,2,peer
111,61,2,exemplar
153,61,2,peer
155,81,2,exemplar
109,81,2,peer
111,112,2,exemplar
53,112,2,peer
127,112,2,print
197,174,2,exemplar
164,174,2,peer
143,155,2,exemplar
137,155,2,peer
190,10,3,exemplar
39,10,3,peer
174,118,3,exemplar
121,118,3,peer
11,7,3,exemplar
10,7,3,peer
153,46,3,exemplar
145,46,3,peer
57,190,3,exemplar
100,190,3,peer
11,3,3,exemplar
42,3,3,peer
61,65,3,exemplar
54,65,3,peer
155,137,3,exemplar
5,137,3,peer
111,61,4,exemplar
50,61,4,peer
6,202,4,exemplar
155,202,4,peer
174,47,4,exemplar
14,47,4,peer
112,47,4,print
37,175,4,exemplar
76,175,4,peer
190,123,4,exemplar
120,123,4,peer
137,89,4,exemplar
126,89,4,peer
11,199,4,exemplar
58,199,4,peer
137,128,4,exemplar
152,128,4,peer
11,33,5,exemplar
140,33,5,peer
174,118,5,exemplar
86,118,5,peer
33,72,5,exemplar
26,72,5,peer
57,106,5,exemplar
74,106,5,peer
134,45,5,exemplar
171,45,5,peer
156,27,5,exemplar
156,27,5,peer
192,193,5,exemplar
22,193,5,peer
137,132,5,exemplar
80,132,5,peer
14,25,6,exemplar
195,25,6,peer
40,4,6,exemplar
8,4,6,peer
137,82,6,exemplar
59,82,6,peer
4,40,6,exemplar
203,40,6,peer
65,97,6,exemplar
65,97,6,peer
190,10,6,exemplar
190,10,6,peer
153,46,6,exemplar
88,46,6,peer
128,105,6,exemplar
23,105,6,peer
137,177,7,exemplar
147,177,7,peer
137,132,7,exemplar
63,132,7,peer
85,132,7,print
46,146,7,exemplar
0,146,7,peer
