round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2125,0.7875,0.024390243902439025,0.024390243902439025,0.05,0.024390243902439025,0.024390243902439025,0.05,8,0,0
1,0.2125,0.7875,0.024390243902439025,0.024390243902439025,0.05,0.04878048780487805,0.04878048780487805,0.1,8,0,0
2,0.25,0.75,0.07317073170731707,0.0,0.041666666666666664,0.12195121951219512,0.04878048780487805,0.14166666666666666,8,0,0
3,0.225,0.775,0.024390243902439025,0.04878048780487805,0.041666666666666664,0.14634146341463414,0.0975609756097561,0.18333333333333332,8,0,0
4,0.225,0.775,0.024390243902439025,0.04878048780487805,0.041666666666666664,0.14634146341463414,0.0975609756097561,0.18333333333333332,8,0,0
4,0.2125,0.7875,0.024390243902439025,0.07317073170731707,0.03278688524590164,0.1951219512195122,0.17073170731707318,0.20491803278688525,8,0,0
5,0.175,0.825,0.0,0.024390243902439025,0.05737704918032787,0.1951219512195122,0.1951219512195122,0.26229508196721313,8,0,0
6,0.2,0.8,0.07317073170731707,0.024390243902439025,0.03278688524590164,0.2682926829268293,0.21951219512195122,0.29508196721311475,8,0,0
7,0.225,0.775,0.024390243902439025,0.024390243902439025,0.04918032786885246,0.2926829268292683,0.24390243902439024,0.3442622950819672,8,0,0
8,0.225,0.775,0.024390243902439025,0.024390243902439025,0.04918032786885246,0.2926829268292683,0.24390243902439024,0.3442622950819672,8,0,0
8,0.2625,0.7375,0.11904761904761904,0.0,0.02459016393442623,0.40476190476190477,0.23809523809523808,0.36885245901639346,8,0,0
9,0.2625,0.7375,0.023809523809523808,0.047619047619047616,0.040983606557377046,0.42857142857142855,0.2857142857142857,0.4098360655737705,8,0,0
10,0.2375,0.7625,0.047619047619047616,0.0,0.04918032786885246,0.47619047619047616,0.2857142857142857,0.45901639344262296,8,0,0
11,0.225,0.775,0.023809523809523808,0.047619047619047616,0.040983606557377046,0.5,0.3333333333333333,0.5,8,0,0
12,0.225,0.775,0.023809523809523808,0.047619047619047616,0.040983606557377046,0.5,0.3333333333333333,0.5,8,0,0
12,0.2125,0.7875,0.023809523809523808,0.07142857142857142,0.03225806451612903,0.5238095238095238,0.40476190476190477,0.5241935483870968,8,0,0
13,0.2125,0.7875,0.0,0.023809523809523808,0.056451612903225805,0.5238095238095238,0.42857142857142855,0.5806451612903226,8,0,0
14,0.2125,0.7875,0.07142857142857142,0.0,0.04032258064516129,0.5952380952380952,0.42857142857142855,0.6209677419354839,8,0,0
15,0.2,0.8,0.0,0.023809523809523808,0.056451612903225805,0.5952380952380952,0.4523809523809524,0.6774193548387096,8,0,0
16,0.2,0.8,0.0,0.023809523809523808,0.056451612903225805,0.5952380952380952,0.4523809523809524,0.6774193548387096,8,0,0
16,0.2125,0.7875,0.11904761904761904,0.0,0.023809523809523808,0.7142857142857143,0.4523809523809524,0.6904761904761905,8,0,0
17,0.2,0.8,0.047619047619047616,0.047619047619047616,0.031746031746031744,0.7619047619047619,0.5,0.7222222222222222,8,0,0
18,0.2,0.8,0.047619047619047616,0.047619047619047616,0.031746031746031744,0.8095238095238095,0.5476190476190477,0.753968253968254,8,0,0
19,0.2,0.8,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.8809523809523809,0.5952380952380952,0.7777777777777778,8,0,0
20,0.2,0.8,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.8809523809523809,0.5952380952380952,0.7777777777777778,8,0,0
