round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0000/node_0139.png
4,202,34,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0004/node_0034.png
4,203,137,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0004/node_0137.png
8,204,138,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0008/node_0138.png
8,205,152,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0008/node_0152.png
12,206,163,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0012/node_0163.png
12,207,155,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0012/node_0155.png
16,208,65,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0016/node_0065.png
16,209,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0016/node_0139.png
20,210,187,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0020/node_0187.png
20,211,29,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e1-s3-r1-baseline_random-self_consistency_only-rr0p00/generated/round_0020/node_0029.png
