source,target,round,type
143,119,0,exemplar
155,119,0,peer
6,143,0,exemplar
133,143,0,peer
42,40,0,exemplar
54,40,0,peer
139,42,0,exemplar
112,42,0,peer
119,59,0,exemplar
82,59,0,peer
139,6,0,exemplar
147,6,0,peer
87,75,0,exemplar
87,75,0,peer
75,87,0,exemplar
175,87,0,peer
155,143,1,exemplar
155,143,1,peer
42,40,1,exemplar
41,40,1,peer
143,155,1,exemplar
119,155,1,peer
143,110,1,exemplar
113,110,1,peer
114,38,1,exemplar
30,38,1,peer
110,126,1,exemplar
117,126,1,peer
156,128,1,exemplar
119,128,1,peer
128,105,1,exemplar
50,105,1,peer
110,143,2,exemplar
175,143,2,peer
143,110,2,exemplar
137,110,2,peer
156,128,2,exemplar
127,128,2,peer
128,105,2,exemplar
16,105,2,peer
143,59,2,exemplar
137,59,2,peer
143,6,2,exemplar
42,6,2,peer
110,87,2,exemplar
171,87,2,peer
143,44,2,exemplar
147,44,2,peer
6,143,3,exemplar
9,143,3,peer
6,139,3,exemplar
44,139,3,peer
128,105,3,exemplar
24,105,3,peer
143,6,3,exemplar
44,6,3,peer
143,119,3,exemplar
6,119,3,peer
87,75,3,exemplar
80,75,3,peer
40,140,3,exemplar
137,140,3,peer
143,100,3,exemplar
194,100,3,peer
128,105,4,exemplar
181,105,4,peer
143,6,4,exemplar
44,6,4,peer
105,128,4,exemplar
50,128,4,peer
143,59,4,exemplar
8,59,4,peer
143,155,4,exemplar
113,155,4,peer
59,126,4,exemplar
117,126,4,peer
143,137,4,exemplar
119,137,4,peer
40,95,4,exemplar
12,95,4,peer
155,40,5,exemplar
181,40,5,peer
128,105,5,exemplar
57,105,5,peer
6,139,5,exemplar
6,139,5,peer
105,128,5,exemplar
119,128,5,peer
40,155,5,exemplar
44,155,5,peer
143,119,5,exemplar
59,119,5,peer
38,31,5,exemplar
38,31,5,peer
87,75,5,exemplar
71,75,5,peer
128,105,6,exemplar
71,105,6,peer
6,139,6,exemplar
147,139,6,peer
40,6,6,exemplar
143,6,6,peer
38,31,6,exemplar
179,31,6,peer
75,87,6,exemplar
52,87,6,peer
40,140,6,exemplar
54,140,6,peer
6,44,6,exemplar
155,44,6,peer
31,38,6,exemplar
71,38,6,peer
128,105,7,exemplar
60,105,7,peer
6,139,7,exemplar
3,139,7,peer
38,31,7,exemplar
78,31,7,peer
105,128,7,exemplar
168,128,7,peer
6,155,7,exemplar
113,155,7,peer
6,119,7,exemplar
59,119,7,peer
119,59,7,exemplar
119,59,7,peer
87,75,7,exemplar
41,75,7,peer
128,105,8,exemplar
64,105,8,peer
6,139,8,exemplar
3,139,8,peer
38,31,8,exemplar
78,31,8,peer
105,128,8,exemplar
82,128,8,peer
40,140,8,exemplar
29,140,8,peer
6,44,8,exemplar
40,44,8,peer
31,38,8,exemplar
22,38,8,peer
6,137,8,exemplar
66,137,8,peer
6,139,9,exemplar
3,139,9,peer
38,31,9,exemplar
78,31,9,peer
139,6,9,exemplar
11,6,9,peer
6,119,9,exemplar
154,119,9,peer
119,59,9,exemplar
155,59,9,peer
40,140,9,exemplar
181,140,9,peer
6,44,9,exemplar
155,44,9,peer
31,38,9,exemplar
18,38,9,peer
6,139,10,exemplar
155,139,10,peer
128,105,10,exemplar
99,105,10,peer
65,105,10,print
38,31,10,exemplar
91,31,10,peer
44,40,10,exemplar
41,40,10,peer
105,128,10,exemplar
130,128,10,peer
139,6,10,exemplar
137,6,10,peer
6,119,10,exemplar
154,119,10,peer
119,59,10,exemplar
143,59,10,peer
6,139,11,exemplar
6,139,11,peer
38,31,11,exemplar
29,31,11,peer
105,128,11,exemplar
110,128,11,peer
139,6,11,exemplar
11,6,11,peer
6,119,11,exemplar
155,119,11,peer
119,59,11,exemplar
140,59,11,peer
40,140,11,exemplar
181,140,11,peer
6,44,11,exemplar
147,44,11,peer
6,139,12,exemplar
41,139,12,peer
38,31,12,exemplar
179,31,12,peer
128,105,12,exemplar
64,105,12,peer
139,6,12,exemplar
18,6,12,peer
6,119,12,exemplar
53,119,12,peer
44,40,12,exemplar
41,40,12,peer
119,59,12,exemplar
82,59,12,peer
6,44,12,exemplar
40,44,12,peer
6,139,13,exemplar
21,139,13,peer
38,31,13,exemplar
91,31,13,peer
139,6,13,exemplar
147,6,13,peer
6,119,13,exemplar
143,119,13,peer
44,40,13,exemplar
15,40,13,peer
105,128,13,exemplar
156,128,13,peer
119,59,13,exemplar
8,59,13,peer
40,140,13,exemplar
129,140,13,peer
6,139,14,exemplar
147,139,14,peer
38,31,14,exemplar
29,31,14,peer
128,105,14,exemplar
128,105,14,peer
139,6,14,exemplar
143,6,14,peer
44,40,14,exemplar
20,40,14,peer
105,128,14,exemplar
119,128,14,peer
119,59,14,exemplar
155,59,14,peer
6,44,14,exemplar
6,44,14,peer
6,139,15,exemplar
113,139,15,peer
38,31,15,exemplar
38,31,15,peer
128,105,15,exemplar
24,105,15,peer
139,6,15,exemplar
147,6,15,peer
100,6,15,print
44,40,15,exemplar
54,40,15,peer
105,128,15,exemplar
108,128,15,peer
119,59,15,exemplar
155,59,15,peer
6,119,15,exemplar
143,119,15,peer
6,139,16,exemplar
147,139,16,peer
38,31,16,exemplar
50,31,16,peer
128,105,16,exemplar
24,105,16,peer
139,6,16,exemplar
18,6,16,peer
105,128,16,exemplar
137,128,16,peer
119,59,16,exemplar
143,59,16,peer
6,119,16,exemplar
6,119,16,peer
40,140,16,exemplar
129,140,16,peer
6,139,17,exemplar
42,139,17,peer
40,139,17,print
38,31,17,exemplar
91,31,17,peer
128,105,17,exemplar
57,105,17,peer
139,6,17,exemplar
8,6,17,peer
105,128,17,exemplar
161,128,17,peer
119,59,17,exemplar
100,59,17,peer
6,119,17,exemplar
137,119,17,peer
44,40,17,exemplar
4,40,17,peer
6,139,18,exemplar
147,139,18,peer
38,31,18,exemplar
