round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.0,0.016666666666666666,0.14634146341463414,0.0,0.016666666666666666,8,8,0
1,0.275,0.725,0.1951219512195122,0.0,0.0,0.34146341463414637,0.0,0.016666666666666666,8,8,0
2,0.2875,0.7125,0.17073170731707318,0.0,0.008333333333333333,0.5121951219512195,0.0,0.025,8,8,0
3,0.3,0.7,0.14634146341463414,0.0,0.016666666666666666,0.6585365853658537,0.0,0.041666666666666664,8,8,0
4,0.3,0.7,0.14634146341463414,0.0,0.016666666666666666,0.6585365853658537,0.0,0.041666666666666664,8,8,0
4,0.3125,0.6875,0.1951219512195122,0.0,0.0,0.8536585365853658,0.0,0.040983606557377046,8,8,0
5,0.3125,0.6875,0.12195121951219512,0.0,0.02459016393442623,0.975609756097561,0.0,0.06557377049180328,8,8,0
6,0.3,0.7,0.12195121951219512,0.0,0.02459016393442623,1.0975609756097562,0.0,0.09016393442622951,8,8,0
7,0.3,0.7,0.12195121951219512,0.0,0.02459016393442623,1.2195121951219512,0.0,0.11475409836065574,8,8,0
8,0.3,0.7,0.12195121951219512,0.0,0.02459016393442623,1.2195121951219512,0.0,0.11475409836065574,8,8,0
8,0.325,0.675,0.16666666666666666,0.0,0.00819672131147541,1.4523809523809523,0.0,0.09016393442622951,8,8,0
9,0.325,0.675,0.16666666666666666,0.0,0.00819672131147541,1.619047619047619,0.0,0.09836065573770492,8,8,0
10,0.325,0.675,0.16666666666666666,0.0,0.00819672131147541,1.7857142857142858,0.0,0.10655737704918032,8,8,0
11,0.325,0.675,0.16666666666666666,0.0,0.00819672131147541,1.9523809523809523,0.0,0.11475409836065574,8,8,0
12,0.325,0.675,0.16666666666666666,0.0,0.00819672131147541,1.9523809523809523,0.0,0.11475409836065574,8,8,0
12,0.3375,0.6625,0.16666666666666666,0.0,0.008064516129032258,2.2142857142857144,0.0,0.08870967741935484,8,8,0
13,0.3375,0.6625,0.16666666666666666,0.0,0.008064516129032258,2.380952380952381,0.0,0.0967741935483871,8,8,0
14,0.3375,0.6625,0.16666666666666666,0.0,0.008064516129032258,2.5476190476190474,0.0,0.10483870967741936,8,8,0
15,0.3375,0.6625,0.16666666666666666,0.0,0.008064516129032258,2.7142857142857144,0.0,0.11290322580645161,8,8,0
16,0.3375,0.6625,0.16666666666666666,0.0,0.008064516129032258,2.7142857142857144,0.0,0.11290322580645161,8,8,0
16,0.3375,0.6625,0.16666666666666666,0.0,0.007936507936507936,2.880952380952381,0.0,0.11904761904761904,8,8,0
17,0.3375,0.6625,0.16666666666666666,0.0,0.007936507936507936,3.0476190476190474,0.0,0.12698412698412698,8,8,0
18,0.3375,0.6625,0.16666666666666666,0.0,0.007936507936507936,3.2142857142857144,0.0,0.1349206349206349,8,8,0
19,0.3375,0.6625,0.16666666666666666,0.0,0.007936507936507936,3.380952380952381,0.0,0.14285714285714285,8,8,0
20,0.3375,0.6625,0.16666666666666666,0.0,0.007936507936507936,3.380952380952381,0.0,0.14285714285714285,8,8,0
