source,target,round,type
143,119,0,exemplar
155,119,0,peer
6,143,0,exemplar
133,143,0,peer
42,40,0,exemplar
54,40,0,peer
139,42,0,exemplar
112,42,0,peer
119,59,0,exemplar
82,59,0,peer
139,6,0,exemplar
147,6,0,peer
87,75,0,exemplar
87,75,0,peer
75,87,0,exemplar
175,87,0,peer
42,40,1,exemplar
42,40,1,peer
40,155,1,exemplar
100,155,1,peer
40,54,1,exemplar
143,54,1,peer
66,110,1,exemplar
113,110,1,peer
110,71,1,exemplar
41,71,1,peer
71,38,1,exemplar
30,38,1,peer
40,66,1,exemplar
40,66,1,peer
155,154,1,exemplar
66,154,1,peer
6,143,2,exemplar
175,143,2,peer
6,154,2,exemplar
155,154,2,peer
143,6,2,exemplar
119,6,2,peer
40,99,2,exemplar
42,99,2,peer
154,126,2,exemplar
137,126,2,peer
143,22,2,exemplar
21,22,2,peer
22,127,2,exemplar
5,127,2,peer
40,15,2,exemplar
143,15,2,peer
143,6,3,exemplar
8,6,3,peer
6,54,3,exemplar
6,54,3,peer
54,99,3,exemplar
112,99,3,peer
71,110,3,exemplar
66,110,3,peer
6,119,3,exemplar
6,119,3,peer
110,71,3,exemplar
63,71,3,peer
99,38,3,exemplar
18,38,3,peer
110,126,3,exemplar
110,126,3,peer
119,6,4,exemplar
2,6,4,peer
54,99,4,exemplar
54,99,4,peer
119,126,4,exemplar
12,126,4,peer
6,155,4,exemplar
140,155,4,peer
119,59,4,exemplar
44,59,4,peer
110,87,4,exemplar
71,87,4,peer
6,43,4,exemplar
144,43,4,peer
119,64,4,exemplar
97,64,4,peer
155,99,5,exemplar
65,99,5,peer
119,126,5,exemplar
2,126,5,peer
6,155,5,exemplar
119,155,5,peer
155,71,5,exemplar
57,71,5,peer
6,42,5,exemplar
112,42,5,peer
119,127,5,exemplar
119,127,5,peer
155,140,5,exemplar
44,140,5,peer
6,44,5,exemplar
140,44,5,peer
6,119,6,exemplar
59,119,6,peer
119,6,6,exemplar
147,6,6,peer
99,38,6,exemplar
99,38,6,peer
6,42,6,exemplar
21,42,6,peer
119,127,6,exemplar
129,127,6,peer
6,154,6,exemplar
115,154,6,peer
127,140,6,exemplar
29,140,6,peer
6,44,6,exemplar
9,44,6,peer
6,155,7,exemplar
137,155,7,peer
155,71,7,exemplar
80,71,7,peer
119,127,7,exemplar
59,127,7,peer
6,139,7,exemplar
147,139,7,peer
6,154,7,exemplar
115,154,7,peer
71,32,7,exemplar
42,32,7,peer
6,54,7,exemplar
155,54,7,peer
119,110,7,exemplar
155,110,7,peer
6,119,8,exemplar
53,119,8,peer
155,99,8,exemplar
75,99,8,peer
119,127,8,exemplar
59,127,8,peer
6,139,8,exemplar
39,139,8,peer
71,32,8,exemplar
81,32,8,peer
99,38,8,exemplar
99,38,8,peer
127,140,8,exemplar
29,140,8,peer
119,44,8,exemplar
143,44,8,peer
6,119,9,exemplar
143,119,9,peer
38,99,9,exemplar
112,99,9,peer
119,6,9,exemplar
11,6,9,peer
71,32,9,exemplar
8,32,9,peer
99,38,9,exemplar
29,38,9,peer
119,126,9,exemplar
154,126,9,peer
119,154,9,exemplar
155,154,9,peer
119,110,9,exemplar
63,110,9,peer
6,119,10,exemplar
59,119,10,peer
38,99,10,exemplar
40,99,10,peer
66,99,10,print
119,6,10,exemplar
139,6,10,peer
99,38,10,exemplar
78,38,10,peer
119,126,10,exemplar
194,126,10,peer
6,139,10,exemplar
137,139,10,peer
119,110,10,exemplar
44,110,10,peer
110,71,10,exemplar
87,71,10,peer
6,119,11,exemplar
44,119,11,peer
38,99,11,exemplar
40,99,11,peer
119,6,11,exemplar
2,6,11,peer
99,38,11,exemplar
18,38,11,peer
119,126,11,exemplar
119,126,11,peer
6,139,11,exemplar
6,139,11,peer
71,32,11,exemplar
41,32,11,peer
119,110,11,exemplar
76,110,11,peer
6,119,12,exemplar
43,119,12,peer
38,99,12,exemplar
155,99,12,peer
119,6,12,exemplar
18,6,12,peer
99,38,12,exemplar
71,38,12,peer
119,126,12,exemplar
44,126,12,peer
6,139,12,exemplar
155,139,12,peer
71,32,12,exemplar
41,32,12,peer
110,71,12,exemplar
75,71,12,peer
6,119,13,exemplar
137,119,13,peer
38,99,13,exemplar
57,99,13,peer
119,6,13,exemplar
147,6,13,peer
99,38,13,exemplar
86,38,13,peer
119,126,13,exemplar
154,126,13,peer
6,139,13,exemplar
6,139,13,peer
71,32,13,exemplar
52,32,13,peer
110,71,13,exemplar
87,71,13,peer
119,6,14,exemplar
147,6,14,peer
119,126,14,exemplar
41,126,14,peer
6,139,14,exemplar
3,139,14,peer
71,32,14,exemplar
40,32,14,peer
110,71,14,exemplar
143,71,14,peer
119,110,14,exemplar
119,110,14,peer
6,155,14,exemplar
110,155,14,peer
6,42,14,exemplar
40,42,14,peer
6,119,15,exemplar
53,119,15,peer
119,6,15,exemplar
155,6,15,peer
38,99,15,exemplar
112,99,15,peer
119,126,15,exemplar
59,126,15,peer
99,126,15,print
99,38,15,exemplar
99,38,15,peer
110,71,15,exemplar
132,71,15,peer
119,110,15,exemplar
87,110,15,peer
119,127,15,exemplar
8,127,15,peer
6,119,16,exemplar
154,119,16,peer
119,6,16,exemplar
40,6,16,peer
119,126,16,exemplar
194,126,16,peer
6,139,16,exemplar
113,139,16,peer
71,32,16,exemplar
44,32,16,peer
110,71,16,exemplar
87,71,16,peer
119,110,16,exemplar
155,110,16,peer
6,154,16,exemplar
66,154,16,peer
6,119,17,exemplar
54,119,17,peer
40,119,17,print
119,6,17,exemplar
139,6,17,peer
119,126,17,exemplar
2,126,17,peer
71,32,17,exemplar
52,32,17,peer
119,110,17,exemplar
137,110,17,peer
119,127,17,exemplar
9,127,17,peer
99,111,17,exemplar
64,111,17,peer
6,143,17,exemplar
137,143,17,peer
119,126,18,exemplar
59,126,18,peer
38,99,18,exemplar
