source,target,round,type
143,119,0,exemplar
155,119,0,peer
6,143,0,exemplar
133,143,0,peer
42,40,0,exemplar
54,40,0,peer
40,42,0,exemplar
112,42,0,peer
119,59,0,exemplar
82,59,0,peer
143,6,0,exemplar
147,6,0,peer
87,75,0,exemplar
87,75,0,peer
75,87,0,exemplar
175,87,0,peer
143,119,1,exemplar
137,119,1,peer
119,143,1,exemplar
133,143,1,peer
42,40,1,exemplar
57,40,1,peer
143,155,1,exemplar
154,155,1,peer
40,54,1,exemplar
140,54,1,peer
143,71,1,exemplar
41,71,1,peer
71,38,1,exemplar
78,38,1,peer
119,126,1,exemplar
110,126,1,peer
119,126,2,exemplar
117,126,2,peer
143,6,2,exemplar
21,6,2,peer
143,113,2,exemplar
155,113,2,peer
143,100,2,exemplar
2,100,2,peer
143,22,2,exemplar
23,22,2,peer
119,127,2,exemplar
181,127,2,peer
127,105,2,exemplar
181,105,2,peer
40,15,2,exemplar
143,15,2,peer
6,139,3,exemplar
2,139,3,peer
6,143,3,exemplar
5,143,3,peer
119,126,3,exemplar
194,126,3,peer
143,6,3,exemplar
44,6,3,peer
143,54,3,exemplar
140,54,3,peer
143,100,3,exemplar
129,100,3,peer
143,71,3,exemplar
81,71,3,peer
71,38,3,exemplar
35,38,3,peer
59,126,4,exemplar
154,126,4,peer
143,6,4,exemplar
44,6,4,peer
143,100,4,exemplar
99,100,4,peer
6,155,4,exemplar
140,155,4,peer
6,42,4,exemplar
139,42,4,peer
126,59,4,exemplar
100,59,4,peer
42,64,4,exemplar
112,64,4,peer
100,181,4,exemplar
127,181,4,peer
71,38,5,exemplar
18,38,5,peer
6,139,5,exemplar
6,139,5,peer
59,126,5,exemplar
2,126,5,peer
143,100,5,exemplar
130,100,5,peer
6,155,5,exemplar
44,155,5,peer
143,71,5,exemplar
57,71,5,peer
6,42,5,exemplar
41,42,5,peer
126,59,5,exemplar
126,59,5,peer
71,38,6,exemplar
78,38,6,peer
42,139,6,exemplar
147,139,6,peer
42,32,6,exemplar
40,32,6,peer
6,155,6,exemplar
154,155,6,peer
139,42,6,exemplar
54,42,6,peer
126,59,6,exemplar
44,59,6,peer
155,119,6,exemplar
54,119,6,peer
42,40,6,exemplar
112,40,6,peer
155,139,7,exemplar
19,139,7,peer
71,32,7,exemplar
71,32,7,peer
59,126,7,exemplar
194,126,7,peer
59,155,7,exemplar
113,155,7,peer
126,59,7,exemplar
44,59,7,peer
155,143,7,exemplar
133,143,7,peer
155,71,7,exemplar
63,71,7,peer
155,54,7,exemplar
140,54,7,peer
71,38,8,exemplar
71,38,8,peer
42,139,8,exemplar
3,139,8,peer
71,32,8,exemplar
40,32,8,peer
126,59,8,exemplar
100,59,8,peer
155,143,8,exemplar
44,143,8,peer
143,100,8,exemplar
143,100,8,peer
143,71,8,exemplar
63,71,8,peer
139,42,8,exemplar
43,42,8,peer
71,38,9,exemplar
86,38,9,peer
42,139,9,exemplar
43,139,9,peer
71,32,9,exemplar
64,32,9,peer
156,0,9,exemplar
130,0,9,peer
59,155,9,exemplar
110,155,9,peer
155,71,9,exemplar
200,71,9,peer
139,42,9,exemplar
112,42,9,peer
139,6,9,exemplar
11,6,9,peer
71,38,10,exemplar
78,38,10,peer
42,139,10,exemplar
115,139,10,peer
59,139,10,print
143,71,10,exemplar
41,71,10,peer
59,126,10,exemplar
149,126,10,peer
155,143,10,exemplar
100,143,10,peer
139,6,10,exemplar
137,6,10,peer
155,54,10,exemplar
99,54,10,peer
143,119,10,exemplar
110,119,10,peer
42,139,11,exemplar
6,139,11,peer
71,32,11,exemplar
76,32,11,peer
59,126,11,exemplar
154,126,11,peer
6,143,11,exemplar
5,143,11,peer
139,42,11,exemplar
66,42,11,peer
126,59,11,exemplar
140,59,11,peer
139,6,11,exemplar
2,6,11,peer
0,156,11,exemplar
164,156,11,peer
42,139,12,exemplar
41,139,12,peer
71,38,12,exemplar
71,38,12,peer
71,32,12,exemplar
9,32,12,peer
59,126,12,exemplar
44,126,12,peer
6,143,12,exemplar
119,143,12,peer
143,71,12,exemplar
57,71,12,peer
139,42,12,exemplar
6,42,12,peer
126,59,12,exemplar
5,59,12,peer
42,139,13,exemplar
21,139,13,peer
71,38,13,exemplar
30,38,13,peer
59,126,13,exemplar
59,126,13,peer
6,143,13,exemplar
76,143,13,peer
143,71,13,exemplar
200,71,13,peer
139,42,13,exemplar
57,42,13,peer
42,64,13,exemplar
97,64,13,peer
139,6,13,exemplar
137,6,13,peer
42,139,14,exemplar
147,139,14,peer
71,38,14,exemplar
29,38,14,peer
71,32,14,exemplar
71,32,14,peer
59,126,14,exemplar
194,126,14,peer
143,71,14,exemplar
143,71,14,peer
139,42,14,exemplar
64,42,14,peer
126,59,14,exemplar
155,59,14,peer
139,6,14,exemplar
44,6,14,peer
42,139,15,exemplar
113,139,15,peer
71,38,15,exemplar
148,38,15,peer
71,32,15,exemplar
40,32,15,peer
59,126,15,exemplar
59,126,15,peer
88,126,15,print
143,71,15,exemplar
75,71,15,peer
139,42,15,exemplar
44,42,15,peer
6,143,15,exemplar
6,143,15,peer
126,59,15,exemplar
127,59,15,peer
42,139,16,exemplar
147,139,16,peer
71,32,16,exemplar
42,32,16,peer
59,126,16,exemplar
194,126,16,peer
143,71,16,exemplar
44,71,16,peer
139,42,16,exemplar
54,42,16,peer
6,143,16,exemplar
137,143,16,peer
139,6,16,exemplar
139,6,16,peer
42,64,16,exemplar
54,64,16,peer
42,139,17,exemplar
42,139,17,peer
39,139,17,print
71,32,17,exemplar
54,32,17,peer
59,126,17,exemplar
2,126,17,peer
143,71,17,exemplar
76,71,17,peer
126,150,17,exemplar
5,150,17,peer
6,143,17,exemplar
175,143,17,peer
139,6,17,exemplar
44,6,17,peer
126,59,17,exemplar
143,59,17,peer
42,139,18,exemplar
147,139,18,peer
71,38,18,exemplar
