source,target,round,type
143,119,0,exemplar
155,119,0,peer
148,119,0,print
6,143,0,exemplar
100,143,0,peer
42,40,0,exemplar
41,40,0,peer
148,40,0,print
139,42,0,exemplar
57,42,0,peer
84,42,0,print
119,59,0,exemplar
137,59,0,peer
44,59,0,print
139,6,0,exemplar
42,6,0,peer
39,6,0,print
87,75,0,exemplar
66,75,0,peer
75,87,0,exemplar
70,87,0,peer
192,122,0,exemplar
69,122,0,peer
59,123,0,exemplar
140,123,0,peer
160,123,0,print
192,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
192,191,0,print
148,192,0,exemplar
193,192,0,peer
75,192,0,print
26,25,0,exemplar
195,25,0,peer
61,36,0,exemplar
99,36,0,peer
56,13,0,exemplar
56,13,0,peer
172,156,1,exemplar
164,156,1,peer
185,156,1,print
143,155,1,exemplar
44,155,1,peer
71,110,1,exemplar
63,110,1,peer
110,71,1,exemplar
137,71,1,peer
71,38,1,exemplar
113,38,1,peer
14,38,1,print
64,105,1,exemplar
23,105,1,peer
119,53,1,exemplar
2,53,1,peer
42,64,1,exemplar
41,64,1,peer
125,28,1,exemplar
125,28,1,peer
105,36,1,exemplar
108,36,1,peer
28,17,1,exemplar
200,17,1,peer
70,17,1,print
28,125,1,exemplar
122,125,1,peer
187,160,1,exemplar
163,160,1,peer
38,173,1,exemplar
86,173,1,peer
45,134,1,exemplar
176,134,1,peer
143,155,2,exemplar
54,155,2,peer
75,155,2,print
155,143,2,exemplar
194,143,2,peer
128,105,2,exemplar
57,105,2,peer
155,6,2,exemplar
119,6,2,peer
143,100,2,exemplar
20,100,2,peer
161,100,2,print
156,128,2,exemplar
82,128,2,peer
6,114,2,exemplar
6,114,2,peer
182,114,2,print
155,22,2,exemplar
48,22,2,peer
105,36,2,exemplar
105,36,2,peer
128,160,2,exemplar
48,160,2,peer
38,173,2,exemplar
141,173,2,peer
26,25,2,exemplar
48,25,2,peer
56,94,2,exemplar
48,94,2,peer
105,182,2,exemplar
73,182,2,peer
186,159,2,exemplar
43,159,2,peer
156,56,2,exemplar
88,56,2,peer
128,105,3,exemplar
24,105,3,peer
143,100,3,exemplar
53,100,3,peer
143,71,3,exemplar
63,71,3,peer
139,42,3,exemplar
147,42,3,peer
125,42,3,print
156,128,3,exemplar
82,128,3,peer
143,59,3,exemplar
44,59,3,peer
73,59,3,print
155,137,3,exemplar
59,137,3,peer
155,54,3,exemplar
143,54,3,peer
105,36,3,exemplar
61,36,3,peer
192,28,3,exemplar
125,28,3,peer
26,25,3,exemplar
102,25,3,peer
71,123,3,exemplar
50,123,3,peer
173,192,3,exemplar
91,192,3,peer
17,7,3,exemplar
17,7,3,peer
156,56,3,exemplar
180,56,3,peer
191,136,3,exemplar
58,136,3,peer
128,156,4,exemplar
0,156,4,peer
7,156,4,print
143,100,4,exemplar
2,100,4,peer
112,42,4,exemplar
20,42,4,peer
156,128,4,exemplar
152,128,4,peer
155,59,4,exemplar
100,59,4,peer
14,59,4,print
155,22,4,exemplar
10,22,4,peer
59,126,4,exemplar
137,126,4,peer
42,43,4,exemplar
42,43,4,peer
173,28,4,exemplar
38,28,4,peer
38,173,4,exemplar
148,173,4,peer
17,7,4,exemplar
9,7,4,peer
156,56,4,exemplar
180,56,4,peer
136,191,4,exemplar
19,191,4,peer
191,136,4,exemplar
26,136,4,peer
151,136,4,print
56,13,4,exemplar
99,13,4,peer
128,156,5,exemplar
152,156,5,peer
143,100,5,exemplar
40,100,5,peer
139,42,5,exemplar
64,42,5,peer
156,128,5,exemplar
161,128,5,peer
128,105,5,exemplar
181,105,5,peer
63,105,5,print
155,59,5,exemplar
126,59,5,peer
42,139,5,exemplar
115,139,5,peer
155,71,5,exemplar
41,71,5,peer
173,28,5,exemplar
84,28,5,peer
45,28,5,print
105,36,5,exemplar
99,36,5,peer
38,173,5,exemplar
148,173,5,peer
136,191,5,exemplar
116,191,5,peer
128,160,5,exemplar
51,160,5,peer
113,160,5,print
56,13,5,exemplar
72,13,5,peer
128,156,6,exemplar
168,156,6,peer
143,100,6,exemplar
2,100,6,peer
139,42,6,exemplar
64,42,6,peer
100,105,6,exemplar
127,105,6,peer
100,59,6,exemplar
9,59,6,peer
42,139,6,exemplar
19,139,6,peer
100,143,6,exemplar
9,143,6,peer
42,6,6,exemplar
155,6,6,peer
173,28,6,exemplar
134,28,6,peer
105,36,6,exemplar
61,36,6,peer
136,191,6,exemplar
135,191,6,peer
155,191,6,print
26,25,6,exemplar
195,25,6,peer
192,122,6,exemplar
68,122,6,peer
28,17,6,exemplar
141,17,6,peer
153,17,6,print
128,156,7,exemplar
164,156,7,peer
100,155,7,exemplar
21,155,7,peer
143,100,7,exemplar
76,100,7,peer
139,42,7,exemplar
64,42,7,peer
100,105,7,exemplar
130,105,7,peer
100,59,7,exemplar
143,59,7,peer
42,139,7,exemplar
115,139,7,peer
11,139,7,print
156,128,7,exemplar
161,128,7,peer
173,28,7,exemplar
183,28,7,peer
17,173,7,exemplar
30,173,7,peer
26,25,7,exemplar
0,25,7,peer
128,160,7,exemplar
146,160,7,peer
43,160,7,print
17,7,7,exemplar
140,7,7,peer
59,155,8,exemplar
154,155,8,peer
139,42,8,exemplar
43,42,8,peer
100,105,8,exemplar
24,105,8,peer
155,59,8,exemplar
100,59,8,peer
42,139,8,exemplar
42,139,8,peer
155,143,8,exemplar
100,143,8,peer
155,71,8,exemplar
63,71,8,peer
42,64,8,exemplar
66,64,8,peer
173,28,8,exemplar
183,28,8,peer
17,173,8,exemplar
31,173,8,peer
173,173,8,print
136,191,8,exemplar
196,191,8,peer
192,122,8,exemplar
170,122,8,peer
191,136,8,exemplar
26,136,8,peer
105,182,8,exemplar
94,182,8,peer
128,156,9,exemplar
196,156,9,peer
139,42,9,exemplar
64,42,9,peer
42,139,9,exemplar
115,139,9,peer
