round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.2625,0.7375,0.14634146341463414,0.1951219512195122,0.016666666666666666,0.14634146341463414,0.1951219512195122,0.016666666666666666,16,8,8
1,0.325,0.675,0.17073170731707318,0.17073170731707318,0.016666666666666666,0.3170731707317073,0.36585365853658536,0.03333333333333333,15,8,8
2,0.3375,0.6625,0.1951219512195122,0.1951219512195122,0.0,0.5121951219512195,0.5609756097560976,0.03333333333333333,16,8,8
3,0.3375,0.6625,0.1951219512195122,0.1951219512195122,0.0,0.7073170731707317,0.7560975609756098,0.03333333333333333,16,8,8
4,0.3375,0.6625,0.1951219512195122,0.1951219512195122,0.0,0.7073170731707317,0.7560975609756098,0.03333333333333333,16,8,8
4,0.3625,0.6375,0.17073170731707318,0.17073170731707318,0.01639344262295082,0.8780487804878049,0.926829268292683,0.04918032786885246,15,8,8
5,0.3625,0.6375,0.1951219512195122,0.14634146341463414,0.01639344262295082,1.0731707317073171,1.0731707317073171,0.06557377049180328,14,8,8
6,0.35,0.65,0.1951219512195122,0.14634146341463414,0.01639344262295082,1.2682926829268293,1.2195121951219512,0.08196721311475409,14,8,8
7,0.35,0.65,0.21951219512195122,0.12195121951219512,0.01639344262295082,1.4878048780487805,1.3414634146341464,0.09836065573770492,13,8,8
8,0.35,0.65,0.21951219512195122,0.12195121951219512,0.01639344262295082,1.4878048780487805,1.3414634146341464,0.09836065573770492,13,8,8
8,0.35,0.65,0.23809523809523808,0.14285714285714285,0.0,1.6904761904761905,1.4523809523809523,0.09836065573770492,14,8,8
9,0.35,0.65,0.19047619047619047,0.09523809523809523,0.03278688524590164,1.880952380952381,1.5476190476190477,0.13114754098360656,12,8,8
10,0.35,0.65,0.21428571428571427,0.14285714285714285,0.00819672131147541,2.0952380952380953,1.6904761904761905,0.13934426229508196,15,8,8
11,0.35,0.65,0.21428571428571427,0.11904761904761904,0.01639344262295082,2.3095238095238093,1.8095238095238095,0.1557377049180328,13,8,8
12,0.35,0.65,0.21428571428571427,0.11904761904761904,0.01639344262295082,2.3095238095238093,1.8095238095238095,0.1557377049180328,13,8,8
12,0.3375,0.6625,0.21428571428571427,0.11904761904761904,0.016129032258064516,2.5238095238095237,1.9285714285714286,0.1693548387096774,13,8,8
13,0.3375,0.6625,0.21428571428571427,0.09523809523809523,0.024193548387096774,2.738095238095238,2.0238095238095237,0.1935483870967742,13,8,8
14,0.3375,0.6625,0.2619047619047619,0.11904761904761904,0.0,3.0,2.142857142857143,0.1935483870967742,14,8,8
15,0.3375,0.6625,0.23809523809523808,0.09523809523809523,0.016129032258064516,3.238095238095238,2.238095238095238,0.20967741935483872,13,8,8
16,0.3375,0.6625,0.23809523809523808,0.09523809523809523,0.016129032258064516,3.238095238095238,2.238095238095238,0.20967741935483872,13,8,8
16,0.3625,0.6375,0.21428571428571427,0.09523809523809523,0.023809523809523808,3.4523809523809526,2.3333333333333335,0.23015873015873015,13,8,8
17,0.3625,0.6375,0.23809523809523808,0.09523809523809523,0.015873015873015872,3.6904761904761907,2.4285714285714284,0.24603174603174602,13,8,8
18,0.3625,0.6375,0.16666666666666666,0.11904761904761904,0.031746031746031744,3.857142857142857,2.5476190476190474,0.2777777777777778,13,8,8
19,0.3625,0.6375,0.21428571428571427,0.09523809523809523,0.023809523809523808,4.071428571428571,2.642857142857143,0.30158730158730157,13,8,8
20,0.3625,0.6375,0.21428571428571427,0.09523809523809523,0.023809523809523808,4.071428571428571,2.642857142857143,0.30158730158730157,13,8,8
