round,new_node_id,parent_node_id,path
0,200,156,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0000/node_0156.png
0,201,139,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0000/node_0139.png
4,202,112,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0004/node_0112.png
4,203,155,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0004/node_0155.png
8,204,142,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0008/node_0142.png
8,205,172,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0008/node_0172.png
12,206,113,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0012/node_0113.png
12,207,25,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0012/node_0025.png
16,208,120,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0016/node_0120.png
16,209,136,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0016/node_0136.png
20,210,168,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0020/node_0168.png
20,211,18,/Users/1532016078qq.com/Desktop/MACS 37005/pj/agentic_simulation/runs_env_plus_artist/batch_runs/batch-3x3-20260306_195801-config_env_plus_artist_batch_fast-t20-sp4x2-gk120/e3-s1-r1-dual_patronage-imitation_only-rr0p00/generated/round_0020/node_0018.png
