source,target,round,type
143,119,0,exemplar
155,119,0,peer
148,119,0,print
6,143,0,exemplar
100,143,0,peer
42,40,0,exemplar
41,40,0,peer
148,40,0,print
139,42,0,exemplar
57,42,0,peer
84,42,0,print
119,59,0,exemplar
137,59,0,peer
44,59,0,print
139,6,0,exemplar
42,6,0,peer
38,6,0,print
87,75,0,exemplar
66,75,0,peer
75,87,0,exemplar
70,87,0,peer
192,122,0,exemplar
69,122,0,peer
59,123,0,exemplar
140,123,0,peer
161,123,0,print
192,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
192,191,0,print
148,192,0,exemplar
193,192,0,peer
75,192,0,print
26,25,0,exemplar
195,25,0,peer
61,36,0,exemplar
99,36,0,peer
56,13,0,exemplar
56,13,0,peer
143,155,1,exemplar
119,155,1,peer
185,155,1,print
71,110,1,exemplar
137,110,1,peer
110,71,1,exemplar
81,71,1,peer
71,38,1,exemplar
44,38,1,peer
155,154,1,exemplar
115,154,1,peer
14,154,1,print
119,65,1,exemplar
61,65,1,peer
75,76,1,exemplar
75,76,1,peer
59,23,1,exemplar
5,23,1,peer
38,28,1,exemplar
125,28,1,peer
65,36,1,exemplar
108,36,1,peer
28,17,1,exemplar
173,17,1,peer
70,17,1,print
192,124,1,exemplar
183,124,1,peer
187,160,1,exemplar
163,160,1,peer
38,173,1,exemplar
86,173,1,peer
155,166,1,exemplar
14,166,1,peer
17,121,1,exemplar
71,121,1,peer
74,121,1,print
143,155,2,exemplar
42,155,2,peer
155,143,2,exemplar
54,143,2,peer
6,42,2,exemplar
43,42,2,peer
155,6,2,exemplar
40,6,2,peer
162,6,2,print
59,23,2,exemplar
15,23,2,peer
143,113,2,exemplar
143,113,2,peer
182,113,2,print
6,44,2,exemplar
137,44,2,peer
110,126,2,exemplar
144,126,2,peer
65,36,2,exemplar
108,36,2,peer
187,160,2,exemplar
163,160,2,peer
38,173,2,exemplar
38,173,2,peer
6,98,2,exemplar
121,98,2,peer
124,93,2,exemplar
183,93,2,peer
173,125,2,exemplar
170,125,2,peer
156,47,2,exemplar
108,47,2,peer
13,182,2,exemplar
48,182,2,peer
44,42,3,exemplar
41,42,3,peer
6,44,3,exemplar
155,44,3,peer
143,71,3,exemplar
81,71,3,peer
124,71,3,print
44,126,3,exemplar
117,126,3,peer
155,154,3,exemplar
115,154,3,peer
73,154,3,print
42,65,3,exemplar
64,65,3,peer
42,54,3,exemplar
143,54,3,peer
42,99,3,exemplar
54,99,3,peer
65,36,3,exemplar
88,36,3,peer
125,28,3,exemplar
141,28,3,peer
71,123,3,exemplar
50,123,3,peer
42,98,3,exemplar
114,98,3,peer
125,192,3,exemplar
69,192,3,peer
28,125,3,exemplar
91,125,3,peer
44,7,3,exemplar
1,7,3,peer
155,166,3,exemplar
155,166,3,peer
182,166,3,print
54,42,4,exemplar
6,42,4,peer
7,42,4,print
101,156,4,exemplar
101,156,4,peer
154,126,4,exemplar
194,126,4,peer
126,154,4,exemplar
119,154,4,peer
54,23,4,exemplar
15,23,4,peer
14,23,4,print
42,54,4,exemplar
20,54,4,peer
42,99,4,exemplar
54,99,4,peer
126,59,4,exemplar
110,59,4,peer
173,125,4,exemplar
174,125,4,peer
187,160,4,exemplar
128,160,4,peer
125,173,4,exemplar
86,173,4,peer
44,7,4,exemplar
62,7,4,peer
192,124,4,exemplar
45,124,4,peer
101,191,4,exemplar
145,191,4,peer
152,191,4,print
173,91,4,exemplar
31,91,4,peer
54,23,5,exemplar
9,23,5,peer
54,42,5,exemplar
57,42,5,peer
154,126,5,exemplar
149,126,5,peer
126,154,5,exemplar
155,154,5,peer
156,101,5,exemplar
172,101,5,peer
65,101,5,print
42,99,5,exemplar
65,99,5,peer
155,143,5,exemplar
6,143,5,peer
143,71,5,exemplar
41,71,5,peer
173,28,5,exemplar
84,28,5,peer
45,28,5,print
125,173,5,exemplar
30,173,5,peer
42,98,5,exemplar
119,98,5,peer
101,191,5,exemplar
116,191,5,peer
101,166,5,exemplar
155,166,5,peer
114,166,5,print
166,47,5,exemplar
0,47,5,peer
44,42,6,exemplar
66,42,6,peer
101,156,6,exemplar
101,156,6,peer
42,99,6,exemplar
38,99,6,peer
44,143,6,exemplar
44,143,6,peer
143,44,6,exemplar
110,44,6,peer
42,6,6,exemplar
155,6,6,peer
143,59,6,exemplar
8,59,6,peer
42,65,6,exemplar
54,65,6,peer
173,28,6,exemplar
134,28,6,peer
99,36,6,exemplar
61,36,6,peer
101,191,6,exemplar
135,191,6,peer
155,191,6,print
71,123,6,exemplar
8,123,6,peer
125,122,6,exemplar
68,122,6,peer
28,17,6,exemplar
114,17,6,peer
154,17,6,print
173,91,6,exemplar
31,91,6,peer
44,23,7,exemplar
5,23,7,peer
101,156,7,exemplar
168,156,7,peer
44,143,7,exemplar
133,143,7,peer
44,126,7,exemplar
117,126,7,peer
156,101,7,exemplar
195,101,7,peer
143,44,7,exemplar
4,44,7,peer
11,44,7,print
143,71,7,exemplar
63,71,7,peer
42,6,7,exemplar
137,6,7,peer
173,28,7,exemplar
171,28,7,peer
101,191,7,exemplar
153,191,7,peer
125,173,7,exemplar
29,173,7,peer
44,173,7,print
42,98,7,exemplar
66,98,7,peer
187,160,7,exemplar
88,160,7,peer
44,42,8,exemplar
21,42,8,peer
44,143,8,exemplar
76,143,8,peer
154,126,8,exemplar
194,126,8,peer
156,101,8,exemplar
128,101,8,peer
42,99,8,exemplar
97,99,8,peer
126,154,8,exemplar
110,154,8,peer
42,139,8,exemplar
42,139,8,peer
143,59,8,exemplar
127,59,8,peer
173,28,8,exemplar
183,28,8,peer
101,191,8,exemplar
33,191,8,peer
173,191,8,print
125,173,8,exemplar
30,173,8,peer
99,36,8,exemplar
158,36,8,peer
98,122,8,exemplar
58,122,8,peer
99,94,8,exemplar
182,94,8,peer
59,23,9,exemplar
