source,target,round,type
143,119,0,exemplar
155,119,0,peer
148,119,0,print
6,143,0,exemplar
100,143,0,peer
42,40,0,exemplar
41,40,0,peer
147,40,0,print
40,42,0,exemplar
57,42,0,peer
83,42,0,print
119,59,0,exemplar
137,59,0,peer
44,59,0,print
143,6,0,exemplar
147,6,0,peer
38,6,0,print
87,75,0,exemplar
66,75,0,peer
75,87,0,exemplar
70,87,0,peer
192,122,0,exemplar
69,122,0,peer
59,123,0,exemplar
140,123,0,peer
161,123,0,print
192,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
192,191,0,print
148,192,0,exemplar
193,192,0,peer
75,192,0,print
26,25,0,exemplar
195,25,0,peer
61,36,0,exemplar
99,36,0,peer
56,13,0,exemplar
56,13,0,peer
155,143,1,exemplar
54,143,1,peer
185,143,1,print
143,155,1,exemplar
44,155,1,peer
143,54,1,exemplar
6,54,1,peer
143,110,1,exemplar
175,110,1,peer
114,38,1,exemplar
113,38,1,peer
14,38,1,print
42,64,1,exemplar
97,64,1,peer
155,154,1,exemplar
66,154,1,peer
143,76,1,exemplar
37,76,1,peer
38,28,1,exemplar
125,28,1,peer
61,36,1,exemplar
108,36,1,peer
143,17,1,exemplar
201,17,1,peer
68,17,1,print
192,124,1,exemplar
183,124,1,peer
187,160,1,exemplar
163,160,1,peer
38,173,1,exemplar
86,173,1,peer
155,166,1,exemplar
14,166,1,peer
50,49,1,exemplar
131,49,1,peer
74,49,1,print
6,143,2,exemplar
194,143,2,peer
6,42,2,exemplar
57,42,2,peer
6,154,2,exemplar
54,154,2,peer
143,6,2,exemplar
139,6,2,peer
163,6,2,print
143,113,2,exemplar
116,113,2,peer
143,44,2,exemplar
21,44,2,peer
182,44,2,print
154,126,2,exemplar
59,126,2,peer
59,127,2,exemplar
8,127,2,peer
61,36,2,exemplar
108,36,2,peer
187,160,2,exemplar
163,160,2,peer
38,173,2,exemplar
38,173,2,peer
26,25,2,exemplar
14,25,2,peer
6,98,2,exemplar
32,98,2,peer
124,93,2,exemplar
198,93,2,peer
166,47,2,exemplar
108,47,2,peer
13,182,2,exemplar
48,182,2,peer
44,42,3,exemplar
41,42,3,peer
143,119,3,exemplar
54,119,3,peer
143,44,3,exemplar
140,44,3,peer
124,44,3,print
44,126,3,exemplar
117,126,3,peer
42,64,3,exemplar
119,64,3,peer
73,64,3,print
42,99,3,exemplar
155,99,3,peer
143,100,3,exemplar
40,100,3,peer
143,71,3,exemplar
110,71,3,peer
99,36,3,exemplar
88,36,3,peer
192,28,3,exemplar
141,28,3,peer
93,123,3,exemplar
50,123,3,peer
42,98,3,exemplar
114,98,3,peer
173,192,3,exemplar
69,192,3,peer
166,47,3,exemplar
174,47,3,peer
44,7,3,exemplar
1,7,3,peer
47,166,3,exemplar
155,166,3,peer
182,166,3,print
172,156,4,exemplar
0,156,4,peer
7,156,4,print
44,42,4,exemplar
139,42,4,peer
143,44,4,exemplar
40,44,4,peer
44,126,4,exemplar
66,126,4,peer
42,54,4,exemplar
140,54,4,peer
14,54,4,print
143,100,4,exemplar
181,100,4,peer
143,71,4,exemplar
110,71,4,peer
143,59,4,exemplar
110,59,4,peer
71,123,4,exemplar
93,123,4,peer
42,98,4,exemplar
6,98,4,peer
187,160,4,exemplar
85,160,4,peer
38,173,4,exemplar
148,173,4,peer
44,7,4,exemplar
17,7,4,peer
136,191,4,exemplar
145,191,4,peer
152,191,4,print
173,125,4,exemplar
38,125,4,peer
186,159,5,exemplar
144,159,5,peer
38,173,5,exemplar
125,173,5,peer
44,42,5,exemplar
64,42,5,peer
143,44,5,exemplar
155,44,5,peer
44,143,5,exemplar
194,143,5,peer
64,143,5,print
143,119,5,exemplar
57,119,5,peer
143,71,5,exemplar
132,71,5,peer
143,59,5,exemplar
100,59,5,peer
159,36,5,exemplar
165,36,5,peer
46,36,5,print
42,98,5,exemplar
119,98,5,peer
173,28,5,exemplar
33,28,5,peer
136,191,5,exemplar
116,191,5,peer
166,47,5,exemplar
197,47,5,peer
114,47,5,print
98,122,5,exemplar
170,122,5,peer
186,159,6,exemplar
111,159,6,peer
44,42,6,exemplar
139,42,6,peer
143,44,6,exemplar
110,44,6,peer
44,143,6,exemplar
44,143,6,peer
143,59,6,exemplar
9,59,6,peer
42,64,6,exemplar
63,64,6,peer
42,6,6,exemplar
8,6,6,peer
143,2,6,exemplar
43,2,6,peer
159,36,6,exemplar
158,36,6,peer
42,98,6,exemplar
118,98,6,peer
173,28,6,exemplar
33,28,6,peer
156,28,6,print
136,191,6,exemplar
72,191,6,peer
98,122,6,exemplar
68,122,6,peer
173,17,6,exemplar
141,17,6,peer
154,17,6,print
156,157,6,exemplar
151,157,6,peer
143,44,7,exemplar
140,44,7,peer
44,143,7,exemplar
9,143,7,peer
17,173,7,exemplar
148,173,7,peer
143,59,7,exemplar
100,59,7,peer
143,119,7,exemplar
110,119,7,peer
44,6,7,exemplar
54,6,7,peer
10,6,7,print
44,54,7,exemplar
155,54,7,peer
143,110,7,exemplar
143,110,7,peer
173,28,7,exemplar
171,28,7,peer
136,191,7,exemplar
153,191,7,peer
187,160,7,exemplar
146,160,7,peer
44,160,7,print
173,17,7,exemplar
201,17,7,peer
26,25,7,exemplar
185,25,7,peer
47,166,7,exemplar
196,166,7,peer
123,166,7,print
182,13,7,exemplar
196,13,7,peer
172,156,8,exemplar
184,156,8,peer
143,44,8,exemplar
143,44,8,peer
44,143,8,exemplar
100,143,8,peer
44,42,8,exemplar
119,42,8,peer
143,59,8,exemplar
119,59,8,peer
143,71,8,exemplar
75,71,8,peer
42,64,8,exemplar
112,64,8,peer
143,100,8,exemplar
181,100,8,peer
173,28,8,exemplar
183,28,8,peer
159,36,8,exemplar
77,36,8,peer
173,36,8,print
42,98,8,exemplar
119,98,8,peer
135,191,8,exemplar
11,191,8,peer
