source,target,round,type
13,142,0,exemplar
146,142,0,peer
11,191,0,exemplar
136,191,0,peer
47,191,0,print
174,122,0,exemplar
69,122,0,peer
39,122,0,print
38,86,0,exemplar
161,86,0,peer
140,105,0,exemplar
99,105,0,peer
44,4,0,exemplar
100,4,0,peer
197,174,0,exemplar
165,174,0,peer
162,174,0,print
39,11,0,exemplar
114,11,0,peer
109,57,1,exemplar
40,57,1,peer
105,16,1,exemplar
134,16,1,peer
57,80,1,exemplar
75,80,1,peer
142,13,1,exemplar
99,13,1,peer
161,179,1,exemplar
125,179,1,peer
22,189,1,exemplar
143,189,1,peer
156,164,1,exemplar
153,164,1,peer
113,95,1,exemplar
97,95,1,peer
57,83,2,exemplar
137,83,2,peer
57,4,2,exemplar
8,4,2,peer
57,105,2,exemplar
60,105,2,peer
164,46,2,exemplar
167,46,2,peer
156,187,2,exemplar
151,187,2,peer
156,19,2,exemplar
115,19,2,peer
128,19,2,print
19,191,2,exemplar
58,191,2,peer
80,5,2,exemplar
150,5,2,peer
191,136,3,exemplar
151,136,3,peer
4,140,3,exemplar
8,140,3,peer
26,25,3,exemplar
103,25,3,peer
57,74,3,exemplar
100,74,3,peer
105,49,3,exemplar
61,49,3,peer
22,189,3,exemplar
42,189,3,peer
179,192,3,exemplar
69,192,3,peer
110,78,3,exemplar
38,78,3,peer
86,173,4,exemplar
125,173,4,peer
140,180,4,exemplar
140,180,4,peer
18,180,4,print
9,15,4,exemplar
24,15,4,peer
149,133,4,exemplar
113,133,4,peer
57,109,4,exemplar
57,109,4,peer
173,17,4,exemplar
114,17,4,peer
80,71,4,exemplar
155,71,4,peer
156,47,4,exemplar
156,47,4,peer
156,47,5,exemplar
196,47,5,peer
191,116,5,exemplar
110,116,5,peer
78,198,5,exemplar
126,198,5,peer
46,186,5,exemplar
30,186,5,peer
46,85,5,exemplar
168,85,5,peer
133,143,5,exemplar
9,143,5,peer
71,74,5,exemplar
40,74,5,peer
80,63,5,exemplar
175,63,5,peer
143,162,6,exemplar
0,162,6,peer
156,195,6,exemplar
162,195,6,peer
133,147,6,exemplar
110,147,6,peer
179,147,6,print
13,142,6,exemplar
129,142,6,peer
99,142,6,print
143,119,6,exemplar
54,119,6,peer
156,108,6,exemplar
99,108,6,peer
156,73,6,exemplar
77,73,6,peer
143,100,6,exemplar
40,100,6,peer
73,77,7,exemplar
89,77,7,peer
105,36,7,exemplar
108,36,7,peer
143,17,7,exemplar
86,17,7,peer
173,192,7,exemplar
30,192,7,peer
4,192,7,print
156,128,7,exemplar
156,128,7,peer
143,57,7,exemplar
190,57,7,peer
143,57,7,print
143,155,7,exemplar
143,155,7,peer
155,143,7,exemplar
194,143,7,peer
69,143,7,print
156,157,8,exemplar
156,157,8,peer
128,14,8,exemplar
39,14,8,peer
17,173,8,exemplar
86,173,8,peer
86,173,8,print
143,76,8,exemplar
143,76,8,peer
57,4,8,exemplar
54,4,8,peer
156,187,8,exemplar
188,187,8,peer
173,192,8,exemplar
79,192,8,peer
81,192,8,print
57,83,8,exemplar
52,83,8,peer
46,186,9,exemplar
88,186,9,peer
19,139,9,exemplar
43,139,9,peer
198,90,9,exemplar
50,90,9,peer
57,190,9,exemplar
54,190,9,peer
90,198,9,exemplar
90,198,9,peer
200,198,9,print
173,17,9,exemplar
8,17,9,peer
17,17,9,print
57,66,9,exemplar
126,66,9,peer
156,128,9,exemplar
152,128,9,peer
77,186,10,exemplar
89,186,10,peer
143,155,10,exemplar
59,155,10,peer
155,114,10,exemplar
113,114,10,peer
191,116,10,exemplar
110,116,10,peer
19,11,10,exemplar
2,11,10,peer
128,14,10,exemplar
166,14,10,peer
83,77,10,exemplar
95,77,10,peer
77,90,10,exemplar
92,90,10,peer
11,191,11,exemplar
136,191,11,peer
77,198,11,exemplar
90,198,11,peer
83,77,11,exemplar
73,77,11,peer
105,24,11,exemplar
54,24,11,peer
128,47,11,exemplar
166,47,11,peer
114,11,11,exemplar
130,11,11,peer
11,114,11,exemplar
15,114,11,peer
156,187,11,exemplar
164,187,11,peer
136,187,11,print
49,131,12,exemplar
45,131,12,peer
77,198,12,exemplar
38,198,12,peer
17,121,12,exemplar
57,121,12,peer
77,144,12,exemplar
42,144,12,peer
93,144,12,print
105,24,12,exemplar
15,24,12,peer
90,49,12,exemplar
16,49,12,peer
187,156,12,exemplar
164,156,12,peer
83,21,12,exemplar
40,21,12,peer
114,35,13,exemplar
24,35,13,peer
49,16,13,exemplar
105,16,13,peer
128,130,13,exemplar
128,130,13,peer
57,42,13,exemplar
41,42,13,peer
114,38,13,exemplar
44,38,13,peer
47,166,13,exemplar
128,166,13,peer
143,76,13,exemplar
75,76,13,peer
24,22,13,exemplar
155,22,13,peer
49,16,14,exemplar
50,16,14,peer
157,16,14,print
155,15,14,exemplar
24,15,14,peer
76,32,14,exemplar
20,32,14,peer
192,179,14,exemplar
26,179,14,peer
156,47,14,exemplar
156,47,14,peer
14,47,14,print
143,76,14,exemplar
66,76,14,peer
198,124,14,exemplar
45,124,14,peer
76,110,14,exemplar
63,110,14,peer
83,21,15,exemplar
40,21,15,peer
22,35,15,exemplar
24,35,15,peer
14,48,15,exemplar
88,48,15,peer
187,156,15,exemplar
164,156,15,peer
49,31,15,exemplar
29,31,15,peer
189,96,15,exemplar
65,96,15,peer
24,22,15,exemplar
141,22,15,peer
128,14,15,exemplar
48,14,15,peer
155,180,16,exemplar
138,180,16,peer
22,127,16,exemplar
140,127,16,peer
191,116,16,exemplar
95,116,16,peer
156,152,16,exemplar
162,152,16,peer
57,109,16,exemplar
9,109,16,peer
143,115,16,exemplar
39,115,16,peer
198,90,16,exemplar
31,90,16,peer
156,153,16,exemplar
156,153,16,peer
155,4,17,exemplar
8,4,17,peer
14,25,17,exemplar
102,25,17,peer
77,186,17,exemplar
159,186,17,peer
17,173,17,exemplar
193,173,17,peer
186,85,17,exemplar
108,85,17,peer
121,85,17,print
122,118,17,exemplar
174,118,17,peer
192,122,17,exemplar
170,122,17,peer
90,198,17,exemplar
110,198,17,peer
77,186,18,exemplar
46,186,18,peer
76,110,18,exemplar
112,110,18,peer
21,42,18,exemplar
139,42,18,peer
156,188,18,exemplar
195,188,18,peer
173,193,18,exemplar
141,193,18,peer
17,173,18,exemplar
193,173,18,peer
128,14,18,exemplar
128,14,18,peer
24,10,18,exemplar
22,10,18,peer
110,76,19,exemplar
75,76,19,peer
143,133,19,exemplar
177,133,19,peer
156,164,19,exemplar
153,164,19,peer
116,191,19,exemplar
39,191,19,peer
76,41,19,exemplar
144,41,19,peer
173,31,19,exemplar
91,31,19,peer
191,116,19,exemplar
97,116,19,peer
77,36,19,exemplar
89,36,19,peer
107,36,19,print
