source,target,round,type
119,137,0,exemplar
8,137,0,peer
146,137,0,print
40,54,0,exemplar
42,54,0,peer
137,119,0,exemplar
59,119,0,peer
146,119,0,print
42,40,0,exemplar
57,40,0,peer
83,40,0,print
40,42,0,exemplar
40,42,0,peer
44,42,0,print
140,105,0,exemplar
16,105,0,peer
39,105,0,print
137,6,0,exemplar
8,6,0,peer
137,75,0,exemplar
67,75,0,peer
91,122,0,exemplar
69,122,0,peer
168,157,0,exemplar
152,157,0,peer
159,157,0,print
193,28,0,exemplar
33,28,0,peer
136,191,0,exemplar
26,191,0,peer
191,191,0,print
13,142,0,exemplar
48,142,0,peer
75,142,0,print
148,91,0,exemplar
141,91,0,peer
26,25,0,exemplar
103,25,0,peer
105,36,0,exemplar
61,36,0,peer
119,54,1,exemplar
143,54,1,peer
185,54,1,print
54,119,1,exemplar
54,119,1,peer
54,140,1,exemplar
137,140,1,peer
119,143,1,exemplar
194,143,1,peer
119,95,1,exemplar
2,95,1,peer
15,95,1,print
143,71,1,exemplar
76,71,1,peer
114,38,1,exemplar
35,38,1,peer
119,127,1,exemplar
150,127,1,peer
91,122,1,exemplar
68,122,1,peer
38,28,1,exemplar
17,28,1,peer
26,25,1,exemplar
195,25,1,peer
71,25,1,print
105,36,1,exemplar
89,36,1,peer
38,198,1,exemplar
45,198,1,peer
88,158,1,exemplar
159,158,1,peer
161,179,1,exemplar
30,179,1,peer
156,188,1,exemplar
145,188,1,peer
75,188,1,print
6,114,2,exemplar
12,114,2,peer
140,105,2,exemplar
57,105,2,peer
119,6,2,exemplar
119,6,2,peer
54,99,2,exemplar
57,99,2,peer
163,99,2,print
6,44,2,exemplar
8,44,2,peer
119,126,2,exemplar
110,126,2,peer
183,126,2,print
119,82,2,exemplar
59,82,2,peer
54,43,2,exemplar
2,43,2,peer
105,36,2,exemplar
108,36,2,peer
136,191,2,exemplar
153,191,2,peer
6,17,2,exemplar
6,17,2,peer
161,179,2,exemplar
193,179,2,peer
158,160,2,exemplar
165,160,2,peer
158,159,2,exemplar
43,159,2,peer
105,182,2,exemplar
35,182,2,peer
119,54,3,exemplar
42,54,3,peer
54,119,3,exemplar
66,119,3,peer
54,99,3,exemplar
97,99,3,peer
54,140,3,exemplar
137,140,3,peer
126,140,3,print
54,44,3,exemplar
8,44,3,peer
119,126,3,exemplar
59,126,3,peer
76,126,3,print
119,127,3,exemplar
105,127,3,peer
54,43,3,exemplar
119,43,3,peer
91,122,3,exemplar
118,122,3,peer
105,36,3,exemplar
88,36,3,peer
44,7,3,exemplar
58,7,3,peer
126,198,3,exemplar
30,198,3,peer
99,182,3,exemplar
94,182,3,peer
156,188,3,exemplar
153,188,3,peer
179,192,3,exemplar
125,192,3,peer
48,47,3,exemplar
27,47,3,peer
44,114,4,exemplar
119,114,4,peer
184,114,4,print
54,44,4,exemplar
140,44,4,peer
44,126,4,exemplar
12,126,4,peer
119,127,4,exemplar
128,127,4,peer
75,127,4,print
54,43,4,exemplar
42,43,4,peer
44,143,4,exemplar
175,143,4,peer
119,113,4,exemplar
137,113,4,peer
62,113,4,print
43,2,4,exemplar
12,2,4,peer
72,2,4,print
91,122,4,exemplar
58,122,4,peer
168,157,4,exemplar
156,157,4,peer
179,157,4,print
26,25,4,exemplar
181,25,4,peer
101,25,4,print
44,17,4,exemplar
121,17,4,peer
99,182,4,exemplar
73,182,4,peer
192,179,4,exemplar
30,179,4,peer
156,188,4,exemplar
164,188,4,peer
110,188,4,print
119,114,5,exemplar
15,114,5,peer
119,54,5,exemplar
42,54,5,peer
54,119,5,exemplar
6,119,5,peer
119,126,5,exemplar
194,126,5,peer
119,127,5,exemplar
100,127,5,peer
127,140,5,exemplar
147,140,5,peer
119,143,5,exemplar
194,143,5,peer
127,105,5,exemplar
127,105,5,peer
105,36,5,exemplar
88,36,5,peer
192,179,5,exemplar
29,179,5,peer
156,188,5,exemplar
101,188,5,peer
17,28,5,exemplar
125,28,5,peer
136,191,5,exemplar
136,191,5,peer
126,198,5,exemplar
45,198,5,peer
66,198,5,print
179,192,5,exemplar
31,192,5,peer
119,114,6,exemplar
71,114,6,peer
119,54,6,exemplar
143,54,6,peer
189,54,6,print
119,126,6,exemplar
59,126,6,peer
119,127,6,exemplar
59,127,6,peer
54,43,6,exemplar
6,43,6,peer
54,99,6,exemplar
97,99,6,peer
92,99,6,print
54,6,6,exemplar
54,6,6,peer
119,113,6,exemplar
133,113,6,peer
192,122,6,exemplar
45,122,6,peer
192,179,6,exemplar
167,179,6,peer
84,179,6,print
17,28,6,exemplar
183,28,6,peer
168,157,6,exemplar
48,157,6,peer
114,17,6,exemplar
7,17,6,peer
99,182,6,exemplar
13,182,6,peer
17,7,6,exemplar
1,7,6,peer
119,54,7,exemplar
6,54,7,peer
119,126,7,exemplar
44,126,7,peer
140,127,7,exemplar
150,127,7,peer
54,99,7,exemplar
54,99,7,peer
127,140,7,exemplar
155,140,7,peer
127,105,7,exemplar
127,105,7,peer
54,6,7,exemplar
11,6,7,peer
127,137,7,exemplar
154,137,7,peer
192,122,7,exemplar
125,122,7,peer
105,36,7,exemplar
159,36,7,peer
79,36,7,print
136,191,7,exemplar
11,191,7,peer
26,25,7,exemplar
162,25,7,peer
140,7,7,exemplar
1,7,7,peer
179,192,7,exemplar
125,192,7,peer
99,142,7,exemplar
99,142,7,peer
198,93,7,exemplar
45,93,7,peer
54,93,7,print
140,54,8,exemplar
44,54,8,peer
119,126,8,exemplar
2,126,8,peer
59,126,8,print
6,114,8,exemplar
38,114,8,peer
54,140,8,exemplar
155,140,8,peer
54,6,8,exemplar
42,6,8,peer
192,6,8,print
54,143,8,exemplar
44,143,8,peer
127,137,8,exemplar
119,137,8,peer
114,38,8,exemplar
82,38,8,peer
105,36,8,exemplar
158,36,8,peer
182,36,8,print
192,179,8,exemplar
193,179,8,peer
136,191,8,exemplar
136,191,8,peer
168,157,8,exemplar
167,157,8,peer
26,25,8,exemplar
103,25,8,peer
156,188,8,exemplar
152,188,8,peer
179,192,8,exemplar
79,192,8,peer
140,54,9,exemplar
42,54,9,peer
137,126,9,exemplar
66,126,9,peer
6,114,9,exemplar
6,114,9,peer
140,127,9,exemplar
5,127,9,peer
54,140,9,exemplar
29,140,9,peer
126,140,9,print
54,99,9,exemplar
42,99,9,peer
127,137,9,exemplar
119,137,9,peer
54,2,9,exemplar
18,2,9,peer
192,122,9,exemplar
200,122,9,peer
136,191,9,exemplar
116,191,9,peer
168,157,9,exemplar
184,157,9,peer
26,25,9,exemplar
129,25,9,peer
17,28,9,exemplar
33,28,9,peer
114,17,9,exemplar
28,17,9,peer
99,182,9,exemplar
56,182,9,peer
6,114,10,exemplar
6,114,10,peer
143,114,10,print
140,127,10,exemplar
105,127,10,peer
54,99,10,exemplar
75,99,10,peer
54,6,10,exemplar
2,6,10,peer
198,6,10,print
127,105,10,exemplar
130,105,10,peer
114,38,10,exemplar
148,38,10,peer
54,40,10,exemplar
112,40,10,peer
119,95,10,exemplar
113,95,10,peer
136,191,10,exemplar
39,191,10,peer
15,191,10,print
168,157,10,exemplar
33,157,10,peer
192,179,10,exemplar
167,179,10,peer
17,28,10,exemplar
173,28,10,peer
114,17,10,exemplar
121,17,10,peer
126,198,10,exemplar
45,198,10,peer
198,93,10,exemplar
90,93,10,peer
6,114,11,exemplar
15,114,11,peer
99,54,11,exemplar
53,54,11,peer
140,127,11,exemplar
181,127,11,peer
91,127,11,print
54,99,11,exemplar
111,99,11,peer
127,140,11,exemplar
44,140,11,peer
127,105,11,exemplar
128,105,11,peer
140,105,11,print
54,143,11,exemplar
175,143,11,peer
114,38,11,exemplar
78,38,11,peer
136,191,11,exemplar
136,191,11,peer
192,179,11,exemplar
193,179,11,peer
17,28,11,exemplar
141,28,11,peer
156,188,11,exemplar
153,188,11,peer
25,188,11,print
126,198,11,exemplar
78,198,11,peer
127,198,11,print
54,201,11,exemplar
66,201,11,peer
43,159,11,exemplar
79,159,11,peer
6,114,12,exemplar
18,114,12,peer
99,54,12,exemplar
97,54,12,peer
140,127,12,exemplar
59,127,12,peer
195,127,12,print
137,126,12,exemplar
12,126,12,peer
54,99,12,exemplar
42,99,12,peer
54,6,12,exemplar
155,6,12,peer
114,38,12,exemplar
99,38,12,peer
54,44,12,exemplar
140,44,12,peer
136,191,12,exemplar
101,191,12,peer
192,122,12,exemplar
174,122,12,peer
114,17,12,exemplar
143,17,12,peer
192,179,12,exemplar
167,179,12,peer
