round,share_conform_topK,share_diff_topK,payoff_conform_mean,payoff_diff_mean,payoff_mid_mean,payoff_conform_cum_mean,payoff_diff_cum_mean,payoff_mid_cum_mean,n_selected,n_selected_norm,n_selected_comp
0,0.25,0.75,0.14634146341463414,0.1951219512195122,0.01680672268907563,0.14634146341463414,0.1951219512195122,0.01680672268907563,16,8,8
1,0.2875,0.7125,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.34146341463414637,0.36585365853658536,0.025210084033613446,16,8,8
2,0.325,0.675,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.5365853658536586,0.5365853658536586,0.03361344537815126,15,8,8
3,0.325,0.675,0.1951219512195122,0.17073170731707318,0.008403361344537815,0.7317073170731707,0.7073170731707317,0.04201680672268908,16,8,8
4,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008403361344537815,0.9512195121951219,0.8536585365853658,0.05042016806722689,15,8,8
5,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008403361344537815,1.170731707317073,1.0,0.058823529411764705,15,8,8
6,0.325,0.675,0.1951219512195122,0.17073170731707318,0.008403361344537815,1.3658536585365855,1.170731707317073,0.06722689075630252,15,8,8
7,0.325,0.675,0.17073170731707318,0.1951219512195122,0.008403361344537815,1.5365853658536586,1.3658536585365855,0.07563025210084033,16,8,8
8,0.325,0.675,0.1951219512195122,0.14634146341463414,0.01680672268907563,1.7317073170731707,1.5121951219512195,0.09243697478991597,15,8,8
9,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,1.951219512195122,1.6829268292682926,0.09243697478991597,15,8,8
10,0.3375,0.6625,0.21951219512195122,0.17073170731707318,0.0,2.292682926829268,1.853658536585366,0.05,15,8,8
11,0.325,0.675,0.21951219512195122,0.12195121951219512,0.016666666666666666,2.5121951219512195,1.975609756097561,0.06666666666666667,15,8,8
12,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,2.731707317073171,2.1463414634146343,0.06666666666666667,15,8,8
13,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008333333333333333,2.951219512195122,2.292682926829268,0.075,15,8,8
14,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,3.1707317073170733,2.4634146341463414,0.075,15,8,8
15,0.325,0.675,0.1951219512195122,0.1951219512195122,0.0,3.3658536585365852,2.658536585365854,0.075,16,8,8
16,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,3.5853658536585367,2.8292682926829267,0.075,15,8,8
17,0.325,0.675,0.21951219512195122,0.12195121951219512,0.016666666666666666,3.8048780487804876,2.951219512195122,0.09166666666666666,15,8,8
18,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,4.024390243902439,3.1219512195121952,0.09166666666666666,15,8,8
19,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008333333333333333,4.2439024390243905,3.268292682926829,0.1,15,8,8
20,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008264462809917356,4.463414634146342,3.4146341463414633,0.10743801652892562,15,8,8
21,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008264462809917356,4.682926829268292,3.5609756097560976,0.11570247933884298,15,8,8
22,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008264462809917356,4.902439024390244,3.707317073170732,0.12396694214876033,15,8,8
23,0.325,0.675,0.1951219512195122,0.17073170731707318,0.008264462809917356,5.097560975609756,3.8780487804878048,0.1322314049586777,16,8,8
24,0.325,0.675,0.21951219512195122,0.14634146341463414,0.008264462809917356,5.317073170731708,4.024390243902439,0.14049586776859505,15,8,8
25,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,5.536585365853658,4.195121951219512,0.14049586776859505,15,8,8
26,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,5.7560975609756095,4.365853658536586,0.14049586776859505,15,8,8
27,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,5.975609756097561,4.536585365853658,0.14049586776859505,15,8,8
28,0.325,0.675,0.1951219512195122,0.1951219512195122,0.0,6.170731707317073,4.7317073170731705,0.14049586776859505,16,8,8
29,0.325,0.675,0.21951219512195122,0.17073170731707318,0.0,6.390243902439025,4.902439024390244,0.14049586776859505,15,8,8
